"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Christian McCaffrey","CAR","WAS","RB","8900","26.4","5.8","14.7","20167158","35.4"
"AJ Dillon","GB","MIN","RB","6200","20.0","4.7","34.0","20167180","27.1"
"Davante Adams","GB","MIN","WR","8400","23.8","4.2","21.3","20167464","34.0"
"Jeff Wilson Jr.","SF","JAX","RB","5100","17.3","4.2","30.0","20167216","25.2"
"Tee Higgins","CIN","LV","WR","5400","17.8","4.1","26.3","20167510","26.6"
"James Conner","ARI","SEA","RB","6100","18.9","3.8","19.4","20167182","26.6"
"Mark Ingram II","NO","PHI","RB","5400","17.2","3.5","29.5","20167200","22.8"
"Cam Newton","CAR","WAS","QB","5100","18.8","3.0","9.8","20167101","27.0"
"Tyreek Hill","KC","DAL","WR","8200","22.2","3.0","23.5","20167468","32.8"
"Ja'Marr Chase","CIN","LV","WR","7200","20.2","2.9","13.7","20167478","30.8"
"A.J. Brown","TEN","HOU","WR","7700","20.8","2.5","10.4","20167472","30.7"
"Michael Gallup","DAL","KC","WR","4200","13.7","2.4","27.2","20167558","20.7"
"Tua Tagovailoa","MIA","NYJ","QB","5500","19.5","2.4","10.7","20167091","28.6"
"Patrick Mahomes","KC","DAL","QB","7600","25.8","2.3","12.9","20167080","35.7"
"Jaylen Waddle","MIA","NYJ","WR","5600","16.0","2.0","17.7","20167506","23.2"
"Joe Burrow","CIN","LV","QB","6600","22.3","1.9","7.8","20167085","30.4"
"Derek Carr","LV","CIN","QB","5900","20.2","1.9","8.0","20167088","28.1"
"Browns ","CLE","DET","DST","3100","9.1","1.9","25.8","20168211","14.7"
"Myles Gaskin","MIA","NYJ","RB","5700","16.1","1.8","20.7","20167192","22.8"
"Travis Kelce","KC","DAL","TE","7100","18.7","1.7","13.7","20167928","28.5"
"Darren Waller","LV","CIN","TE","6100","16.8","1.7","13.4","20167932","24.6"
"Joe Flacco","NYJ","MIA","QB","4600","16.0","1.7","2.5","20167117","23.7"
"Josh Allen","BUF","IND","QB","8100","26.6","1.6","9.7","20167077","38.9"
"Brandin Cooks","HOU","TEN","WR","6000","16.5","1.6","11.2","20167498","22.5"
"Lamar Jackson","BAL","CHI","QB","8000","26.0","1.4","9.0","20167078","35.4"
"Rashod Bateman","BAL","CHI","WR","4500","13.3","1.4","8.6","20167546","19.8"
"Cole Kmet","CHI","BAL","TE","3400","11.2","1.4","19.5","20167958","15.0"
"Tyrod Taylor","HOU","TEN","QB","5000","17.0","1.4","1.6","20167104","23.6"
"Dalvin Cook","MIN","GB","RB","8200","20.6","1.4","8.5","20167162","27.5"
"Panthers ","CAR","WAS","DST","2700","7.8","1.4","19.0","20168217","12.8"
"Jimmy Garoppolo","SF","JAX","QB","5600","18.7","1.3","3.5","20167090","23.4"
"Nick Chubb","CLE","DET","RB","7800","19.6","1.2","7.7","20167166","28.6"
"Michael Carter","NYJ","MIA","RB","5800","15.7","1.2","11.4","20167188","22.8"
"Jarvis Landry","CLE","DET","WR","5100","14.2","1.1","12.3","20167518","21.7"
"David Montgomery","CHI","BAL","RB","5500","14.9","1.0","14.0","20167198","20.4"
"Tyler Lockett","SEA","ARI","WR","6000","15.9","1.0","15.7","20167496","22.9"
"Dallas Goedert","PHI","NO","TE","4400","12.6","0.9","8.7","20167944","18.1"
"Marcus Johnson","TEN","HOU","WR","3500","10.9","0.9","8.1","20167592","17.6"
"Baker Mayfield","CLE","DET","QB","5400","17.6","0.8","0.5","20167094","25.4"
"CeeDee Lamb","DAL","KC","WR","7600","18.9","0.8","14.0","20167476","27.9"
"Deebo Samuel","SF","JAX","WR","7800","19.2","0.8","11.3","20167474","29.6"
"Ryan Tannehill","TEN","HOU","QB","6700","21.5","0.8","2.2","20167084","29.8"
"Mike Gesicki","MIA","NYJ","TE","5200","14.0","0.7","7.9","20167938","20.3"
"WAS Football Team ","WAS","CAR","DST","2400","6.5","0.7","8.1","20168221","11.1"
"Justin Fields","CHI","BAL","QB","5700","18.3","0.6","1.7","20167089","27.4"
"Russell Wilson","SEA","ARI","QB","6500","20.7","0.6","3.4","20167086","29.2"
"Taylor Heinicke","WAS","CAR","QB","5300","17.1","0.6","1.5","20167095","22.4"
"Ravens ","BAL","CHI","DST","3300","8.2","0.6","5.9","20168208","13.4"
"Stefon Diggs","BUF","IND","WR","7900","19.1","0.5","7.0","20167470","28.6"
"Hunter Renfrow","LV","CIN","WR","5800","15.0","0.5","12.0","20167502","21.9"
