Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
New Orleans Saints,2,D,3800,NO,@PHI,18.3,NO by 7,4.4,0.5,1.3,203,117,19.9,9.3,12.0,8.3,8.3,1.4,15.1,9.6,2.5,2.0,0.5
Kansas City Chiefs,0,D,3500,KC,@MIA,21.3,KC by 7,2.0,0.5,0.7,223,97,24.3,4.5,3.7,7.2,7.2,-0.4,14.7,7.5,2.1,14.0,4.0
Pittsburgh Steelers,2,D,3400,PIT,@BUF,24.5,BUF by 2.5,2.1,0.7,0.5,277,103,28.8,3.7,10.7,10.3,10.3,4.5,16.0,6.6,1.9,6.0,1.8
Green Bay Packers,0,D,3300,GB,@DET,23.8,GB by 7.5,2.8,0.3,0.8,263,94,23.8,7.2,9.7,5.9,5.9,1.3,10.5,7.2,2.2,4.0,1.2
New England Patriots,,D,3300,NE,@LAR,24.8,LAR by 5,1.3,0.8,0.8,271,124,24.1,6.8,12.0,7.8,7.8,-0.6,16.1,5.3,1.6,4.0,1.2
Indianapolis Colts,0,D,3200,IND,@LV,24.3,IND by 3,1.8,1.0,0.4,244,121,26.9,5.3,5.7,9.5,9.5,2.2,16.8,6.0,1.9,12.0,3.8
Los Angeles Rams,2,D,3200,LAR,NE,19.8,LAR by 5,1.8,0.3,1.1,191,151,22.3,5.8,10.3,8.7,8.7,3.5,13.9,8.3,2.6,14.0,4.4
Tennessee Titans,1,D,3100,TEN,@JAX,22.8,TEN by 7.5,2.7,0.6,1.1,234,103,20.4,7.3,5.7,4.5,4.5,-0.3,9.2,7.0,2.3,8.0,2.6
Seattle Seahawks,10,D,3000,SEA,NYJ,16.5,SEA by 13.5,2.8,0.3,1.0,170,107,14.3,10.3,7.7,5.7,5.7,2.6,8.8,10.3,3.4,12.0,4.0
Chicago Bears,2,D,3000,CHI,HOU,23.0,HOU by 1,2.8,0.5,0.5,280,84,23.5,5.3,3.7,5.3,5.3,0.4,10.2,6.6,2.2,17.0,5.7
