Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Pittsburgh Steelers,7,D,4400,PIT,CIN,19.5,PIT by 6.5,3.5,0.6,0.6,261,101,24.3,7.6,9.0,10.1,10.1,4.4,15.8,9.3,2.1,12.0,2.7
Baltimore Ravens,0,D,3900,BAL,@NE,18.3,BAL by 7,1.9,0.5,1.4,202,160,20.0,7.6,8.3,11.8,11.8,4.5,19.0,9.5,2.4,1.0,0.3
Green Bay Packers,3,D,3700,GB,JAX,18.0,GB by 13.5,3.1,0.6,0.8,253,99,22.4,6.4,4.0,4.5,4.5,0.5,8.5,9.2,2.5,6.0,1.6
Philadelphia Eagles,4,D,3600,PHI,@NYG,20.5,PHI by 3.5,3.1,0.7,1.0,192,106,17.3,8.6,12.3,8.3,8.3,0.7,15.8,8.4,2.3,3.0,0.8
Tampa Bay Buccaneers,0,D,3400,TB,@CAR,22.5,TB by 5.5,2.0,0.3,0.7,259,110,23.3,4.2,4.7,8.6,8.6,1.7,15.4,8.0,2.4,5.0,1.5
Washington Football Team,1,D,3200,WAS,@DET,,,2.6,0.1,1.0,258,101,24.6,6.3,8.7,6.5,6.5,0.5,12.5,7.0,2.2,0.0,0.0
New Orleans Saints,9,D,3000,NO,SF,19.5,NO by 9.5,2.6,0.4,1.0,255,119,25.0,6.1,8.0,6.1,6.1,-0.9,13.1,8.7,2.9,14.0,4.7
Indianapolis Colts,,D,3000,IND,@TEN,23.8,IND by 1,1.6,0.1,0.4,242,149,25.4,3.0,8.0,10.9,10.9,3.3,18.5,5.5,1.8,10.0,3.3
Cleveland Browns,4,D,2900,CLE,HOU,23.0,CLE by 3.5,3.0,0.5,0.6,281,88,24.1,5.8,3.7,5.9,5.9,0.7,11.1,8.0,2.8,6.0,2.1
Chicago Bears,1,D,2900,CHI,MIN,23.0,MIN by 2.5,2.0,0.3,1.3,222,160,27.1,5.9,4.7,5.9,5.9,1.9,9.8,6.4,2.2,12.0,4.1
Miami Dolphins,0,D,2800,MIA,LAC,23.0,MIA by 2.5,2.0,0.6,0.6,284,136,24.9,5.3,15.3,9.9,9.9,2.8,17.0,6.5,2.3,6.0,2.1
Los Angeles Chargers,,D,2800,LAC,@MIA,25.5,MIA by 2.5,1.8,0.3,0.9,226,97,26.3,3.6,3.7,4.5,4.5,1.6,7.4,6.3,2.3,1.0,0.4
New York Giants,1,D,2700,NYG,PHI,24.0,PHI by 3.5,4.0,0.6,1.5,211,119,21.5,8.5,7.3,7.0,7.0,1.9,12.1,6.8,2.5,4.0,1.5
Buffalo Bills,,D,2700,BUF,@ARI,29.0,ARI by 1.5,1.3,0.4,0.9,259,163,29.3,3.1,10.0,6.8,6.8,2.4,11.1,5.3,2.0,6.0,2.2
Tennessee Titans,,D,2700,TEN,IND,24.8,IND by 1,1.0,0.3,0.9,258,102,23.3,5.4,6.3,4.6,4.6,-0.8,10.0,6.2,2.3,0.0,0.0
Arizona Cardinals,1,D,2600,ARI,BUF,27.5,ARI by 1.5,2.4,0.6,0.4,278,101,28.3,3.4,8.0,6.4,6.4,2.0,10.8,5.9,2.3,3.0,1.2
Detroit Lions,6,D,2600,DET,WAS,,,3.5,1.0,0.9,214,92,18.9,9.1,2.7,2.4,2.4,-1.0,5.8,7.4,2.8,4.0,1.5
Minnesota Vikings,1,D,2600,MIN,@CHI,20.5,MIN by 2.5,2.6,0.3,1.1,235,82,19.1,7.6,4.0,3.3,3.3,-0.7,7.2,8.3,3.2,10.0,3.8
Carolina Panthers,,D,2500,CAR,TB,28.0,TB by 5.5,1.4,0.4,0.8,257,92,26.9,5.4,3.0,3.6,3.6,0.3,6.8,4.5,1.8,1.0,0.4
Las Vegas Raiders,3,D,2500,LV,DEN,23.0,LV by 4.5,2.6,0.5,1.5,225,112,19.5,9.8,3.0,1.9,1.9,-2.0,5.7,6.3,2.5,16.0,6.4
Denver Broncos,,D,2400,DEN,@LV,27.5,LV by 4.5,1.8,0.9,0.3,240,131,27.3,4.3,3.3,5.4,5.4,1.7,9.1,5.1,2.1,-4.0,-1.7
Houston Texans,1,D,2400,HOU,@CLE,26.5,CLE by 3.5,1.4,0.4,0.9,197,150,24.8,6.0,2.0,2.6,2.6,-0.7,5.9,5.7,2.4,5.0,2.1
New England Patriots,,D,2400,NE,BAL,25.3,BAL by 7,2.6,0.6,0.6,177,170,26.9,6.0,3.3,6.5,6.5,2.2,10.8,6.1,2.5,5.0,2.1
Seattle Seahawks,,D,2300,SEA,@LAR,28.8,LAR by 2,1.3,0.6,0.8,259,138,24.1,6.8,3.3,5.0,5.0,1.7,8.3,4.9,2.1,5.0,2.2
San Francisco 49ers,,D,2300,SF,@NO,29.0,NO by 9.5,1.3,0.5,0.4,269,122,29.8,1.6,5.0,5.0,5.0,-1.3,11.3,3.2,1.4,7.0,3.0
Los Angeles Rams,3,D,2200,LAR,SEA,26.8,LAR by 2,3.0,0.4,1.0,298,117,34.0,4.1,7.3,7.5,7.5,2.0,13.0,6.2,2.8,13.0,5.9
Cincinnati Bengals,,D,2100,CIN,@PIT,26.0,PIT by 6.5,1.3,0.5,0.5,232,109,24.3,2.8,2.0,2.8,2.8,-0.4,5.9,4.0,1.9,-4.0,-1.9
Jacksonville Jaguars,,D,2000,JAX,@GB,31.5,GB by 13.5,1.3,0.1,0.3,269,127,30.6,1.3,3.3,2.8,2.8,0.4,5.1,2.4,1.2,11.0,5.5
