Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Buffalo Bills,5,D,4700,BUF,@NYJ,15.5,BUF by 13.5,3.0,0.2,0.8,171,105,11.5,11.2,4.7,4.8,4.8,2.4,7.2,9.1,1.9,14.0,3.0
Kansas City Chiefs,3,D,4300,KC,@DEN,18.3,KC by 9.5,3.0,0.4,1.6,204,101,16.4,9.6,7.3,6.8,6.8,-0.3,13.9,8.6,2.0,24.0,5.6
Tampa Bay Buccaneers,1,D,4000,TB,@LV,23.8,TB by 4,1.6,1.2,0.2,278,121,30.2,4.6,10.3,10.5,10.5,2.9,18.1,7.0,1.8,6.0,1.5
New England Patriots,4,D,3900,NE,SF,20.5,NE by 2.5,3.0,0.3,0.8,241,128,24.7,6.3,8.3,8.4,8.4,3.9,12.9,8.3,2.1,4.0,1.0
Los Angeles Rams,1,D,3600,LAR,CHI,19.3,LAR by 6,1.8,0.0,1.2,223,90,21.3,5.0,7.7,6.3,6.3,1.7,10.9,8.7,2.4,17.0,4.7
Pittsburgh Steelers,0,D,3500,PIT,@TEN,26.0,TEN by 1.5,1.3,0.3,0.5,282,163,29.0,2.8,11.0,10.8,10.8,6.1,15.5,6.0,1.7,2.0,0.6
Los Angeles Chargers,2,D,3400,LAC,JAX,20.8,LAC by 7.5,3.0,0.7,0.8,262,89,20.8,6.8,3.7,5.0,5.0,1.6,8.4,7.3,2.1,6.0,1.8
San Francisco 49ers,1,D,3300,SF,@NE,23.0,NE by 2.5,2.2,0.6,1.4,207,167,20.6,8.2,3.0,5.0,5.0,0.5,9.5,6.6,2.0,17.0,5.2
New Orleans Saints,1,D,3200,NO,CAR,21.8,NO by 7.5,2.0,0.5,0.8,267,117,23.0,5.0,1.3,5.0,5.0,-2.3,12.3,7.4,2.3,1.0,0.3
Green Bay Packers,0,D,3100,GB,@HOU,27.0,GB by 3.5,3.2,0.3,0.8,282,86,24.3,6.0,2.3,4.8,4.8,0.1,9.5,6.4,2.1,6.0,1.9
Philadelphia Eagles,1,D,3100,PHI,NYG,20.3,PHI by 4.5,2.8,0.7,1.0,188,88,14.8,9.3,8.3,6.2,6.2,-0.7,13.0,8.5,2.7,9.0,2.9
Dallas Cowboys,1,D,3000,DAL,@WAS,22.5,DAL by 1,4.0,1.0,0.7,193,82,18.0,9.7,1.3,1.2,1.2,-3.6,6.0,7.1,2.4,2.0,0.7
Chicago Bears,,D,3000,CHI,@LAR,25.3,LAR by 6,1.2,0.5,0.7,253,135,25.3,3.7,6.3,6.5,6.5,2.4,10.6,5.6,1.9,9.0,3.0
Denver Broncos,0,D,2900,DEN,KC,27.8,KC by 9.5,1.2,0.5,0.2,277,140,28.2,3.5,8.0,6.6,6.6,2.4,10.8,3.4,1.2,2.0,0.7
Carolina Panthers,1,D,2900,CAR,@NO,29.3,NO by 7.5,1.4,0.2,0.6,263,115,29.4,1.6,3.3,3.8,3.8,-0.2,7.9,4.1,1.4,3.0,1.0
Cleveland Browns,3,D,2800,CLE,@CIN,23.5,CLE by 3.5,4.0,0.7,0.7,242,102,21.5,9.2,6.3,6.2,6.2,0.2,12.1,7.7,2.8,7.0,2.5
Cincinnati Bengals,0,D,2800,CIN,CLE,27.0,CLE by 3.5,1.8,0.3,1.0,189,170,25.8,6.8,4.0,3.3,3.3,0.3,6.3,5.7,2.0,-2.0,-0.7
Seattle Seahawks,1,D,2700,SEA,@ARI,26.0,SEA by 3.5,1.5,0.2,1.0,242,161,27.7,2.8,7.7,6.0,6.0,2.8,9.2,6.1,2.3,0.0,0.0
New York Giants,1,D,2700,NYG,@PHI,24.8,PHI by 4.5,4.2,0.5,1.5,207,122,22.5,8.3,10.0,6.8,6.8,1.1,12.5,6.9,2.6,5.0,1.9
Jacksonville Jaguars,,D,2600,JAX,@LAC,28.3,LAC by 7.5,2.2,0.8,0.6,268,122,20.8,5.6,2.3,2.2,2.2,-0.2,4.6,4.8,1.8,5.0,1.9
Washington Football Team,3,D,2500,WAS,DAL,23.5,DAL by 1,2.3,1.5,1.0,359,105,27.8,8.2,3.3,5.0,5.0,-0.1,10.1,7.7,3.1,17.0,6.8
Tennessee Titans,,D,2500,TEN,PIT,24.5,TEN by 1.5,1.6,0.6,0.2,221,137,29.6,2.0,3.3,3.3,3.3,-0.6,7.1,4.5,1.8,6.0,2.4
Atlanta Falcons,0,D,2400,ATL,DET,26.3,ATL by 2,2.4,0.0,0.8,230,117,26.6,4.8,2.3,2.3,2.3,-0.9,5.5,5.1,2.1,2.0,0.8
Las Vegas Raiders,,D,2400,LV,TB,27.8,TB by 4,1.3,0.5,0.7,249,109,28.2,5.5,1.3,1.2,1.2,-0.6,3.0,3.9,1.6,-4.0,-1.7
Arizona Cardinals,0,D,2300,ARI,SEA,29.5,SEA by 3.5,3.0,0.2,0.6,280,115,33.4,3.2,7.7,7.0,7.0,2.2,11.8,4.4,1.9,7.0,3.0
