Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Miami Dolphins,5,D,4400,MIA,CIN,15.3,MIA by 11.5,3.5,0.9,0.6,235,96,20.9,8.5,8.3,9.5,9.5,3.1,15.8,10.1,2.3,14.0,3.2
Pittsburgh Steelers,1,D,4300,PIT,WAS,17.5,PIT by 8.5,3.2,0.8,0.8,219,107,21.2,7.5,12.0,11.0,11.0,5.5,16.5,9.5,2.2,3.0,0.7
Green Bay Packers,5,D,3800,GB,PHI,19.3,GB by 8.5,4.2,0.5,1.4,206,116,20.3,9.2,8.3,5.5,5.5,0.9,10.2,8.7,2.3,10.0,2.6
Kansas City Chiefs,1,D,3700,KC,DEN,18.5,KC by 13.5,2.2,0.6,1.7,212,113,17.4,10.3,2.3,7.4,7.4,-0.5,15.2,8.9,2.4,5.0,1.4
New Orleans Saints,1,D,3600,NO,@ATL,21.5,NO by 2.5,2.5,0.2,0.7,271,103,25.7,3.8,14.7,8.5,8.5,1.3,15.6,7.8,2.2,6.0,1.7
Minnesota Vikings,,D,3500,MIN,JAX,21.3,MIN by 10,2.7,0.5,1.0,231,101,20.6,6.7,6.3,4.1,4.1,0.2,7.9,7.5,2.1,13.0,3.7
Las Vegas Raiders,0,D,3400,LV,@NYJ,19.3,LV by 8,2.7,0.2,1.0,170,97,13.1,10.5,4.3,2.5,2.5,-3.1,8.2,7.5,2.2,8.0,2.4
Seattle Seahawks,5,D,3300,SEA,NYG,18.3,SEA by 10,2.8,0.6,0.8,200,113,18.4,8.1,6.3,5.4,5.4,2.3,8.4,9.0,2.7,9.0,2.7
Los Angeles Rams,3,D,3200,LAR,@ARI,22.8,LAR by 3,1.6,0.4,0.8,248,156,27.6,3.7,11.0,8.5,8.5,3.0,13.9,6.4,2.0,11.0,3.4
Chicago Bears,3,D,3100,CHI,DET,20.8,CHI by 3,2.8,0.4,0.8,250,97,22.9,7.5,4.0,5.5,5.5,0.5,10.6,6.7,2.2,3.0,1.0
Baltimore Ravens,1,D,3100,BAL,DAL,26.3,PIT by 10.5,2.8,1.2,0.9,268,112,22.3,10.2,6.0,9.8,9.8,2.2,17.4,9.0,2.9,4.0,1.3
Indianapolis Colts,1,D,3000,IND,@HOU,23.8,IND by 3.5,2.5,0.5,0.5,277,84,23.8,4.7,5.0,9.3,9.3,1.7,16.9,6.9,2.3,12.0,4.0
Arizona Cardinals,,D,2900,ARI,LAR,25.8,LAR by 3,1.4,0.7,0.9,265,125,23.4,7.3,4.7,5.9,5.9,1.9,9.9,5.5,1.9,2.0,0.7
Tennessee Titans,,D,2900,TEN,CLE,24.0,TEN by 6,1.5,0.5,0.6,194,161,22.6,5.9,4.3,4.5,4.5,-0.5,9.5,5.9,2.0,4.0,1.4
