Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Dalvin Cook,10,,RB,9500,MIN,JAX,31.3,MIN by 10,16%,17%,19%,0.0,0.0,0.0,0.0,0.0,25.0,21.9,21.2,4.1,5.2,4.3,3.4,3.8,0.0,7.5,41,18.5,26.9,26.9,14.3,39.6,27.6,2.9,26.9,2.8
Derrick Henry,2,,RB,9200,TEN,CLE,30.0,TEN by 6,3%,-7%,-7%,0.0,0.0,0.0,0.0,0.0,24.7,23.7,21.4,4.6,5.1,2.7,2.4,1.9,0.1,3.6,36,26.5,22.3,22.3,9.7,34.9,23.4,2.5,6.9,0.8
Tyreek Hill,,,WR,9100,KC,DEN,32.0,KC by 13.5,-13%,13%,-6%,0.0,0.0,0.0,0.0,0.0,1.0,0.9,1.1,0.3,6.0,15.7,9.2,8.0,1.4,10.1,14,42.3,24.5,24.5,10.0,39.0,21.8,2.4,14.8,1.6
Davante Adams,8,,WR,9000,GB,PHI,27.8,GB by 8.5,-12%,10%,-4%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,11.0,10.7,2.0,9.2,16,21.4,26.9,26.9,12.7,41.0,23.8,2.6,37.1,4.1
DK Metcalf,6,,WR,8200,SEA,NYG,28.3,SEA by 10,2%,-18%,-2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,7.3,8.2,8.5,1.0,11.5,13,16.4,20.9,20.9,9.6,32.2,20.2,2.5,13.0,1.6
Patrick Mahomes,0,,QB,8200,KC,DEN,32.0,KC by 13.5,-13%,13%,-3%,46.3,38.5,36.4,5.3,8.3,3.3,4.0,4.0,0.7,4.8,0.3,0.1,0.0,0.1,0.0,61,31.6,28.6,28.6,19.0,38.2,29.6,3.6,22.3,2.7
Keenan Allen,2,,WR,8100,LAC,NE,24.0,LAC by 1,-5%,6%,-6%,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.1,11.0,1.2,7.2,16,22.5,20.6,20.6,10.7,30.5,18.1,2.2,9.8,1.2
DeAndre Hopkins,4,,WR,7800,ARI,LAR,22.8,LAR by 3,-15%,-20%,-20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.4,10.2,0.9,9.4,16,16.4,19.2,19.2,9.4,29.1,17.1,2.2,19.2,2.5
Russell Wilson,9,,QB,7700,SEA,NYG,28.3,SEA by 10,2%,-18%,-12%,32.0,35.7,34.2,5.7,8.2,8.0,5.5,4.9,0.3,6.2,0.0,0.0,0.0,0.0,0.0,61,15.8,27.3,27.3,18.5,36.1,25.5,3.3,17.0,2.2
Nick Chubb,2,,RB,7700,CLE,@TEN,24.0,TEN by 6,11%,1%,2%,0.0,0.0,0.0,0.0,0.0,19.3,16.4,16.9,2.4,6.3,1.3,1.0,1.6,0.0,7.0,28,21.9,19.0,19.0,8.3,29.6,17.0,2.2,17.6,2.3
Kyler Murray,3,,QB,7600,ARI,LAR,22.8,LAR by 3,-15%,-20%,-24%,36.0,35.2,34.7,4.0,7.3,7.0,8.8,7.7,1.8,6.7,0.0,0.0,0.0,0.0,0.0,67,20.0,28.3,28.3,19.1,37.6,22.4,2.9,18.4,2.4
A.J. Brown,3,,WR,7600,TEN,CLE,30.0,TEN by 6,3%,-7%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,5.7,7.0,7.7,1.0,9.9,13,15.0,17.8,17.8,8.6,27.0,18.3,2.4,11.7,1.5
Deshaun Watson,2,,QB,7500,HOU,IND,23.8,IND by 3.5,-13%,-12%,-15%,30.7,33.0,34.4,4.9,8.8,7.3,5.6,5.5,0.9,4.7,0.0,0.0,0.0,0.0,0.0,66,28.2,25.5,25.5,17.7,33.2,22.4,3.0,24.4,3.3
Stefon Diggs,4,,WR,7500,BUF,@SF,24.8,BUF by 1.5,-14%,-7%,-8%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,10.7,9.5,9.2,0.8,8.8,15,20.0,18.7,18.7,11.9,25.5,17.5,2.3,19.2,2.6
Tyler Lockett,1,,WR,7400,SEA,NYG,28.3,SEA by 10,2%,-18%,-2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,7.3,8.4,8.2,1.0,8.4,13,12.9,18.3,18.3,2.2,34.4,16.8,2.3,12.3,1.7
Josh Jacobs,0,Q,RB,7400,LV,@NYJ,27.3,LV by 8,18%,-5%,6%,0.0,0.0,0.0,0.0,0.0,15.0,18.7,0.0,3.8,3.8,2.7,3.1,0.0,0.2,5.1,0,17.5,16.4,16.4,6.5,26.3,0.0,0.0,0.0,0.0
James Robinson,3,,RB,7300,JAX,@MIN,21.3,MIN by 10,9%,4%,-2%,0.0,0.0,0.0,0.0,0.0,20.7,17.6,19.2,2.5,4.6,4.3,4.3,4.2,0.4,6.0,38,19.2,19.5,19.5,10.6,28.3,18.8,2.6,22.8,3.1
Adam Thielen,4,,WR,7300,MIN,JAX,31.3,MIN by 10,16%,17%,11%,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,5.0,7.7,7.6,8.6,1.5,8.5,14,20.5,19.2,19.2,7.2,31.2,17.7,2.4,21.5,2.9
Travis Kelce,1,,TE,7300,KC,DEN,32.0,KC by 13.5,-13%,13%,-17%,0.7,0.2,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,10.0,8.8,8.4,1.3,10.1,13,25.0,20.5,20.5,12.3,28.6,19.1,2.6,30.6,4.2
Aaron Jones,4,,RB,7200,GB,PHI,27.8,GB by 8.5,-12%,10%,-12%,0.0,0.0,0.0,0.0,0.0,13.3,14.4,14.1,2.7,4.8,4.0,5.0,4.2,1.0,5.8,27,13.9,19.2,19.2,7.6,30.7,17.7,2.5,26.8,3.7
Calvin Ridley,2,,WR,7200,ATL,NO,21.5,NO by 2.5,-13%,-34%,-9%,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.1,4.7,7.3,8.6,8.8,1.7,9.3,14,12.7,19.1,19.1,8.2,30.0,16.9,2.3,18.8,2.6
Will Fuller V,,S,WR,7100,HOU,IND,23.8,IND by 3.5,-13%,-12%,-11%,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,7.7,6.8,0.0,0.7,11.7,0,20.3,18.5,18.5,8.2,28.9,0.0,0.0,0.0,0.0
Austin Ekeler,7,,RB,7100,LAC,NE,24.0,LAC by 1,-5%,6%,-2%,0.0,0.0,0.0,0.0,0.0,9.3,12.6,12.3,1.6,4.6,9.3,6.6,5.7,0.8,6.9,26,19.2,17.2,17.2,5.8,28.6,19.1,2.7,10.8,1.5
Josh Allen,2,,QB,7100,BUF,@SF,24.8,BUF by 1.5,-14%,-7%,-7%,37.0,34.7,34.6,5.1,8.0,7.7,7.7,5.8,1.8,3.8,0.3,0.1,0.0,0.1,12.0,64,28.6,26.8,26.8,17.3,36.4,21.2,3.0,34.1,4.8
Alvin Kamara,3,,RB,7000,NO,@ATL,24.0,NO by 2.5,21%,-14%,-18%,0.0,0.0,0.0,0.0,0.0,10.7,11.6,11.9,2.7,4.6,3.7,7.5,4.9,1.2,7.8,26,17.2,24.2,24.2,12.0,36.4,16.0,2.3,17.7,2.5
Michael Thomas,2,,WR,7000,NO,@ATL,24.0,NO by 2.5,21%,-14%,19%,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.0,1.0,8.3,7.2,8.6,2.0,6.9,14,12.1,10.2,10.2,2.9,17.5,16.9,2.4,22.5,3.2
Justin Herbert,3,,QB,6900,LAC,NE,24.0,LAC by 1,-5%,6%,-11%,44.3,40.2,36.7,5.6,7.5,2.7,4.1,3.9,1.1,4.5,0.0,0.0,0.0,0.0,0.0,59,24.2,26.1,26.1,19.7,32.5,22.6,3.3,6.4,0.9
Justin Jefferson,6,,WR,6900,MIN,JAX,31.3,MIN by 10,16%,17%,11%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,6.5,7.5,0.6,12.8,12,22.7,17.6,17.6,4.8,30.4,17.5,2.5,30.3,4.4
Alexander Mattison,,O,RB,6900,MIN,JAX,31.3,MIN by 10,16%,17%,19%,0.0,0.0,0.0,0.0,0.0,1.7,6.7,0.0,1.7,4.6,0.0,1.0,0.0,0.0,5.5,0,0.5,5.3,5.3,-0.8,11.3,0.0,0.0,0.0,0.0
Aaron Rodgers,4,,QB,6800,GB,PHI,27.8,GB by 8.5,-12%,10%,-8%,33.7,34.6,36.6,5.4,8.1,2.7,1.7,2.5,0.2,4.7,0.0,0.1,0.0,0.0,-6.0,59,27.3,25.5,25.5,17.7,33.3,23.0,3.4,23.5,3.5
