Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Derrick Henry,14,,RB,9500,TEN,DET,31.3,TEN by 11,10%,14%,33%,0.0,0.0,0.0,0.0,0.0,22.7,23.2,23.3,3.9,5.3,2.3,2.3,1.9,0.1,3.8,39,29.2,22.4,22.4,9.1,35.7,26.2,2.8,28.2,3.0
Davante Adams,5,,WR,9400,GB,CAR,30.3,GB by 9,5%,-3%,1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,11.0,11.3,2.0,9.5,17,27.6,27.9,27.9,14.8,40.9,24.8,2.6,11.2,1.2
Christian McCaffrey,,Q,RB,9000,CAR,@GB,21.3,GB by 9,-6%,-6%,27%,0.0,0.0,0.0,0.0,0.0,19.7,19.7,0.0,4.7,3.8,6.3,6.3,0.0,0.3,7.8,0,30.1,30.1,30.1,23.8,36.4,0.0,0.0,0.0,0.0
Dalvin Cook,5,,RB,9000,MIN,CHI,25.0,MIN by 3,-3%,-1%,-11%,0.0,0.0,0.0,0.0,0.0,24.0,22.8,21.2,4.4,5.0,5.7,3.9,3.8,0.0,6.9,38,20.0,26.5,26.5,15.0,38.0,21.6,2.4,29.9,3.3
Tyreek Hill,4,,WR,8800,KC,@NO,27.3,KC by 3,-13%,-24%,-8%,0.0,0.0,0.0,0.0,0.0,0.7,0.9,1.2,0.2,10.2,10.7,9.1,8.3,1.3,9.8,15,33.9,23.8,23.8,10.3,37.4,21.9,2.5,17.4,2.0
DK Metcalf,2,,WR,8600,SEA,@WAS,25.0,SEA by 5.5,-14%,-8%,-13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,9.7,8.2,7.9,1.0,11.1,12,20.6,20.1,20.1,9.5,30.6,18.4,2.1,9.3,1.1
Calvin Ridley,9,,WR,8200,ATL,TB,22.3,TB by 6,4%,-31%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0.1,4.7,10.3,9.0,9.4,1.5,9.5,15,21.7,19.9,19.9,9.6,30.3,20.2,2.5,35.3,4.3
Travis Kelce,9,,TE,8000,KC,@NO,27.3,KC by 3,-13%,-24%,-7%,0.3,0.2,0.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,10.3,9.2,8.7,1.3,10.4,13,25.8,22.0,22.0,13.7,30.4,18.8,2.4,22.8,2.9
Patrick Mahomes,6,,QB,7900,KC,@NO,27.3,KC by 3,-13%,-24%,-15%,41.0,38.2,39.1,5.2,8.5,4.3,4.1,4.0,0.7,4.6,0.3,0.1,0.0,0.1,0.0,66,27.4,27.8,27.8,18.9,36.8,28.9,3.7,26.9,3.4
Stefon Diggs,3,Q,WR,7900,BUF,@DEN,27.8,BUF by 6,-8%,12%,-4%,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.3,0.0,1.0,11.3,10.0,10.0,0.9,8.8,17,20.7,19.9,19.9,12.6,27.1,19.9,2.5,28.7,3.6
