"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Kareem Hunt","CLE","ARI","RB","6200","20.7","5.5","41.2","19624635","29.0"
"Darrell Henderson Jr.","LA","NYG","RB","6000","18.8","4.0","24.1","19624639","27.4"
"Lamar Jackson","BAL","LAC","QB","7400","26.7","3.9","17.6","19624547","36.0"
"Travis Kelce","KC","WAS","TE","7000","20.6","3.8","28.0","19625231","31.1"
"Cooper Kupp","LA","NYG","WR","7900","22.1","3.5","21.8","19624859","32.9"
"Tyreek Hill","KC","WAS","WR","8500","23.1","3.3","15.6","19624853","35.1"
"Davante Adams","GB","CHI","WR","9000","23.9","3.1","17.9","19624851","34.4"
"Khalil Herbert","CHI","GB","RB","4600","14.3","2.2","27.0","19624685","19.0"
"Tee Higgins","CIN","DET","WR","5300","15.7","2.2","20.3","19624895","24.0"
"D'Andre Swift","DET","CIN","RB","6300","17.7","2.2","19.0","19624633","25.1"
"Brandin Cooks","HOU","IND","WR","5800","16.7","2.2","16.5","19624881","23.1"
"Daniel Jones","NYG","LA","QB","5500","19.3","2.2","7.0","19624559","26.9"
"Sterling Shepard","NYG","LA","WR","5000","15.1","2.2","12.2","19624909","21.0"
"Taylor Heinicke","WAS","KC","QB","5800","20.2","2.2","11.0","19624556","28.3"
"Chuba Hubbard","CAR","MIN","RB","5900","16.7","2.1","17.9","19624641","21.8"
"Mark Andrews","BAL","LAC","TE","5200","15.3","2.0","15.0","19625235","22.9"
"Terry McLaurin","WAS","KC","WR","7100","19.1","2.0","13.2","19624865","27.5"
"Carson Wentz","IND","HOU","QB","5400","18.7","1.9","6.4","19624560","26.5"
"Jonathan Taylor","IND","HOU","RB","6600","18.0","1.9","19.4","19624627","26.0"
"Patrick Mahomes","KC","WAS","QB","8300","27.4","1.9","13.1","19624545","38.0"
"Joe Mixon","CIN","DET","RB","6400","17.4","1.8","14.2","19624631","25.1"
"Dalvin Cook","MIN","CAR","RB","7700","19.9","1.6","8.4","19624617","27.2"
"Austin Ekeler","LAC","BAL","RB","7900","20.0","1.4","11.1","19624615","26.4"
"Mac Jones","NE","DAL","QB","5200","17.6","1.4","4.3","19624563","24.8"
"Devontae Booker","NYG","LA","RB","5400","15.1","1.4","12.6","19624657","21.0"
"Darrel Williams","KC","WAS","RB","4900","14.0","1.3","12.4","19624675","20.7"
"Jared Goff","DET","CIN","QB","5100","17.0","1.2","4.5","19624566","22.2"
