"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Kareem Hunt","CLE","ARI","RB","6200","21.2","5.9","33.7","19624635","29.7"
"Lamar Jackson","BAL","LAC","QB","7400","26.8","4.0","25.3","19624547","36.3"
"Travis Kelce","KC","WAS","TE","7000","20.6","3.8","20.5","19625231","31.1"
"Tyreek Hill","KC","WAS","WR","8500","23.1","3.3","13.7","19624853","35.1"
"Darrell Henderson Jr.","LA","NYG","RB","6000","18.1","3.2","23.7","19624639","26.6"
"Cooper Kupp","LA","NYG","WR","7900","21.8","3.2","18.9","19624859","32.7"
"Davante Adams","GB","CHI","WR","9000","23.8","3.0","16.3","19624851","34.2"
"Terry McLaurin","WAS","KC","WR","7100","19.6","2.5","17.4","19624865","28.2"
"Mark Andrews","BAL","LAC","TE","5200","15.6","2.3","21.5","19625235","23.3"
"Brandin Cooks","HOU","IND","WR","5800","16.8","2.3","18.1","19624881","23.1"
"Taylor Heinicke","WAS","KC","QB","5800","20.3","2.3","7.9","19624556","28.5"
"Khalil Herbert","CHI","GB","RB","4600","14.3","2.2","23.6","19624685","19.0"
"Tee Higgins","CIN","DET","WR","5300","15.7","2.2","20.1","19624895","24.0"
"Daniel Jones","NYG","LA","QB","5500","19.3","2.2","7.5","19624559","26.2"
"Chuba Hubbard","CAR","MIN","RB","5900","16.8","2.1","17.0","19624641","21.9"
"D'Andre Swift","DET","CIN","RB","6300","17.6","2.1","21.3","19624633","24.9"
"Sterling Shepard","NYG","LA","WR","5000","14.9","2.0","7.7","19624909","20.6"
"Patrick Mahomes","KC","WAS","QB","8300","27.4","1.8","10.1","19624545","37.9"
"Joe Mixon","CIN","DET","RB","6400","17.4","1.7","9.4","19624631","25.1"
"Jonathan Taylor","IND","HOU","RB","6600","17.8","1.7","18.0","19624627","25.8"
"Dalvin Cook","MIN","CAR","RB","7700","19.9","1.7","7.3","19624617","27.3"
"Carson Wentz","IND","HOU","QB","5400","18.4","1.6","5.8","19624560","26.4"
"Michael Pittman Jr.","IND","HOU","WR","5500","15.3","1.4","16.4","19624891","23.8"
"Austin Ekeler","LAC","BAL","RB","7900","19.9","1.3","14.1","19624615","26.3"
"DJ Moore","CAR","MIN","WR","7300","18.5","1.1","10.9","19624863","26.4"
"Jared Goff","DET","CIN","QB","5100","16.9","1.1","6.4","19624566","22.1"
"Ja'Marr Chase","CIN","DET","WR","6700","17.3","1.0","13.6","19624867","26.4"
"Teddy Bridgewater","DEN","LV","QB","5700","18.7","1.0","4.8","19624557","24.9"
"Devontae Booker","NYG","LA","RB","5400","14.7","1.0","9.7","19624657","20.3"
"Joe Burrow","CIN","DET","QB","6300","20.4","0.9","7.0","19624552","27.8"
"Darrel Williams","KC","WAS","RB","4900","13.6","0.9","14.2","19624675","20.1"
"Mac Jones","NE","DAL","QB","5200","17.0","0.8","4.6","19624563","23.8"
"Ricky Seals-Jones","WAS","KC","TE","3000","9.8","0.8","17.3","19625267","14.0"
"Robert Woods","LA","NYG","WR","6100","15.8","0.7","13.5","19624875","24.0"
"Jakobi Meyers","NE","DAL","WR","5500","14.6","0.7","12.0","19624889","21.4"
"Colts ","IND","HOU","DST","3500","8.6","0.7","14.9","19625458","14.0"
"Darnell Mooney","CHI","GB","WR","4300","12.1","0.6","14.2","19624929","16.6"
"Keenan Allen","LAC","BAL","WR","6400","16.2","0.6","15.5","19624871","22.6"
"Josh Jacobs","LV","DEN","RB","5900","15.2","0.5","7.7","19624643","20.2"
"Derek Carr","LV","DEN","QB","5600","17.8","0.4","1.8","19624558","24.4"
"Matthew Stafford","LA","NYG","QB","6700","21.1","0.4","5.8","19624551","30.7"
"Vikings ","MIN","CAR","DST","2900","7.2","0.4","11.8","19625464","12.0"
"Courtland Sutton","DEN","LV","WR","6200","15.6","0.3","9.5","19624873","23.2"
"Marquise Brown","BAL","LAC","WR","5900","14.9","0.2","7.5","19624879","22.3"
"Mecole Hardman","KC","WAS","WR","4200","11.5","0.1","6.8","19624933","18.5"
"Jared Cook","LAC","BAL","TE","3200","9.4","0.1","10.7","19625259","14.1"
"Sam Darnold","CAR","MIN","QB","6100","18.8","0.0","2.3","19624554","27.4"
"Tyler Boyd","CIN","DET","WR","5400","13.7","0.0","16.2","19624893","21.0"
"CeeDee Lamb","DAL","NE","WR","6500","15.9","0.0","8.3","19624869","24.5"
"Antonio Gibson","WAS","KC","RB","6500","15.9","0.0","11.9","19624629","24.1"
"Cardinals ","ARI","CLE","DST","2700","6.4","0.0","4.1","19625467","11.0"
"Browns ","CLE","ARI","DST","2600","6.1","0.0","12.3","19625468","10.6"
"Robby Anderson","CAR","MIN","WR","4800","12.4","-0.1","5.5","19624917","17.8"
"Ravens ","BAL","LAC","DST","2300","5.5","-0.1","13.2","19625471","9.7"
"Lions ","DET","CIN","DST","2100","5.0","-0.1","16.4","19625473","9.1"
"Amari Cooper","DAL","NE","WR","6000","14.6","-0.2","10.3","19624877","22.2"
"Tim Patrick","DEN","LV","WR","5100","13.0","-0.2","10.6","19624903","19.9"
"Dalton Schultz","DAL","NE","TE","4900","12.4","-0.3","3.0","19625239","18.6"
"Amon-Ra St. Brown","DET","CIN","WR","4200","11.0","-0.3","7.1","19624935","16.1"
"T.J. Hockenson","DET","CIN","TE","5000","12.6","-0.3","7.2","19625237","17.6"
"Chase Edmonds","ARI","CLE","RB","5600","13.7","-0.4","2.7","19624651","18.4"
"Melvin Gordon III","DEN","LV","RB","5100","12.7","-0.4","2.6","19624663","19.2"
"Dak Prescott","DAL","NE","QB","7100","21.4","-0.5","2.8","19624550","30.8"
"Noah Fant","DEN","LV","TE","4800","12.0","-0.5","5.8","19625241","17.6"
"Aaron Jones","GB","CHI","RB","7300","16.9","-0.5","8.1","19624619","23.2"
"Packers ","GB","CHI","DST","3600","7.6","-0.5","1.8","19625457","12.7"
"Chiefs ","KC","WAS","DST","2800","6.1","-0.5","6.4","19625466","10.6"
"Javonte Williams","DEN","LV","RB","5000","12.4","-0.6","4.5","19624665","18.4"
"Adam Thielen","MIN","CAR","WR","5800","13.8","-0.6","3.3","19624883","20.1"
"Ezekiel Elliott","DAL","NE","RB","7100","16.2","-0.8","11.8","19624623","23.5"
"Justin Herbert","LAC","BAL","QB","7300","21.7","-0.8","2.8","19624548","30.4"
"Justin Fields","CHI","GB","QB","5100","14.9","-0.9","2.1","19624565","22.4"
"Baker Mayfield","CLE","ARI","QB","5900","17.4","-0.9","0.9","19624555","25.9"
"Odell Beckham Jr.","CLE","ARI","WR","5100","12.1","-1.0","3.8","19624901","17.6"
"Van Jefferson Jr.","LA","NYG","WR","3400","8.7","-1.0","6.0","19624975","14.2"
"Bengals ","CIN","DET","DST","3400","6.7","-1.1","0.9","19625459","11.4"
"Hunter Renfrow","LV","DEN","WR","4900","11.5","-1.2","6.8","19624913","16.1"
"Darren Waller","LV","DEN","TE","6600","14.8","-1.2","6.2","19625233","20.5"
"Nelson Agholor","NE","DAL","WR","4000","9.7","-1.2","2.0","19624939","14.7"
"Texans ","HOU","IND","DST","2200","4.1","-1.3","7.3","19625472","7.8"
"Allen Robinson II","CHI","GB","WR","5300","12.1","-1.4","2.0","19624897","16.4"
"Cole Kmet","CHI","GB","TE","2800","7.2","-1.4","3.1","19625273","9.4"
"DeAndre Carter","WAS","KC","WR","3000","7.5","-1.4","1.4","19625157","12.0"
"Panthers ","CAR","MIN","DST","2900","5.4","-1.4","1.4","19625465","9.5"
"Chris Moore","HOU","IND","WR","3100","7.7","-1.5","0.5","19624999","10.3"
"Cowboys ","DAL","NE","DST","3200","5.8","-1.5","1.7","19625460","10.2"
"Hunter Henry","NE","DAL","TE","3900","9.1","-1.6","5.0","19625247","13.3"
"Rashard Higgins","CLE","ARI","WR","4400","10.0","-1.7","0.5","19624927","15.6"
"Austin Hooper","CLE","ARI","TE","2800","6.8","-1.7","1.3","19625275","10.7"
"Robert Tonyan","GB","CHI","TE","3800","8.8","-1.7","0.5","19625249","13.5"
"Mike Williams","LAC","BAL","WR","8100","17.4","-1.7","0.6","19624855","25.2"
"K.J. Osborn","MIN","CAR","WR","3500","8.2","-1.7","2.2","19624961","12.9"
"Jonnu Smith","NE","DAL","TE","3000","7.3","-1.7","3.1","19625265","11.0"
"Chargers ","LAC","BAL","DST","2500","4.3","-1.7","0.4","19625469","8.0"
"Kirk Cousins","MIN","CAR","QB","6200","17.4","-1.8","0.7","19624553","22.4"
"Tyler Conklin","MIN","CAR","TE","3200","7.6","-1.8","2.6","19625257","11.4"
"Raiders ","LV","DEN","DST","3100","5.4","-1.8","0.5","19625461","9.5"
"Jamaal Williams","DET","CIN","RB","4900","10.8","-1.9","2.7","19624667","15.5"
"Rondale Moore","ARI","CLE","WR","4600","10.0","-2.1","0.6","19624921","15.1"
"Broncos ","DEN","LV","DST","3900","6.6","-2.1","0.5","19625456","11.2"
"Blake Jarwin","DAL","NE","TE","2600","5.9","-2.2","0.5","19625279","10.3"
"Justin Jefferson","MIN","CAR","WR","8000","16.7","-2.2","3.0","19624857","25.3"
"Adam Humphries","WAS","KC","WR","3400","7.6","-2.2","2.5","19624969","11.8"
"WAS Football Team ","WAS","KC","DST","2000","2.8","-2.2","5.5","19625474","6.0"
"Ian Thomas","CAR","MIN","TE","2700","6.0","-2.3","0.5","19625277","8.9"
"Zach Pascal","IND","HOU","WR","4400","9.4","-2.3","0.5","19624925","15.2"
"Kadarius Toney","NYG","LA","WR","5600","11.8","-2.3","5.5","19624887","16.6"
"Bears ","CHI","GB","DST","3000","4.7","-2.3","0.1","19625463","8.6"
"Rashod Bateman","BAL","LAC","WR","3000","6.6","-2.4","4.0","19625097","11.1"
"Aaron Rodgers","GB","CHI","QB","7200","19.8","-2.4","0.5","19624549","27.8"
"Randall Cobb","GB","CHI","WR","3900","8.3","-2.4","0.8","19624949","13.0"
"Davis Mills","HOU","IND","QB","5200","13.7","-2.4","0.5","19624562","18.2"
"Chris Conley","HOU","IND","WR","3300","7.1","-2.4","1.2","19624987","9.6"
"Darius Slayton","NYG","LA","WR","3800","8.2","-2.4","1.4","19624953","11.2"
"Parris Campbell","IND","HOU","WR","3400","7.2","-2.5","0.5","19624977","12.1"
"Evan Engram","NYG","LA","TE","3400","7.3","-2.5","4.1","19625253","9.9"
"Patriots ","NE","DAL","DST","3000","4.5","-2.5","0.2","19625462","8.3"
"Tyler Higbee","LA","NYG","TE","4400","9.1","-2.6","2.5","19625243","15.0"
"Giants ","NYG","LA","DST","2400","3.2","-2.6","1.0","19625470","6.5"
"Kalif Raymond","DET","CIN","WR","5000","10.2","-2.7","0.5","19624911","15.7"
"Henry Ruggs III","LV","DEN","WR","5200","10.4","-2.9","0.5","19624899","15.3"
