"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Josh Johnson","BAL","CIN","QB","4000","17.3","4.8","5.5","20692171","24.4"
"Joshua Palmer","LAC","HOU","WR","3300","13.9","4.3","1.6","20692614","22.2"
"James Robinson","JAX","NYJ","RB","5900","18.9","4.2","33.2","20692220","25.7"
"Antonio Brown","TB","CAR","WR","4900","16.9","4.2","36.1","20692546","24.3"
"Justin Jackson","LAC","HOU","RB","4200","14.9","3.5","30.1","20692294","21.3"
"Cooper Kupp","LA","MIN","WR","9100","24.2","3.2","37.4","20692476","35.2"
"Alexander Mattison","MIN","LA","RB","6800","19.6","3.2","23.1","20692206","26.1"
"David Montgomery","CHI","SEA","RB","5700","17.3","3.1","21.0","20692226","22.4"
"Ronald Jones II","TB","CAR","RB","5100","15.7","2.6","27.1","20692304","20.5"
"Falcons ","ATL","DET","DST","2600","8.6","2.4","15.8","20693152","14.0"
"Matt Ryan","ATL","DET","QB","5400","18.9","2.2","6.8","20692138","26.0"
"Josh Jacobs","LV","DEN","RB","6000","17.1","2.2","15.0","20692214","22.7"
"Jalen Hurts","PHI","NYG","QB","6400","21.7","1.9","15.8","20692128","33.6"
"Bengals ","CIN","BAL","DST","2800","8.5","1.9","11.1","20693150","13.8"
"Keenan Allen","LAC","HOU","WR","7700","19.9","1.7","13.9","20692482","29.0"
"Michael Carter","NYJ","JAX","RB","5200","15.0","1.7","7.2","20692240","21.8"
"Seahawks ","SEA","CHI","DST","3000","8.7","1.7","10.4","20693146","14.1"
"Justin Jefferson","MIN","LA","WR","8100","20.5","1.5","23.9","20692480","30.0"
"Braxton Berrios","NYJ","JAX","WR","3500","11.5","1.5","20.0","20692602","15.9"
"Jaguars ","JAX","NYJ","DST","2700","7.7","1.3","8.3","20693154","12.7"
"Laquon Treadwell","JAX","NYJ","WR","3500","11.1","1.2","10.5","20692600","15.1"
"Russell Gage","ATL","DET","WR","5900","15.7","1.0","12.0","20692510","23.0"
"Emmanuel Sanders","BUF","NE","WR","4000","12.0","1.0","7.6","20692572","16.8"
"Miles Sanders","PHI","NYG","RB","5600","15.1","1.0","10.0","20692218","20.4"
"Cordarrelle Patterson","ATL","DET","RB","6700","17.1","0.9","13.4","20692208","24.3"
"Justin Herbert","LAC","HOU","QB","7200","23.1","0.9","16.4","20692125","32.3"
"Jets ","NYJ","JAX","DST","2700","7.3","0.9","6.8","20693153","12.2"
"Matthew Stafford","LA","MIN","QB","6700","21.5","0.8","11.0","20692127","30.2"
"Chargers ","LAC","HOU","DST","3400","8.5","0.7","8.7","20693141","13.8"
"Nick Foles","CHI","SEA","QB","4000","13.1","0.6","0.5","20692169","18.5"
"Trevor Lawrence","JAX","NYJ","QB","5000","16.2","0.6","1.6","20692149","22.8"
"Eagles ","PHI","NYG","DST","3600","8.7","0.6","15.5","20693139","14.1"
"Amon-Ra St. Brown","DET","ATL","WR","5600","14.6","0.5","9.9","20692516","19.1"
"DJ Moore","CAR","TB","WR","5700","14.7","0.4","11.0","20692514","18.2"
"Tyreek Hill","KC","PIT","WR","8400","20.1","0.4","10.1","20692478","29.6"
"Darnell Mooney","CHI","SEA","WR","5400","14.0","0.3","4.6","20692522","18.2"
"Raiders ","LV","DEN","DST","2900","7.0","0.3","3.2","20693147","11.9"
"Joe Burrow","CIN","BAL","QB","5900","18.5","0.2","6.9","20692132","25.4"
"Nico Collins","HOU","LAC","WR","3400","10.0","0.2","12.5","20692612","12.8"
"Keelan Cole Sr.","NYJ","JAX","WR","3300","9.8","0.2","3.6","20692622","13.9"
"Broncos ","DEN","LV","DST","2800","6.7","0.2","2.0","20693149","11.4"
"Clyde Edwards-Helaire","KC","PIT","RB","5800","14.6","0.1","12.3","20692222","20.0"
"Cole Kmet","CHI","SEA","TE","3300","9.5","0.0","10.3","20692916","11.9"
"Joe Mixon","CIN","BAL","RB","6900","16.7","0.0","10.0","20692204","23.2"
"Rex Burkhead","HOU","LAC","RB","4500","11.8","-0.1","3.3","20692270","17.0"
"Damien Harris","NE","BUF","RB","5600","14.0","-0.1","6.3","20692230","20.0"
"Patriots ","NE","BUF","DST","2900","6.7","-0.1","4.3","20693148","11.4"
"Sony Michel","LA","MIN","RB","5500","13.7","-0.2","9.6","20692232","18.8"
"Dallas Goedert","PHI","NYG","TE","5100","12.9","-0.2","10.6","20692898","19.7"
"Buccaneers ","TB","CAR","DST","4100","9.0","-0.2","4.7","20693138","14.5"
"Kyle Pitts","ATL","DET","TE","5800","14.1","-0.3","11.1","20692894","21.6"
"Josh Allen","BUF","NE","QB","7500","22.8","-0.3","7.0","20692123","32.8"
"Robby Anderson","CAR","TB","WR","4900","12.4","-0.3","1.7","20692540","16.3"
"Tee Higgins","CIN","BAL","WR","6200","15.0","-0.3","10.5","20692500","22.3"
"Hunter Renfrow","LV","DEN","WR","6800","16.2","-0.3","13.4","20692496","22.9"
"Zach Wilson","NYJ","JAX","QB","5300","16.2","-0.3","0.5","20692141","24.8"
"Chiefs ","KC","PIT","DST","3500","7.6","-0.3","3.3","20693140","12.7"
"Cam Newton","CAR","TB","QB","5600","17.0","-0.4","0.5","20692134","22.4"
"Jared Cook","LAC","HOU","TE","3500","9.6","-0.4","8.1","20692914","14.8"
"Devin Singletary","BUF","NE","RB","5100","12.6","-0.5","6.3","20692242","15.0"
"Isaiah McKenzie","BUF","NE","WR","3000","8.5","-0.5","2.7","20692818","11.5"
"C.J. Uzomah","CIN","BAL","TE","3000","8.5","-0.5","9.0","20692924","13.0"
"Marvin Jones Jr.","JAX","NYJ","WR","4400","11.2","-0.5","4.8","20692564","15.3"
"Travis Kelce","KC","PIT","TE","7300","17.0","-0.5","4.7","20692886","25.1"
"Tim Boyle","DET","ATL","QB","4000","11.9","-0.6","1.0","20692177","15.6"
"Russell Wilson","SEA","CHI","QB","6100","18.3","-0.6","3.7","20692129","26.6"
"Bears ","CHI","SEA","DST","2500","5.3","-0.6","1.2","20693155","9.5"
"Tavon Austin","JAX","NYJ","WR","3100","8.4","-0.8","0.5","20692640","11.5"
"Tyler Higbee","LA","MIN","TE","3800","9.7","-0.8","4.2","20692908","15.0"
"Stefon Diggs","BUF","NE","WR","7600","17.2","-0.9","10.2","20692484","23.6"
"Jakobi Meyers","NE","BUF","WR","4900","11.8","-0.9","3.9","20692544","16.8"
"Najee Harris","PIT","KC","RB","7400","16.7","-0.9","11.5","20692200","21.3"
"Diontae Johnson","PIT","KC","WR","7500","17.0","-0.9","16.0","20692486","22.4"
"Rob Gronkowski","TB","CAR","TE","6200","14.3","-0.9","14.5","20692890","20.9"
"Panthers ","CAR","TB","DST","2300","4.7","-0.9","1.5","20693159","8.6"
"Vikings ","MIN","LA","DST","2400","4.9","-0.9","1.4","20693158","8.9"
"Kirk Cousins","MIN","LA","QB","6200","18.2","-1.0","5.8","20692130","24.4"
"Saquon Barkley","NYG","PHI","RB","6500","14.9","-1.0","6.3","20692210","19.1"
"Tyler Lockett","SEA","CHI","WR","6700","15.2","-1.0","4.8","20692498","23.1"
"Lions ","DET","ATL","DST","2600","5.2","-1.0","0.5","20693151","9.3"
"Javonte Williams","DEN","LV","RB","6100","14.0","-1.1","6.6","20692216","18.9"
"D'Andre Swift","DET","ATL","RB","6300","14.3","-1.2","5.0","20692212","20.3"
"DK Metcalf","SEA","CHI","WR","6400","14.5","-1.2","8.4","20692502","21.3"
"James O'Shaughnessy","JAX","NYJ","TE","3200","8.1","-1.3","2.7","20692920","10.9"
"Patrick Mahomes","KC","PIT","QB","7700","22.4","-1.3","10.0","20692122","31.3"
"Ravens ","BAL","CIN","DST","3100","5.8","-1.3","0.5","20693143","10.2"
"Brevin Jordan","HOU","LAC","TE","2500","6.6","-1.4","0.5","20692954","8.5"
"Zay Jones","LV","DEN","WR","3500","8.6","-1.4","2.5","20692598","12.3"
"Odell Beckham Jr.","LA","MIN","WR","5300","12.1","-1.4","2.6","20692524","18.6"
"Gerald Everett","SEA","CHI","TE","3700","9.0","-1.4","2.4","20692910","13.3"
"Rams ","LA","MIN","DST","3100","5.8","-1.4","0.6","20693144","10.1"
"Chris Conley","HOU","LAC","WR","3300","8.0","-1.5","1.3","20692620","10.7"
"Derek Carr","LV","DEN","QB","5800","16.4","-1.5","2.8","20692133","22.9"
"Foster Moreau","LV","DEN","TE","3600","8.6","-1.5","5.1","20692912","11.9"
"Giants ","NYG","PHI","DST","2500","4.5","-1.5","0.1","20693156","8.4"
"Darrel Williams","KC","PIT","RB","4600","10.5","-1.6","0.5","20692260","15.9"
"Tyler Kroft","NYJ","JAX","TE","2500","6.4","-1.6","2.2","20692960","9.0"
"Chase Claypool","PIT","KC","WR","5100","11.5","-1.6","3.0","20692530","15.4"
"Marquise Brown","BAL","CIN","WR","5800","12.8","-1.7","2.3","20692512","16.2"
"Tyler Conklin","MIN","LA","TE","3900","9.1","-1.7","3.7","20692906","13.4"
"Texans ","HOU","LAC","DST","2400","4.1","-1.7","0.0","20693157","7.8"
"Tyler Boyd","CIN","BAL","WR","5100","11.3","-1.8","2.0","20692532","17.3"
"Bills ","BUF","NE","DST","3200","5.5","-1.8","0.5","20693142","9.8"
"Jonnu Smith","NE","BUF","TE","2500","6.0","-1.9","0.8","20693082","9.2"
"Evan Engram","NYG","PHI","TE","3400","7.8","-1.9","1.2","20692918","9.2"
"Denzel Mims","NYJ","JAX","WR","3000","7.1","-1.9","0.5","20692778","10.3"
"Ja'Marr Chase","CIN","BAL","WR","7100","15.0","-2.0","6.3","20692490","22.5"
"Drew Lock","DEN","LV","QB","5100","13.9","-2.0","1.2","20692147","20.4"
"Tom Brady","TB","CAR","QB","7400","20.8","-2.0","5.2","20692124","29.9"
"Kenny Golladay","NYG","PHI","WR","5300","11.4","-2.1","0.5","20692528","14.8"
"Melvin Gordon III","DEN","LV","RB","5800","12.3","-2.2","1.1","20692224","17.5"
"Ben Roethlisberger","PIT","KC","QB","5500","14.8","-2.3","0.5","20692135","18.1"
"Zach Gentry","PIT","KC","TE","2800","6.3","-2.3","0.9","20692932","8.5"
"Marquise Goodwin","CHI","SEA","WR","3100","6.7","-2.5","0.5","20692634","8.9"
"Ray-Ray McCloud III","PIT","KC","WR","3100","6.7","-2.5","0.5","20692636","8.9"
"Cameron Brate","TB","CAR","TE","2500","5.5","-2.5","0.5","20692956","8.6"
"Darius Slayton","NYG","PHI","WR","4200","8.8","-2.6","0.5","20692568","11.1"
"Ke'Shawn Vaughn","TB","CAR","RB","4400","9.1","-2.6","0.5","20692420","13.3"
"Devonta Freeman","BAL","CIN","RB","5300","10.8","-2.7","0.7","20692238","13.1"
"Damiere Byrd","CHI","SEA","WR","3300","6.6","-2.9","0.5","20692616","9.2"
"Josh Reynolds","DET","ATL","WR","4600","9.2","-2.9","0.7","20692556","12.4"
"Byron Pringle","KC","PIT","WR","3300","6.7","-2.9","6.7","20692618","11.5"
"Bryan Edwards","LV","DEN","WR","3200","6.4","-2.9","0.5","20692626","9.6"
"Van Jefferson Jr.","LA","MIN","WR","5500","11.0","-2.9","0.8","20692518","16.8"
"Rashaad Penny","SEA","CHI","RB","5500","11.0","-2.9","1.1","20692234","15.9"
"Steelers ","PIT","KC","DST","3000","4.1","-2.9","0.0","20693145","7.7"
"Mike Davis","ATL","DET","RB","4900","9.7","-3.0","0.5","20692252","15.8"
"Dawson Knox","BUF","NE","TE","5300","10.5","-3.0","3.8","20692896","14.4"
"Brandon Zylstra","CAR","TB","WR","3100","6.2","-3.0","0.5","20692632","8.3"
"Jerry Jeudy","DEN","LV","WR","5000","9.9","-3.0","0.5","20692534","13.9"
"Phillip Dorsett II","HOU","LAC","WR","3000","6.0","-3.0","0.5","20692734","8.1"
"Mac Jones","NE","BUF","QB","5300","13.5","-3.0","0.7","20692140","18.4"
"Adam Thielen","MIN","LA","WR","6900","13.6","-3.1","1.2","20692494","19.8"
"Noah Fant","DEN","LV","TE","4400","8.6","-3.2","0.9","20692902","11.6"
"Shane Zylstra","DET","ATL","TE","2500","4.7","-3.3","0.0","20693042","6.2"
"Jordan Akins","HOU","LAC","TE","2700","5.0","-3.3","0.5","20692938","6.8"
"N'Keal Harry","NE","BUF","WR","3000","5.6","-3.3","0.5","20692808","8.8"
"James Washington","PIT","KC","WR","3700","7.0","-3.3","0.5","20692592","9.5"
"Davis Mills","HOU","LAC","QB","5500","13.7","-3.4","0.5","20692136","16.4"
"Albert Okwuegbunam","DEN","LV","TE","3100","5.6","-3.5","0.5","20692922","8.3"
"Brock Wright","DET","ATL","TE","2500","4.5","-3.5","0.0","20692950","5.9"
"Hayden Hurst","ATL","DET","TE","2600","4.5","-3.7","0.1","20692944","7.7"
"Joshua Kelley","LAC","HOU","RB","4000","7.2","-3.7","0.5","20692372","12.6"
"DeVonta Smith","PHI","NYG","WR","6000","11.2","-3.7","0.5","20692508","17.3"
"Tommy Tremble","CAR","TB","TE","2600","4.4","-3.8","0.0","20692948","5.5"
"Craig Reynolds","DET","ATL","RB","4500","8.1","-3.8","0.5","20692266","11.7"
"Hunter Henry","NE","BUF","TE","4700","8.5","-3.8","3.0","20692900","12.3"
"Rashod Bateman","BAL","CIN","WR","4500","8.0","-3.9","0.5","20692560","10.5"
"Courtland Sutton","DEN","LV","WR","4200","7.4","-3.9","0.5","20692566","10.5"
"Jason Moore Jr.","LAC","HOU","WR","3000","5.0","-3.9","0.5","20692726","9.6"
"Jake Fromm","NYG","PHI","QB","5000","11.7","-3.9","0.5","20692150","16.1"
"Breshad Perriman","TB","CAR","WR","4200","7.4","-3.9","0.5","20692624","12.1"
"Mark Andrews","BAL","CIN","TE","7000","12.8","-4.0","5.2","20692888","15.9"
"Kalif Raymond","DET","ATL","WR","3900","6.7","-4.0","0.5","20692576","9.4"
"Pharoh Cooper","NYG","PHI","WR","3000","4.9","-4.1","0.0","20692868","6.0"
"Tim Patrick","DEN","LV","WR","4500","7.7","-4.2","0.5","20692558","11.2"
"Brandon Bolden","NE","BUF","RB","4200","7.1","-4.2","0.5","20692300","11.8"
"Ameer Abdullah","CAR","TB","RB","4500","7.6","-4.3","0.5","20692268","10.9"
"Tyler Johnson","TB","CAR","WR","3900","6.4","-4.3","1.3","20692630","10.4"
"Kendrick Bourne","NE","BUF","WR","5000","8.3","-4.6","0.5","20692536","12.7"
"Jalen Reagor","PHI","NYG","WR","3100","4.6","-4.6","0.0","20692642","8.1"
"Olamide Zaccheaus","ATL","DET","WR","3800","5.9","-4.7","0.5","20692582","9.8"
"Demarcus Robinson","KC","PIT","WR","3000","4.3","-4.7","0.0","20692680","8.1"
"Kyle Rudolph","NYG","PHI","TE","2700","3.5","-4.8","0.1","20692940","4.5"
"Jeff Smith","NYJ","JAX","WR","3000","4.0","-4.9","0.0","20692782","6.0"
"Jordan Howard","PHI","NYG","RB","4300","6.5","-5.0","0.5","20692290","11.7"
"Mecole Hardman","KC","PIT","WR","3500","4.8","-5.1","5.2","20692604","8.9"
"Darrell Henderson Jr.","LA","MIN","RB","5700","9.2","-5.1","0.5","20692228","13.7"
"Quez Watkins","PHI","NYG","WR","3800","5.4","-5.1","0.5","20692584","9.2"
"Jimmy Graham","CHI","SEA","TE","2900","3.6","-5.2","0.0","20692930","4.7"
"Jake Kumerow","BUF","NE","WR","3000","3.6","-5.4","0.0","20692820","5.7"
"Ian Thomas","CAR","TB","TE","2500","2.6","-5.4","0.0","20693070","3.2"
"David Johnson","HOU","LAC","RB","4400","6.3","-5.4","0.5","20692280","10.3"
"Pharaoh Brown","HOU","LAC","TE","2600","2.8","-5.4","0.0","20692946","3.9"
"Stephen Anderson","LAC","HOU","TE","2500","2.4","-5.5","0.0","20693034","5.9"
"Devontae Booker","NYG","PHI","RB","4900","7.2","-5.5","0.5","20692248","10.0"
"Samaje Perine","CIN","BAL","RB","4400","6.1","-5.6","0.5","20692278","10.8"
"Christian Blake","ATL","DET","WR","3000","3.2","-5.8","0.0","20692758","5.9"
"Latavius Murray","BAL","CIN","RB","4400","5.9","-5.8","0.5","20692274","7.8"
"James Proche","BAL","CIN","WR","3000","3.1","-5.8","0.0","20692708","4.3"
"Ben Skowronek","LA","MIN","WR","3000","3.2","-5.8","0.0","20692844","6.3"
"K.J. Osborn","MIN","LA","WR","4800","6.7","-5.8","0.5","20692548","10.4"
"Freddie Swain","SEA","CHI","WR","3400","3.9","-5.8","0.0","20692608","6.8"
"Trevon Wesco","NYJ","JAX","TE","2500","2.1","-5.9","0.0","20693066","3.9"
"O.J. Howard","TB","CAR","TE","2500","2.1","-5.9","0.0","20693076","5.0"
"K.J. Hill","LAC","HOU","WR","3000","2.8","-6.1","0.0","20692730","6.5"
"Scotty Miller","TB","CAR","WR","3600","4.1","-6.1","0.0","20692800","7.6"
"Davion Davis","HOU","LAC","WR","3000","2.8","-6.2","0.0","20692742","3.9"
"Kendall Blanton","LA","MIN","TE","2600","2.0","-6.2","0.0","20692942","4.8"
"Colby Parkinson","SEA","CHI","TE","2500","1.8","-6.2","0.0","20692998","4.0"
"Drew Sample","CIN","BAL","TE","2500","1.7","-6.3","0.0","20693022","4.0"
"DeSean Jackson","LV","DEN","WR","3700","4.1","-6.3","0.0","20692590","6.7"
"Tre' McKitty","LAC","HOU","TE","2500","1.7","-6.3","0.0","20693032","4.8"
"Austin Walter","NYJ","JAX","RB","4000","4.6","-6.4","0.0","20692472","9.5"
"Tylan Wallace","BAL","CIN","WR","3000","2.5","-6.5","0.0","20692710","3.4"
"Daniel Helm","LV","DEN","TE","2500","1.5","-6.5","0.0","20692964","2.8"
"Kevin Rader","PIT","KC","TE","2500","1.5","-6.5","0.0","20692978","2.3"
"Dee Eskridge","SEA","CHI","WR","3500","3.4","-6.5","0.6","20692606","6.3"
"Eric Tomlinson","BAL","CIN","TE","2500","1.4","-6.6","0.0","20693014","2.1"
"Chuba Hubbard","CAR","TB","RB","5400","7.1","-6.6","0.5","20692236","9.5"
"Lee Smith","ATL","DET","TE","2500","1.3","-6.7","0.0","20693050","3.5"
"Jacob Hollister","JAX","NYJ","TE","2500","1.1","-6.8","0.0","20693060","2.3"
"Noah Gray","KC","PIT","TE","2500","0.9","-7.0","0.6","20692986","3.7"
"J.J. Taylor","NE","BUF","RB","4000","4.0","-7.0","0.0","20692430","7.8"
"Tommy Sweeney","BUF","NE","TE","2500","0.8","-7.1","0.0","20693092","2.1"
"Chris Manhertz","JAX","NYJ","TE","2500","0.8","-7.1","0.0","20692958","2.0"
