"Player","Team","Opponent","Y Position","Y Salary","Y Projection","Y Value","Y Ceiling","YSlateID"
"Darrell Henderson Jr.","LA","DET","RB","27","18.1","6.5","26.8","3172849"
"Cooper Kupp","LA","DET","WR","34","19.8","6.1","29.4","3172845"
"Derrick Henry","TEN","KC","RB","40","21.6","6.1","30.0","3172619"
"Josh Jacobs","LV","PHI","RB","19","15.0","5.8","21.4","3172813"
"Darrel Williams","KC","TEN","RB","18","14.2","5.3","20.7","3172610"
"Devontae Booker","NYG","CAR","RB","14","13.0","5.3","18.2","3172733"
"Chuba Hubbard","CAR","NYG","RB","22","15.0","4.9","20.9","3172728"
"Davante Adams","GB","WAS","WR","35","18.7","4.7","26.9","3172584"
"Brandin Cooks","HOU","ARI","WR","18","13.6","4.7","17.3","3172864"
"Damien Harris","NE","NYJ","RB","18","13.5","4.6","19.5","3172703"
"Tyreek Hill","KC","TEN","WR","35","18.5","4.5","27.5","3172605"
"Miles Sanders","PHI","LV","RB","16","12.7","4.4","18.3","3172794"
"Leonard Fournette","TB","CHI","RB","25","15.4","4.4","21.9","3172923"
"Jakobi Meyers","NE","NYJ","WR","13","11.5","4.1","16.8","3172704"
"Chase Edmonds","ARI","HOU","RB","16","12.3","4.0","19.1","3172886"
"Mike Evans","TB","CHI","WR","24","14.7","4.0","22.6","3172920"
"Calvin Ridley","ATL","MIA","WR","23","14.3","3.9","20.8","3172646"
"Travis Kelce","KC","TEN","TE","28","15.8","3.9","23.9","3172599"
"Derek Carr","LV","PHI","QB","25","19.9","3.9","27.6","3172806"
"Robert Woods","LA","DET","WR","20","13.3","3.8","21.2","3172843"
"Jaylen Waddle","MIA","ATL","WR","16","12.1","3.8","17.0","3172671"
"D'Andre Swift","DET","LA","RB","23","14.1","3.7","19.6","3172835"
"Michael Carter","NYJ","NE","RB","14","11.2","3.5","16.0","3172693"
"Robby Anderson","CAR","NYG","WR","11","10.2","3.4","15.0","3172716"
"Chris Godwin","TB","CHI","WR","24","14.1","3.4","21.4","3172925"
"Matthew Stafford","LA","DET","QB","31","22.3","3.3","31.6","3172842"
"DeVonta Smith","PHI","LV","WR","14","10.8","3.1","15.8","3172800"
"Jalen Hurts","PHI","LV","QB","35","23.9","2.9","32.2","3172798"
"Ja'Marr Chase","CIN","BAL","WR","26","14.0","2.7","19.8","3172765"
"Antonio Gibson","WAS","GB","RB","20","12.1","2.6","17.1","3172573"
"Matt Ryan","ATL","MIA","QB","25","18.5","2.5","25.0","3172637"
"DJ Moore","CAR","NYG","WR","28","14.3","2.4","19.8","3172722"
"Aaron Jones","GB","WAS","RB","33","15.8","2.4","22.7","3172585"
