"Player","Team","Opponent","Y Position","Y Salary","Y Projection","Y Value","Y Ceiling","YSlateID"
"Tee Higgins","CIN","BAL","WR","18","11.2","2.3","15.7","3172763"
"Myles Gaskin","MIA","ATL","RB","16","10.6","2.3","15.7","3172667"
"A.J. Brown","TEN","KC","WR","24","13.0","2.3","19.7","3172626"
"Terry McLaurin","WAS","GB","WR","25","13.2","2.2","18.1","3172572"
"Christian Kirk","ARI","HOU","WR","13","9.4","2.0","16.2","3172885"
"Lamar Jackson","BAL","CIN","QB","38","24.5","2.0","31.9","3172772"
"Mark Andrews","BAL","CIN","TE","20","11.5","2.0","17.5","3172773"
"Patrick Mahomes","KC","TEN","QB","40","25.5","2.0","34.6","3172606"
"Tom Brady","TB","CHI","QB","34","22.5","2.0","31.8","3172915"
"Cordarrelle Patterson","ATL","MIA","RB","23","12.2","1.8","18.3","3172639"
"Henry Ruggs III","LV","PHI","WR","15","9.8","1.8","15.5","3172817"
"Corey Davis","NYJ","NE","WR","14","9.5","1.8","13.1","3172682"
"Kyle Pitts","ATL","MIA","TE","19","10.9","1.7","16.4","3172651"
"Joe Mixon","CIN","BAL","RB","27","13.3","1.7","18.7","3172756"
"Hunter Renfrow","LV","PHI","WR","16","10.0","1.7","15.0","3172815"
"Tua Tagovailoa","MIA","ATL","QB","26","18.2","1.7","25.8","3178790"
"Kyler Murray","ARI","HOU","QB","39","24.6","1.6","34.1","3172887"
"Mike Davis","ATL","MIA","RB","19","10.8","1.6","16.0","3172641"
"Mecole Hardman","KC","TEN","WR","15","9.6","1.6","16.0","3172611"
"A.J. Green","ARI","HOU","WR","14","9.2","1.5","15.9","3172879"
"Jamison Crowder","NYJ","NE","WR","12","8.6","1.5","11.7","3172680"
"Darnell Mooney","CHI","TB","WR","17","9.9","1.3","13.1","3172911"
"Tyler Boyd","CIN","BAL","WR","14","9.0","1.3","12.6","3172753"
"Mike Gesicki","MIA","ATL","TE","18","10.2","1.3","14.9","3172665"
"AJ Dillon","GB","WAS","RB","14","8.9","1.2","13.4","3172590"
"Kalif Raymond","DET","LA","WR","12","8.2","1.1","11.5","3172826"
"James Conner","ARI","HOU","RB","23","11.4","1.0","17.7","3172883"
"Jared Goff","DET","LA","QB","21","14.9","0.9","19.1","3172825"
"Bryan Edwards","LV","PHI","WR","10","7.4","0.9","12.3","3172818"
"Darius Slayton","NYG","CAR","WR","15","8.9","0.9","12.9","3172741"
"Ryan Tannehill","TEN","KC","QB","29","18.9","0.9","26.4","3172616"
"Allen Robinson II","CHI","TB","WR","19","10.0","0.8","13.4","3172901"
"Los Angeles Rams","LA","DET","DEF","15","8.8","0.8","14.3","3172859"
"Tyler Johnson","TB","CHI","WR","10","7.2","0.7","12.7","3172928"
"DeAndre Hopkins","ARI","HOU","WR","28","12.5","0.6","20.0","3172880"
"Rondale Moore","ARI","HOU","WR","15","8.6","0.6","14.9","3172893"
"Joe Burrow","CIN","BAL","QB","27","17.6","0.6","22.7","3172762"
"Robert Tonyan","GB","WAS","TE","10","7.1","0.6","12.4","3172586"
"Mac Jones","NE","NYJ","QB","22","15.1","0.6","21.1","3172708"
"Amon-Ra St. Brown","DET","LA","WR","14","8.2","0.5","10.9","3172837"
"Van Jefferson Jr.","LA","DET","WR","12","7.6","0.5","14.0","3172850"
"Daniel Jones","NYG","CAR","QB","27","17.5","0.5","22.3","3172740"
"Dallas Goedert","PHI","LV","TE","17","9.1","0.5","13.6","3181712"
"Brandon Bolden","NE","NYJ","RB","10","6.9","0.4","11.5","3172696"
"Nelson Agholor","NE","NYJ","WR","11","7.2","0.4","11.8","3172697"
"New York Giants","NYG","CAR","DEF","10","6.9","0.4","11.7","3172750"
"Darren Waller","LV","PHI","TE","21","10.1","0.3","15.3","3172808"
"Zach Wilson","NYJ","NE","QB","20","13.8","0.3","18.5","3172691"
"Green Bay Packers","GB","WAS","DEF","12","7.4","0.3","12.3","3172596"
"Devonta Freeman","BAL","CIN","RB","14","7.8","0.1","11.9","3172769"
"Rashod Bateman","BAL","CIN","WR","15","8.1","0.1","13.1","3172785"
"T.J. Hockenson","DET","LA","TE","19","9.3","0.1","12.3","3172831"
"Mark Ingram II","HOU","ARI","RB","14","7.8","0.1","10.8","3172862"
"Taylor Heinicke","WAS","GB","QB","27","17.0","0.0","21.6","3172564"
"Marquise Brown","BAL","CIN","WR","26","11.2","-0.1","17.2","3172774"
"Preston Williams","MIA","ATL","WR","10","6.4","-0.1","10.4","3172668"
"Dante Pettis","NYG","CAR","WR","10","6.4","-0.1","9.6","3180327"
"O.J. Howard","TB","CHI","TE","10","6.4","-0.1","11.8","3172924"
"Ricky Seals-Jones","WAS","GB","TE","15","7.9","-0.1","11.5","3172569"
"Justin Fields","CHI","TB","QB","22","14.3","-0.2","21.1","3172912"
"Jalen Reagor","PHI","LV","WR","10","6.2","-0.3","10.0","3172797"
"Damien Williams","CHI","TB","RB","16","7.9","-0.4","11.4","3181685"
"Quez Watkins","PHI","LV","WR","10","6.1","-0.4","10.0","3172799"
"Julio Jones","TEN","KC","WR","22","9.7","-0.4","15.3","3172615"
"Dyami Brown","WAS","GB","WR","10","6.1","-0.4","9.3","3172575"
"Arizona Cardinals","ARI","HOU","DEF","22","9.7","-0.4","15.6","3172895"
"Tampa Bay Buccaneers","TB","CHI","DEF","19","8.8","-0.4","14.2","3172933"
"Cole Kmet","CHI","TB","TE","11","6.3","-0.5","8.7","3172910"
"Russell Gage","ATL","MIA","WR","12","6.5","-0.6","10.6","3172647"
"Evan Engram","NYG","CAR","TE","13","6.8","-0.6","9.9","3172736"
"Kenneth Gainwell","PHI","LV","RB","12","6.5","-0.6","10.6","3172801"
"Las Vegas Raiders","LV","PHI","DEF","12","6.5","-0.6","11.1","3172823"
"Davis Mills","HOU","ARI","QB","20","12.8","-0.7","16.6","3172874"
"J.D. McKissic","WAS","GB","RB","16","7.6","-0.7","11.6","3172567"
"Aaron Rodgers","GB","WAS","QB","34","19.7","-0.8","28.3","3172581"
"Tyler Higbee","LA","DET","TE","16","7.5","-0.8","13.9","3172844"
"Sam Darnold","CAR","NYG","QB","30","17.6","-0.9","25.3","3172721"
"Jamaal Williams","DET","LA","RB","15","7.1","-0.9","10.1","3172827"
"Elijah Moore","NYJ","NE","WR","10","5.6","-0.9","8.2","3172692"
"Atlanta Falcons","ATL","MIA","DEF","12","6.2","-0.9","10.7","3172675"
"Baltimore Ravens","BAL","CIN","DEF","15","6.9","-1.1","11.6","3172788"
"New England Patriots","NE","NYJ","DEF","21","8.7","-1.1","14.2","3172714"
"Collin Johnson","NYG","CAR","WR","10","5.3","-1.2","8.3","3172744"
"Ty'Son Williams","BAL","CIN","RB","12","5.8","-1.3","9.5","3172779"
"Carolina Panthers","CAR","NYG","DEF","17","7.3","-1.3","12.2","3172749"
"KhaDarel Hodge","DET","LA","WR","10","5.1","-1.4","7.5","3172830"
"Keith Kirkwood","CAR","NYG",,,"2.0","-1.5","4.9",
"Allen Lazard","GB","WAS","WR","13","5.9","-1.5","10.8","3172587"
"David Johnson","HOU","ARI","RB","12","5.6","-1.5","8.3","3172866"
"Kendrick Bourne","NE","NYJ","WR","11","5.3","-1.5","9.3","3172700"
"David Sills","NYG","CAR",,,"2.0","-1.5","4.2",
"Khalil Herbert","CHI","TB","RB","16","6.7","-1.6","9.7","3172913"
"Cameron Brate","TB","CHI","TE","10","4.9","-1.6","9.8","3172921"
"Adam Humphries","WAS","GB","WR","10","4.9","-1.6","7.6","3172566"
"Hunter Henry","NE","NYJ","TE","17","6.9","-1.7","11.2","3172698"
"Jonnu Smith","NE","NYJ","TE","11","4.9","-1.9","8.8","3172699"
"Devin Duvernay","BAL","CIN","WR","10","4.5","-2.0","8.5","3172776"
"Ryan Griffin","NYJ","NE","TE","10","4.5","-2.0","6.8","3172677"
"Ty Johnson","NYJ","NE","RB","13","5.3","-2.1","8.7","3172687"
"Nick Westbrook-Ikhine","TEN","KC","WR","10","4.4","-2.1","8.5","3172629"
"John Ross III","NYG","CAR","WR","10","4.2","-2.3","7.1","3172735"
"Miami Dolphins","MIA","ATL","DEF","13","5.1","-2.3","9.2","3172676"
"Marquise Goodwin","CHI","TB","WR","10","4.1","-2.4","6.3","3172900"
"Chris Moore","HOU","ARI","WR","11","4.4","-2.4","6.1","3176449"
"Kansas City Chiefs","KC","TEN","DEF","11","4.4","-2.4","8.2","3172635"
"New York Jets","NYJ","NE","DEF","15","5.6","-2.4","9.8","3172713"
"Ian Thomas","CAR","NYG","TE","10","4.0","-2.5","7.1","3172724"
"Jerick McKinnon","KC","TEN","RB","12","4.6","-2.5","8.2","3172601"
"Sony Michel","LA","DET","RB","17","6.1","-2.5","11.1","3172847"
"DeSean Jackson","LA","DET","WR","13","4.9","-2.5","10.9","3172841"
"Salvon Ahmed","MIA","ATL","RB","13","4.9","-2.5","8.3","3172669"
"Hayden Hurst","ATL","MIA","TE","10","3.8","-2.7","7.6","3172645"
"Marcedes Lewis","GB","WAS","TE","10","3.8","-2.7","8.1","3172582"
"Jordan Akins","HOU","ARI","TE","10","3.8","-2.7","5.3","3172871"
"Anthony Firkser","TEN","KC","TE","12","4.4","-2.7","8.5","3172623"
"Ronald Jones II","TB","CHI","RB","12","4.3","-2.8","7.6","3172926"
"Le'Veon Bell","BAL","CIN","RB","13","4.5","-2.9","7.8","3180329"
"Danny Amendola","HOU","ARI","WR","10","3.6","-2.9","5.0","3172860"
"Zach Ertz","ARI","HOU","TE","17","5.6","-3.0","11.2","3182064"
"Randall Cobb","GB","WAS","WR","17","5.6","-3.0","10.3","3172583"
"Malcolm Brown","MIA","ATL","RB","12","4.1","-3.0","7.2","3172659"
"Keelan Cole Sr.","NYJ","NE","WR","10","3.5","-3.0","5.7","3172683"
"Rodney Smith","CAR","NYG",,,"0.4","-3.1","2.5",
"Pharaoh Brown","HOU","ARI","TE","10","3.4","-3.1","4.9","3172869"
"Mack Hollins","MIA","ATL","WR","10","3.4","-3.1","6.6","3172663"
"Nico Collins","HOU","ARI","WR","10","3.3","-3.2","4.7","3172877"
"Durham Smythe","MIA","ATL","TE","10","3.3","-3.2","6.4","3172666"
"Washington Football Team","WAS","GB","DEF","11","3.6","-3.2","7.1","3172595"
"C.J. Uzomah","CIN","BAL","TE","15","4.7","-3.3","7.6","3172752"
"Matt Bushman","LV","PHI",,,"0.2","-3.3","3.2",
"Kyle Rudolph","NYG","CAR","TE","10","3.2","-3.3","5.6","3172730"
"Byron Pringle","KC","TEN","WR","13","4.0","-3.4","9.1","3172609"
"Philadelphia Eagles","PHI","LV","DEF","16","4.9","-3.4","8.9","3172822"
"Tommy Tremble","CAR","NYG","TE","12","3.6","-3.5","6.8","3172727"
"Samaje Perine","CIN","BAL","RB","12","3.6","-3.5","6.5","3181691"
"Demarcus Robinson","KC","TEN","WR","13","3.9","-3.5","9.0","3172604"
"Foster Moreau","LV","PHI","TE","10","3.0","-3.5","6.7","3172814"
"Cincinnati Bengals","CIN","BAL","DEF","15","4.5","-3.5","8.4","3172787"
"Darrynton Evans","TEN","KC","RB","10","2.9","-3.6","5.8","3172633"
"Marcus Johnson","TEN","KC","WR","10","2.9","-3.6","6.8","3172632"
"Royce Freeman","CAR","NYG","RB","10","2.8","-3.7","5.6","3172723"
"Giovani Bernard","TB","CHI","RB","13","3.7","-3.7","7.0","3172919"
"Shi Smith","CAR","NYG","WR","10","2.7","-3.8","5.7","3172729"
"Chris Conley","HOU","ARI","WR","10","2.7","-3.8","4.1","3172865"
"Kenyan Drake","LV","PHI","RB","17","4.8","-3.8","8.4","3172809"
"J.J. Taylor","NE","NYJ","RB","10","2.7","-3.8","5.8","3172707"
"Phillip Lindsay","HOU","ARI","RB","10","2.6","-3.9","4.2","3172872"
"Alex Erickson","CAR","NYG","WR","10","2.5","-4.0","5.3","3172715"
"James Proche","BAL","CIN","WR","10","2.3","-4.2","5.9","3172777"
"Jaelon Darden","TB","CHI","WR","10","2.3","-4.2","6.5","3172930"
"Houston Texans","HOU","ARI","DEF","11","2.6","-4.2","5.8","3172894"
"Noah Gray","KC","TEN","TE","10","2.2","-4.3","6.8","3172614"
"Eli Penny","NYG","CAR","RB","10","2.2","-4.3","4.7","3172734"
"Geoff Swaim","TEN","KC","TE","10","2.1","-4.4","5.7","3172618"
"Tennessee Titans","TEN","KC","DEF","12","2.7","-4.4","5.8","3172636"
"Wayne Gallman Jr.","ATL","MIA","RB","10","2.0","-4.5","4.8","3172643"
"La'Mical Perine","NYJ","NE","RB","10","1.9","-4.6","4.3","3172690"
"Tyree Jackson","PHI","LV","TE","10","1.9","-4.6","4.7","3172803"
"Detroit Lions","DET","LA","DEF","10","1.8","-4.7","4.7","3172858"
"Jalen Richard","LV","PHI","RB","11","2.0","-4.8","4.8","3172821"
"Damiere Byrd","CHI","TB","WR","10","1.6","-4.9","3.3","3172905"
"Geronimo Allison","DET","LA","WR","10","1.6","-4.9","3.2","3180331"
"Zay Jones","LV","PHI","WR","10","1.6","-4.9","4.9","3172811"
"Willie Snead IV","LV","PHI","WR","10","1.6","-4.9","4.9","3172807"
"Albert Wilson","MIA","ATL","WR","10","1.6","-4.9","4.4","3172657"
"N'Keal Harry","NE","NYJ","WR","10","1.6","-4.9","4.7","3172702"
"Jeremy McNichols","TEN","KC","RB","11","1.9","-4.9","4.6","3172622"
"Josh Oliver","BAL","CIN","TE","10","1.5","-5.0","4.9","3172775"
"Auden Tate","CIN","BAL","WR","10","1.5","-5.0","3.6","3172758"
"MyCole Pruitt","TEN","KC","TE","10","1.5","-5.0","5.0","3172617"
"Chicago Bears","CHI","TB","DEF","16","3.2","-5.1","6.6","3172932"
"Chris Evans","CIN","BAL","RB","10","1.3","-5.2","3.6","3172766"
"Adam Shaheen","MIA","ATL","TE","10","1.3","-5.2","4.0","3172662"
"Olamide Zaccheaus","ATL","MIA","WR","13","2.1","-5.3","5.4","3172649"
"Jaret Patterson","WAS","GB","RB","10","1.2","-5.3","3.2","3172578"
"DeAndre Carter","WAS","GB","WR","10","1.2","-5.3","3.3","3172565"
"Tajae Sharpe","ATL","MIA","WR","10","1.1","-5.4","4.2","3172642"
"Lee Smith","ATL","MIA","TE","10","1.1","-5.4","4.1","3172638"
"Alec Ingold","LV","PHI","RB","10","1.1","-5.4","3.6","3172816"
"Equanimeous St. Brown","GB","WAS","WR","10","1.0","-5.5","4.7","3177772"
"Keith Smith","ATL","MIA","RB","10","0.9","-5.6","3.4","3172640"
"Braxton Berrios","NYJ","NE","WR","10","0.9","-5.6","2.5","3172685"
"Greg Ward","PHI","LV","WR","10","0.9","-5.6","3.6","3172791"
"Josh Reynolds","TEN","KC","WR","10","0.9","-5.6","4.2","3172621"
"Demetrius Harris","ARI","HOU","TE","10","0.8","-5.7","5.2","3172881"
"Jesse James","CHI","TB","TE","10","0.8","-5.7","2.3","3172904"
"Drew Sample","CIN","BAL","TE","10","0.8","-5.7","2.8","3172759"
"Darren Fells","DET","LA","TE","10","0.8","-5.7","2.3","3172824"
"Tom Kennedy","DET","LA","WR","10","0.7","-5.8","2.2","3172834"
"Denzel Mims","NYJ","NE","WR","10","0.7","-5.8","2.2","3172689"
"Trevon Wesco","NYJ","NE","TE","10","0.7","-5.8","2.2","3172686"
"Daniel Brown","NYJ","NE","TE","10","0.7","-5.8","2.2","3172681"
"Dax Milne","WAS","GB","WR","10","0.7","-5.8","2.6","3172577"
"John Bates","WAS","GB","TE","10","0.7","-5.8","2.6","3172576"
"Jesper Horsted","CHI","TB","TE","10","0.6","-5.9","2.2","3172909"
"Josh Gordon","KC","TEN","WR","13","1.5","-5.9","5.9","3172598"
"Patrick Ricard","BAL","CIN","RB","10","0.5","-6.0","2.7","3172771"
"Miles Boykin","BAL","CIN","WR","10","0.5","-6.0","3.6","3172784"
"Artavis Pierce","CHI","TB","RB","10","0.5","-6.0","2.0","3180334"
"Amari Rodgers","GB","WAS","WR","10","0.5","-6.0","4.0","3172593"
"Josiah Deguara","GB","WAS","TE","10","0.5","-6.0","4.1","3172591"
"Michael Burton","KC","TEN","RB","10","0.5","-6.0","3.0","3172603"
"Cethan Carter","MIA","ATL","TE","10","0.5","-6.0","3.1","3172664"
"JJ Arcega-Whiteside","PHI","LV","WR","10","0.5","-6.0","3.1","3172795"
"Rex Burkhead","HOU","ARI","RB","10","0.4","-6.1","1.5","3172863"
"Antony Auclair","HOU","ARI","TE","10","0.4","-6.1","1.3","3172868"
"Isaiah Ford","MIA","ATL","WR","10","0.4","-6.1","3.0","3180324"
"Kaden Smith","NYG","CAR","TE","10","0.4","-6.1","2.3","3172742"
"Cameron Batson","TEN","KC","WR","10","0.4","-6.1","3.7","3172625"
"Antonio Gandy-Golden","WAS","GB","WR","10","0.4","-6.1","2.3","3180322"
"Jason Cabinda","DET","LA","RB","10","0.3","-6.2","1.6","3172829"
"Kylin Hill","GB","WAS","RB","10","0.3","-6.2","2.5","3172594"
"Jacob Harris","LA","DET","TE","10","0.3","-6.2","4.9","3172854"
"Colin Thompson","CAR","NYG","TE","10","0.2","-6.3","2.7","3172719"
"Jakeem Grant","CHI","TB","WR","10","0.2","-6.3","1.6","3172906"
"C.J. Board","NYG","CAR","WR","10","0.2","-6.3","2.1","3172738"
"Boston Scott","PHI","LV","RB","10","0.1","-6.4","2.2","3172793"
"Khari Blasingame","TEN","KC","RB","10","0.1","-6.4","2.1","3172627"
"Sterling Shepard","NYG","CAR","WR","19","0.2","-9.0","2.1","3172732"
