"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Lamar Jackson","BAL","CIN","QB","8400","24.5","4.6","14.0","65523-63115","31.9"
"Patrick Mahomes","KC","TEN","QB","8800","25.5","4.4","17.3","65523-57439","34.6"
"Cooper Kupp","LA","DET","WR","8800","19.8","4.4","25.3","65523-79970","29.4"
"Darrell Henderson Jr.","LA","DET","RB","8000","18.1","4.3","29.0","65523-70157","26.8"
"Jalen Hurts","PHI","LV","QB","8300","23.9","4.3","10.0","65523-69531","32.2"
"Kyler Murray","ARI","HOU","QB","8700","24.6","3.8","13.9","65523-63484","34.1"
"Tom Brady","TB","CHI","QB","8000","22.5","3.8","9.5","65523-6498","31.8"
"Tyreek Hill","KC","TEN","WR","8500","18.5","3.7","23.1","65523-53681","27.5"
"Devontae Booker","NYG","CAR","RB","5800","13.0","3.5","23.5","65523-39580","18.2"
"Leonard Fournette","TB","CHI","RB","7000","15.4","3.5","27.6","65523-52922","21.9"
"Matthew Stafford","LA","DET","QB","8100","22.3","3.4","11.1","65523-6654","31.6"
"Josh Jacobs","LV","PHI","RB","6900","15.0","3.3","19.4","65523-72731","21.4"
"Derek Carr","LV","PHI","QB","7400","19.9","3.1","5.1","65523-45859","27.6"
"Miles Sanders","PHI","LV","RB","5900","12.7","3.0","18.6","65523-71845","18.3"
"Davante Adams","GB","WAS","WR","9000","18.7","2.9","21.5","65523-45889","26.9"
"Darrel Williams","KC","TEN","RB","6700","14.2","2.9","20.0","65523-52897","20.7"
"Chris Godwin","TB","CHI","WR","6700","14.1","2.8","26.0","65523-55635","21.4"
"Brandin Cooks","HOU","ARI","WR","6500","13.6","2.7","16.7","65523-29501","17.3"
"Chuba Hubbard","CAR","NYG","RB","7300","15.0","2.6","19.3","65523-87467","20.9"
"Mike Evans","TB","CHI","WR","7100","14.7","2.6","17.0","65523-32384","22.6"
"Jaylen Waddle","MIA","ATL","WR","5900","12.1","2.4","20.9","65523-90573","17.0"
"Tua Tagovailoa","MIA","ATL","QB","7100","18.2","2.2","4.6","65523-90572","25.8"
"Jakobi Meyers","NE","NYJ","WR","5700","11.5","2.2","14.2","65523-63634","16.8"
"Damien Harris","NE","NYJ","RB","6800","13.5","2.1","7.0","65523-64576","19.5"
"Michael Carter","NYJ","NE","RB","5600","11.2","2.1","8.2","65523-93539","16.0"
"Chase Edmonds","ARI","HOU","RB","6200","12.3","2.0","8.5","65523-83081","19.1"
"D'Andre Swift","DET","LA","RB","7100","14.1","2.0","15.5","65523-91598","19.6"
"Tampa Bay Buccaneers","TB","CHI","D","4400","8.8","2.0","18.9","65523-12551","14.2"
"Matt Ryan","ATL","MIA","QB","7300","18.5","1.9","2.4","65523-6616","25.0"
"Calvin Ridley","ATL","MIA","WR","7300","14.3","1.9","17.2","65523-64555","20.8"
"Robert Woods","LA","DET","WR","6800","13.3","1.9","14.9","65523-29685","21.2"
"Daniel Jones","NYG","CAR","QB","7000","17.5","1.9","1.4","65523-63519","22.3"
"Derrick Henry","TEN","KC","RB","11000","21.6","1.8","9.0","65523-39280","30.0"
"Arizona Cardinals","ARI","HOU","D","5000","9.7","1.8","14.9","65523-12546","15.6"
"New York Giants","NYG","CAR","D","3600","6.9","1.8","12.3","65523-12543","11.7"
"Taylor Heinicke","WAS","GB","QB","6900","17.0","1.7","0.8","65523-53331","21.6"
"Travis Kelce","KC","TEN","TE","8200","15.8","1.6","25.0","65523-33076","23.9"
"Myles Gaskin","MIA","ATL","RB","5600","10.6","1.5","5.0","65523-60930","15.7"
"Ryan Tannehill","TEN","KC","QB","7600","18.9","1.5","3.6","65523-21948","26.4"
"Aaron Rodgers","GB","WAS","QB","7900","19.7","1.4","3.3","65523-6894","28.3"
"Robby Anderson","CAR","NYG","WR","5500","10.2","1.3","8.2","65523-26251","15.0"
"Joe Burrow","CIN","BAL","QB","7200","17.6","1.3","0.8","65523-63336","22.7"
"DeVonta Smith","PHI","LV","WR","5800","10.8","1.3","17.2","65523-90576","15.8"
"Green Bay Packers","GB","WAS","D","4100","7.4","1.3","8.0","65523-12533","12.3"
"Ja'Marr Chase","CIN","BAL","WR","7500","14.0","1.2","4.7","65523-85701","19.8"
"A.J. Brown","TEN","KC","WR","7000","13.0","1.2","13.6","65523-72846","19.7"
"New England Patriots","NE","NYJ","D","4800","8.7","1.2","9.6","65523-12541","14.2"
"DJ Moore","CAR","NYG","WR","7700","14.3","1.1","15.5","65523-63043","19.8"
"Joe Mixon","CIN","BAL","RB","7200","13.3","1.1","10.3","65523-52442","18.7"
"Tee Higgins","CIN","BAL","WR","6100","11.2","1.1","5.9","65523-89981","15.7"
