"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Cooper Kupp","LA","DET","WR","8400","25.0","5.3","22.6","19720115","38.2"
"Darrell Henderson Jr.","LA","DET","RB","6600","20.3","4.2","29.8","19719891","30.6"
"Derrick Henry","TEN","KC","RB","9200","25.2","4.0","16.0","19719883","34.3"
"Jalen Hurts","PHI","LV","QB","6900","25.2","3.9","11.8","19719823","35.2"
"Lamar Jackson","BAL","CIN","QB","7400","26.1","3.3","12.6","19719821","35.2"
"Chris Godwin","TB","CHI","WR","5900","17.8","3.1","24.0","19720139","27.5"
"Tyreek Hill","KC","TEN","WR","8600","23.1","3.0","14.5","19720113","34.4"
"Davante Adams","GB","WAS","WR","8900","23.5","2.9","19.0","19720111","34.0"
"Brandin Cooks","HOU","ARI","WR","6000","17.8","2.9","16.0","19720137","23.6"
"Derek Carr","LV","PHI","QB","6000","21.1","2.5","7.0","19719826","29.9"
"Cardinals ","ARI","HOU","DST","3100","9.6","2.5","34.3","19720711","15.4"
"D'Andre Swift","DET","LA","RB","6000","17.3","2.4","18.6","19719903","23.4"
"Leonard Fournette","TB","CHI","RB","6400","17.9","2.3","19.1","19719895","25.0"
"Jaylen Waddle","MIA","ATL","WR","5600","16.3","2.2","9.2","19720145","23.4"
"Mike Evans","TB","CHI","WR","6500","18.1","2.2","15.0","19720125","27.4"
"Calvin Ridley","ATL","MIA","WR","6600","18.2","2.1","17.0","19720123","27.1"
"Chuba Hubbard","CAR","NYG","RB","6100","17.2","2.1","20.4","19719901","22.8"
"Travis Kelce","KC","TEN","TE","7600","20.1","2.0","15.0","19720483","30.9"
"Tua Tagovailoa","MIA","ATL","QB","5500","19.1","2.0","7.0","19719829","28.3"
"Matt Ryan","ATL","MIA","QB","5700","19.6","1.9","5.4","19719828","26.7"
"Ja'Marr Chase","CIN","BAL","WR","6200","17.2","1.9","9.7","19720133","24.8"
"Josh Jacobs","LV","PHI","RB","6200","17.2","1.9","13.1","19719899","24.7"
"Darrel Williams","KC","TEN","RB","5800","16.3","1.8","18.6","19719909","24.1"
"Matthew Stafford","LA","DET","QB","7100","23.6","1.7","9.2","19719822","34.4"
"Daniel Jones","NYG","CAR","QB","5400","18.5","1.7","3.9","19719830","25.0"
"Miles Sanders","PHI","LV","RB","5100","14.8","1.7","15.7","19719929","20.4"
"Tee Higgins","CIN","BAL","WR","4900","14.2","1.5","12.4","19720167","19.8"
"Khalil Herbert","CHI","TB","RB","5200","14.7","1.4","4.4","19719927","19.2"
"Jakobi Meyers","NE","NYJ","WR","5300","14.9","1.4","13.0","19720153","22.8"
"Taylor Heinicke","WAS","GB","QB","5200","17.6","1.4","3.8","19719833","23.9"
"DJ Moore","CAR","NYG","WR","7100","18.3","1.2","17.0","19720119","25.2"
"Patrick Mahomes","KC","TEN","QB","8400","27.0","1.2","9.3","19719818","37.9"
"Mike Gesicki","MIA","ATL","TE","4700","13.5","1.2","13.3","19720495","19.3"
"Robert Woods","LA","DET","WR","6400","16.6","1.0","9.3","19720127","26.5"
"Sterling Shepard","NYG","CAR","WR","5600","15.1","1.0","9.3","19720147","21.0"
"Patriots ","NE","NYJ","DST","3400","8.7","1.0","13.6","19720708","14.2"
"Devontae Booker","NYG","CAR","RB","5500","14.8","0.9","12.1","19719917","20.1"
"Giants ","NYG","CAR","DST","2500","6.9","0.9","11.9","19720718","11.6"
"Darnell Mooney","CHI","TB","WR","4600","12.9","0.8","15.1","19720179","16.9"
"A.J. Brown","TEN","KC","WR","6300","16.3","0.8","13.0","19720129","24.5"
