"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Christian McCaffrey","CAR","MIA","RB","9000","25.4","4.6","21.6","20285639","33.3"
"Cam Newton","CAR","MIA","QB","5600","21.0","3.6","14.0","20285579","28.5"
"Tyrod Taylor","HOU","NYJ","QB","5300","19.6","3.2","11.3","20285586","28.1"
"Diontae Johnson","PIT","CIN","WR","6600","18.8","2.7","16.8","20285903","25.3"
"Keenan Allen","LAC","DEN","WR","7400","20.0","2.3","18.2","20285891","28.6"
"Justin Herbert","LAC","DEN","QB","6600","22.5","2.1","12.0","20285573","30.2"
"Texans ","HOU","NYJ","DST","2300","7.7","2.1","27.6","20286515","12.7"
"Chris Godwin","TB","IND","WR","7000","18.8","2.0","22.4","20285899","28.3"
"Daniel Jones","NYG","PHI","QB","5600","19.2","1.8","6.7","20285580","25.2"
"Davante Adams","GB","LA","WR","8600","21.7","1.7","17.3","20285885","30.7"
"Brandin Cooks","HOU","NYJ","WR","5800","16.2","1.7","18.0","20285913","24.2"
"James Robinson","JAX","ATL","RB","6200","16.8","1.5","23.2","20285657","23.8"
"Miles Sanders","PHI","NYG","RB","5100","14.6","1.5","20.3","20285685","19.9"
"Cooper Kupp","LA","GB","WR","9600","23.4","1.4","14.0","20285883","33.0"
"Deebo Samuel","SF","MIN","WR","7900","20.0","1.4","15.9","20285889","30.7"
"Zach Wilson","NYJ","HOU","QB","5100","17.2","1.3","2.4","20285589","24.3"
"Jimmy Garoppolo","SF","MIN","QB","5700","19.0","1.3","5.8","20285578","24.1"
"Darrell Henderson Jr.","LA","GB","RB","5800","15.6","1.1","17.8","20285665","21.2"
"Pat Freiermuth","PIT","CIN","TE","4300","12.6","1.0","10.3","20286291","17.0"
"Saquon Barkley","NYG","PHI","RB","6300","16.3","0.9","20.1","20285655","22.4"
"Rob Gronkowski","TB","IND","TE","4400","12.6","0.9","19.2","20286289","18.9"
"Jaguars ","JAX","ATL","DST","2200","6.3","0.9","14.9","20286516","10.8"
"Cordarrelle Patterson","ATL","JAX","RB","6500","16.6","0.8","13.8","20285653","23.0"
"Michael Pittman Jr.","IND","TB","WR","5600","14.9","0.8","20.6","20285917","22.2"
"Ty Johnson","NYJ","HOU","RB","4300","12.3","0.8","10.3","20285713","18.5"
"Ben Roethlisberger","PIT","CIN","QB","5200","17.0","0.8","1.3","20285587","21.0"
"Jerry Jeudy","DEN","LAC","WR","5500","14.6","0.7","11.0","20285923","21.3"
"Trevor Lawrence","JAX","ATL","QB","5400","17.5","0.7","3.1","20285584","25.1"
"Falcons ","ATL","JAX","DST","2500","6.7","0.7","11.2","20286512","11.4"
"Teddy Bridgewater","DEN","LAC","QB","5300","17.0","0.6","5.2","20285585","22.5"
"Jonathan Taylor","IND","TB","RB","9100","21.6","0.6","12.9","20285637","30.1"
"Dallas Goedert","PHI","NYG","TE","4800","13.2","0.6","13.7","20286283","19.9"
"George Kittle","SF","MIN","TE","6400","16.2","0.6","6.8","20286277","25.1"
"Tom Brady","TB","IND","QB","7600","24.0","0.6","10.9","20285569","33.8"
"Jakobi Meyers","NE","TEN","WR","5000","13.4","0.5","8.3","20285947","20.0"
"Leonard Fournette","TB","IND","RB","6800","17.0","0.5","11.9","20285651","23.0"
"Jamison Crowder","NYJ","HOU","WR","4700","12.8","0.4","12.3","20285961","18.1"
"Jalen Hurts","PHI","NYG","QB","7300","22.9","0.4","6.6","20285570","34.0"
"Adam Thielen","MIN","SF","WR","6700","16.6","0.3","4.3","20285901","23.7"
"Bengals ","CIN","PIT","DST","2700","6.7","0.3","8.9","20286508","11.3"
"Ja'Marr Chase","CIN","PIT","WR","7300","17.6","0.1","7.2","20285893","25.6"
"Austin Ekeler","LAC","DEN","RB","8400","19.7","0.1","7.7","20285641","26.1"
"Dalvin Cook","MIN","SF","RB","8100","19.2","0.1","11.3","20285645","25.2"
"Brandon Aiyuk","SF","MIN","WR","5300","13.6","0.1","14.2","20285929","20.7"
"Panthers ","CAR","MIA","DST","3100","7.2","0.0","5.5","20286503","12.1"
"Matt Ryan","ATL","JAX","QB","5500","16.9","-0.1","3.0","20285582","23.3"
"Joe Burrow","CIN","PIT","QB","6200","19.1","-0.1","2.5","20285575","26.0"
"Tua Tagovailoa","MIA","CAR","QB","5500","16.9","-0.1","4.1","20285581","23.0"
"Evan Engram","NYG","PHI","TE","3800","10.5","-0.1","12.1","20286297","13.9"
"Elijah Moore","NYJ","HOU","WR","5600","14.0","-0.1","11.0","20285919","19.3"
"Dolphins ","MIA","CAR","DST","2800","6.5","-0.1","2.9","20286506","11.1"
"Tee Higgins","CIN","PIT","WR","5400","13.5","-0.2","13.7","20285927","20.1"
"Carson Wentz","IND","TB","QB","5800","17.8","-0.2","5.3","20285577","25.1"
"Myles Gaskin","MIA","CAR","RB","5600","13.9","-0.2","13.8","20285667","18.4"
