"Player","Team","Opp","Minutes","DK Position","DK Salary","DK Points","DK Value","DK Ceiling","DK Own","DK Slate"
"Bones Hyland","DEN","NOP","6.5","PG/SG","3,300","5.6","-13.6","12.7","0.0","MAIN"
"Tomas Satoransky","NOP","DEN","7.0","PG/SF","3,400","5.9","-13.7","12.6","0.0","MAIN"
"Davon Reed","DEN","NOP","6.5","SF","3,100","4.4","-14.0","11.0","0.0","MAIN"
"Serge Ibaka","LAC","MIA","5.0","C","3,500","4.7","-15.3","11.3","0.0","MAIN"
"Tony Bradley","CHI","SAS","3.0","C","3,100","2.9","-15.5","9.4","0.0","MAIN"
"Juancho Hernangómez","SAS","CHI","3.0","PF","3,000","2.4","-15.6","9.2","0.0","MAIN"
"Goga Bitadze","IND","OKC","15.0","C","6,300","15.5","-15.7","22.6","0.0","MAIN"
"Xavier Tillman","MEM","UTA","3.5","C","3,300","3.4","-15.8","9.9","0.0","MAIN"
"Isaiah Jackson","IND","OKC","5.0","PF/C","3,800","5.1","-16.1","12.0","0.0","MAIN"
"Payton Pritchard","BOS","ATL","4.0","PG","3,400","3.2","-16.4","10.2","0.0","MAIN"
"Alec Burks","NYK","MIL","18.0","PG/SF","6,600","15.2","-17.2","22.3","0.0","MAIN"
"Cam Reddish","NYK","MIL","3.0","SF/PF","4,400","2.3","-21.3","9.1","0.0","MAIN"
