Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Cooper Kupp,4,,WR,9200,LAR,@ARI,24.3,ARI by 2.5,-13%,1%,-7%,0.3,0.1,0,0.0,0.0,0.0,0.1,0.3,0.1,-5.0,11.0,11.3,9.7,2.1,10.0,16,24.9,27.1,27.1,17.8,36.4,26.7,2.9,34.3,3.7
Davante Adams,3,,WR,8600,GB,CHI,28.0,GB by 12.5,-11%,6%,1%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.3,10.5,9,1.5,9.4,14,23.2,21.2,21.2,10.6,31.8,22.6,2.6,37.1,4.3
Tyreek Hill,11,,WR,8500,KC,LV,28.8,KC by 9.5,-2%,11%,-11%,0.0,0.0,0,0.0,0.0,0.7,0.7,1,0.2,11.8,8.7,10.6,8.4,1.4,7.5,15,17.2,20.3,20.3,6.1,34.6,20.9,2.5,11.6,1.4
Austin Ekeler,15,Q,RB,8300,LAC,NYG,26.5,LAC by 10,3%,9%,10%,0.0,0.0,0,0.0,0.0,12.3,12.4,14,2.8,4.4,6.7,5.9,6.2,1.1,7.3,32,27.6,22.2,22.2,12.3,32.1,21.7,2.6,16.4,2.0
Justin Jefferson,1,,WR,8300,MIN,PIT,23.8,MIN by 3.5,-1%,16%,4%,0.7,0.3,0,0.0,8.8,0.7,0.3,0.3,0.1,3.5,11.0,9.3,9.2,1.3,10.8,15,30.7,21.5,21.5,10.8,32.2,26.6,3.2,20.5,2.5
Stefon Diggs,13,,WR,8100,BUF,@TB,25.0,TB by 3.5,6%,-25%,1%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,7.3,9.0,8.7,1.7,8.3,15,15.9,17.4,17.4,10.6,24.2,20.1,2.5,14.4,1.8
Deebo Samuel,3,,WR,8000,SF,@CIN,24.8,SF by 1,10%,-18%,0%,0.0,0.0,0,0.0,0.0,6.3,2.3,2.7,0.6,8.1,3.7,8.3,5.6,0.6,11.1,13,22.5,22.4,22.4,12.8,32.0,16.5,2.1,12.9,1.6
Patrick Mahomes,6,,QB,8000,KC,LV,28.8,KC by 9.5,-2%,11%,3%,38.7,39.8,36.8,5.8,7.1,3.7,4.0,3.3,0.8,5.2,0.0,0.0,0,0.0,0.0,63,20.8,22.4,22.4,11.8,33.1,23.7,3.0,20.3,2.5
Dalvin Cook,1,,RB,8000,MIN,PIT,23.8,MIN by 3.5,-1%,16%,3%,0.0,0.0,0,0.0,0.0,18.7,19.0,16.3,4.1,4.5,5.3,4.3,3.3,0.2,5.2,31,19.5,17.5,17.5,11.0,24.0,16.6,2.1,38.2,4.8
Alvin Kamara,16,,RB,7900,NO,@NYJ,24.0,NO by 5,12%,18%,50%,0.0,0.0,0,0.0,0.0,17.3,18.3,15.4,2.9,3.6,7.3,5.5,5,0.9,7.0,32,24.6,20.5,20.5,11.4,29.6,19.9,2.5,27.5,3.5
