Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Los Angeles Rams,0,D,5000,LAR,DET,17.8,LAR by 15,2.5,0.7,0.7,229,92,18.2,7.3,7.3,6.8,6.8,1.1,12.5,10.4,2.1,7.0,1.4
Tampa Bay Buccaneers,1,D,4000,TB,CHI,17.3,TB by 12.5,3.7,0.2,0.7,117,129,15.3,7.2,7.0,7.0,7.0,0.2,13.8,10.2,2.5,21.0,5.3
Carolina Panthers,3,D,3500,CAR,@NYG,19.8,CAR by 3,2.0,0.5,1.0,271,90,19.0,7.5,4.3,7.0,7.0,1.4,12.6,9.0,2.6,2.0,0.6
New England Patriots,3,D,3400,NE,NYJ,17.5,NE by 7.5,3.6,0.0,1.8,193,74,13.4,11.0,3.3,6.3,6.3,0.0,12.6,9.6,2.8,12.0,3.5
New Orleans Saints,1,D,3400,NO,@SEA,19.0,NO by 5,3.0,0.3,0.3,233,111,23.3,4.3,9.3,9.8,9.8,2.4,17.2,9.3,2.7,9.0,2.6
Green Bay Packers,0,D,3300,GB,WAS,20.0,GB by 8.5,1.0,0.5,1.0,230,106,22.7,4.5,7.0,5.0,5.0,0.6,9.4,8.5,2.6,14.0,4.2
Miami Dolphins,,D,3200,MIA,ATL,25.0,ATL by 2.5,1.6,0.6,0.6,255,91,21.0,9.0,2.0,3.8,3.8,-0.3,8.0,6.5,2.0,4.0,1.3
San Francisco 49ers,,D,3200,SF,IND,20.0,SF by 4,2.3,0.5,0.3,243,124,22.2,4.7,2.3,5.0,5.0,0.9,9.1,7.7,2.4,4.0,1.3
Arizona Cardinals,8,D,3100,ARI,HOU,14.8,ARI by 17.5,2.3,0.7,1.2,207,87,15.3,8.8,8.3,10.0,10.0,3.5,16.5,12.5,4.0,11.0,3.5
Denver Broncos,0,D,3100,DEN,@CLE,21.3,CLE by 1.5,3.0,0.7,0.5,228,169,26.0,4.7,2.3,7.2,7.2,0.6,13.8,7.3,2.4,4.0,1.3
Las Vegas Raiders,0,D,3000,LV,PHI,23.0,LV by 3,2.0,0.2,0.7,232,114,21.8,5.8,5.7,5.5,5.5,1.3,9.7,6.8,2.3,6.0,2.0
Indianapolis Colts,,D,3000,IND,@SF,24.0,SF by 4,1.8,0.8,0.6,246,122,22.2,4.6,8.7,8.0,8.0,3.5,12.5,7.3,2.4,11.0,3.7
Cleveland Browns,,D,3000,CLE,DEN,19.8,CLE by 1.5,3.2,0.5,0.8,251,118,21.0,7.7,2.0,4.7,4.7,-2.0,11.3,8.3,2.8,5.0,1.7
Baltimore Ravens,3,D,2900,BAL,CIN,20.3,BAL by 6.5,2.5,0.2,1.2,238,106,24.7,6.2,9.3,7.3,7.3,3.8,10.8,8.6,3.0,-1.0,-0.3
Seattle Seahawks,,D,2900,SEA,NO,24.0,NO by 5,1.8,0.2,0.8,169,126,23.0,3.8,4.0,3.7,3.7,1.4,5.9,6.3,2.2,8.0,2.8
Chicago Bears,,D,2800,CHI,@TB,29.8,TB by 12.5,1.5,0.5,0.5,341,85,30.5,2.0,7.0,7.5,7.5,0.9,14.1,4.3,1.5,-2.0,-0.7
Cincinnati Bengals,,D,2800,CIN,@BAL,26.8,BAL by 6.5,2.7,0.5,0.8,267,155,28.3,5.5,4.0,5.8,5.8,2.2,9.5,5.3,1.9,6.0,2.1
Atlanta Falcons,1,D,2700,ATL,@MIA,22.5,ATL by 2.5,2.7,0.8,0.7,219,72,15.5,8.3,3.3,2.2,2.2,-0.4,4.8,6.7,2.5,6.0,2.2
Kansas City Chiefs,1,D,2600,KC,@TEN,25.8,KC by 5.5,3.3,0.7,0.7,221,164,26.7,6.2,3.0,3.5,3.5,-0.2,7.2,5.3,2.0,3.0,1.2
New York Giants,5,D,2500,NYG,CAR,22.8,CAR by 3,3.0,0.5,1.2,244,110,23.5,7.0,2.0,3.0,3.0,1.3,4.7,7.1,2.8,17.0,6.8
New York Jets,0,D,2400,NYJ,@NE,25.0,NE by 7.5,2.2,0.8,1.0,236,87,20.8,9.3,5.0,4.4,4.4,2.9,5.9,5.9,2.5,-3.0,-1.3
Philadelphia Eagles,0,D,2300,PHI,@LV,26.0,LV by 3,2.8,0.0,0.7,305,80,24.2,5.5,4.0,5.2,5.2,-0.3,10.7,6.0,2.6,1.0,0.4
Washington Football Team,,D,2200,WAS,@GB,28.5,GB by 8.5,2.3,0.3,0.5,234,110,24.0,4.3,6.3,4.2,4.2,-0.2,8.5,4.6,2.1,7.0,3.2
Tennessee Titans,0,D,2100,TEN,KC,31.3,KC by 5.5,1.7,1.0,1.3,309,125,29.8,7.3,6.7,4.2,4.2,-0.4,8.7,4.1,2.0,17.0,8.1
Detroit Lions,,D,2100,DET,@LAR,32.8,LAR by 15,1.0,0.3,0.8,298,104,29.8,3.5,4.3,3.3,3.3,0.1,6.5,2.6,1.2,0.0,0.0
Houston Texans,,D,2000,HOU,@ARI,32.3,ARI by 17.5,2.0,0.2,0.7,272,131,31.3,3.7,1.7,3.3,3.3,0.4,6.3,3.0,1.5,7.0,3.5
