Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Los Angeles Chargers,4,D,4300,LAC,NYG,16.5,LAC by 10,2.2,0.4,0.8,221,91,16.9,7.1,7.3,4.9,4.9,-1.0,10.8,9.4,2.2,6.0,1.4
Denver Broncos,4,D,3800,DEN,DET,16.5,DEN by 8.5,2.6,0.6,0.8,201,110,16.9,7.9,8.0,7.9,7.9,1.6,14.2,9.9,2.6,10.0,2.6
Tennessee Titans,3,D,3700,TEN,JAX,17.5,TEN by 8.5,1.8,0.9,0.8,202,111,15.0,9.5,3.3,6.7,6.7,0.4,13.0,9.2,2.5,21.0,5.7
New Orleans Saints,6,D,3600,NO,@NYJ,19.0,NO by 5,2.8,0.4,1.7,242,85,18.1,8.9,4.0,7.4,7.4,1.3,13.5,9.3,2.6,7.0,1.9
Green Bay Packers,2,D,3500,GB,CHI,15.5,GB by 12.5,3.3,0.4,1.2,174,125,16.3,8.4,10.3,7.3,7.3,1.7,12.9,10.4,3.0,13.0,3.7
Dallas Cowboys,1,D,3400,DAL,@WAS,22.0,DAL by 4,2.1,0.5,0.9,221,124,20.5,6.6,10.0,9.8,9.8,3.7,15.8,8.3,2.4,22.0,6.5
Kansas City Chiefs,2,D,3300,KC,LV,19.3,KC by 9.5,2.3,0.3,0.8,291,88,22.7,6.1,13.0,6.7,6.7,1.1,12.2,7.8,2.4,24.0,7.3
Tampa Bay Buccaneers,1,D,3200,TB,BUF,25.0,TB by 3.5,1.6,0.5,0.9,259,117,27.5,4.6,11.7,8.7,8.7,1.9,15.5,7.2,2.3,5.0,1.6
Seattle Seahawks,7,D,3100,SEA,@HOU,17.0,SEA by 7.5,2.9,0.6,1.1,176,79,13.5,10.0,5.7,5.3,5.3,1.8,8.8,9.8,3.2,6.0,1.9
Los Angeles Rams,,D,3100,LAR,@ARI,26.8,ARI by 2.5,2.3,0.3,0.7,245,124,28.1,4.3,4.3,6.1,6.1,1.5,10.6,5.7,1.8,8.0,2.6
Pittsburgh Steelers,,D,3100,PIT,@MIN,23.8,MIN by 3.5,1.5,0.5,0.3,272,113,25.2,3.8,4.0,5.8,5.8,1.7,10.0,6.5,2.1,0.0,0.0
San Francisco 49ers,2,D,3000,SF,@CIN,23.8,SF by 1,2.9,0.4,1.2,245,111,27.1,6.8,8.3,6.4,6.4,1.8,11.0,7.7,2.6,9.0,3.0
Arizona Cardinals,,D,3000,ARI,LAR,24.3,ARI by 2.5,1.5,0.3,0.8,289,98,28.0,5.0,7.3,8.8,8.8,3.3,14.4,6.6,2.2,2.0,0.7
Minnesota Vikings,,D,3000,MIN,PIT,20.3,MIN by 3.5,2.1,0.6,0.6,238,87,20.3,6.1,5.3,6.9,6.9,3.4,10.4,7.7,2.6,6.0,2.0
Cincinnati Bengals,,D,2900,CIN,SF,24.8,SF by 1,1.8,0.8,0.8,239,126,24.3,5.4,11.7,6.8,6.8,1.4,12.1,6.1,2.1,5.0,1.7
