Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jonathan Taylor,18,,RB,9200,IND,@HOU,27.3,IND by 9,3%,20%,2%,0.0,0.0,0,0.0,0.0,23.0,17.4,20.8,5.5,5.8,5.3,3.8,3.6,0.3,7.5,38,34.6,25.5,25.5,12.0,39.1,27.7,3.0,28.3,3.1
Cooper Kupp,11,,WR,9000,LAR,JAX,30.0,LAR by 12.5,3%,3%,3%,0.3,0.1,0,0.0,0.0,0.0,0.1,0.3,0.1,-5.0,12.0,11.5,9.8,2.2,9.8,16,21.8,26.8,26.8,17.2,36.5,28.0,3.1,29.9,3.3
Tyreek Hill,1,,WR,8400,KC,DEN,28.3,KC by 9.5,-5%,-6%,-6%,0.0,0.0,0,0.0,0.0,1.0,0.7,1,0.2,11.8,10.7,11.1,8.4,1.5,7.6,15,18.3,21.8,21.8,7.8,35.7,21.3,2.5,4.2,0.5
Austin Ekeler,5,Q,RB,8300,LAC,@CIN,23.8,CIN by 3,8%,-17%,6%,0.0,0.0,0,0.0,0.0,11.3,12.3,13.2,2.8,4.5,7.0,6.0,6.4,1.2,7.2,32,26.1,22.4,22.4,12.1,32.8,21.0,2.5,19.4,2.3
Deebo Samuel,,Q,WR,8300,SF,@SEA,24.3,SF by 3,16%,11%,-4%,0.0,0.0,0.0,0.0,0.0,6.3,2.3,0.0,0.6,8.1,3.7,8.3,0.0,0.6,11.1,0,22.5,22.4,22.4,12.8,32.0,0.0,0.0,0.0,0.0
Justin Jefferson,12,,WR,8200,MIN,@DET,26.8,MIN by 7,3%,19%,-4%,0.3,0.3,0,0.0,11.7,0.7,0.3,0.2,0.0,3.3,10.0,8.9,7.7,1.3,10.5,13,26.5,19.9,19.9,10.2,29.6,20.0,2.4,38.6,4.7
Joe Mixon,11,Q,RB,8100,CIN,LAC,26.8,CIN by 3,-13%,29%,11%,0.0,0.0,0,0.0,0.0,23.7,18.9,20.9,2.4,4.4,3.0,2.7,3.4,0.4,6.4,38,30.2,20.4,20.4,10.9,29.9,21.5,2.7,10.4,1.3
Dalvin Cook,1,Q,RB,8000,MIN,@DET,26.8,MIN by 7,3%,19%,13%,0.0,0.0,0.0,0.0,0.0,18.7,19.0,0.0,4.1,4.5,5.3,4.3,0.0,0.2,5.2,0,19.5,17.5,17.5,11.0,24.0,0.0,0.0,0.0,0.0
Stefon Diggs,3,,WR,8000,BUF,NE,23.3,BUF by 3,-15%,3%,-11%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,9.3,9.2,8.2,1.7,8.4,14,24.0,18.2,18.2,11.6,24.7,18.1,2.3,9.1,1.1
Josh Allen,2,,QB,7900,BUF,NE,23.3,BUF by 3,-15%,3%,-21%,30.3,37.2,33.8,6.6,7.5,4.0,6.3,4.9,1.6,5.6,0.0,0.0,0,0.0,0.0,65,23.9,25.7,25.7,16.5,34.9,24.1,3.1,12.7,1.6
Ezekiel Elliott,,,RB,7900,DAL,@NO,26.0,DAL by 4.5,7%,-19%,-24%,0.3,0.1,0,0.1,4.0,10.7,14.5,14.7,2.7,4.5,5.7,4.2,3.7,0.9,5.0,28,17.2,17.8,17.8,11.0,24.7,15.6,2.0,6.7,0.8
Lamar Jackson,2,,QB,7800,BAL,@PIT,24.0,BAL by 4,-1%,18%,-4%,38.7,34.1,31.7,4.2,7.7,15.7,12.3,9.3,1.4,5.7,0.0,0.0,0,0.0,0.0,66,21.8,24.8,24.8,13.8,35.8,25.4,3.3,18.6,2.4
Alvin Kamara,,Q,RB,7800,NO,DAL,21.5,DAL by 4.5,11%,-5%,-12%,0.0,0.0,0.0,0.0,0.0,17.3,18.3,0.0,2.9,3.6,7.3,5.5,0.0,0.9,7.0,0,24.6,20.5,20.5,11.4,29.6,0.0,0.0,0.0,0.0
