Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Los Angeles Rams,2,D,5100,LAR,@HOU,16.8,LAR by 14,2.3,0.7,1.0,194,81,13.6,9.1,10.0,6.9,6.9,1.6,12.1,11.3,2.2,7.0,1.4
Pittsburgh Steelers,1,D,4300,PIT,@CLE,22.8,CLE by 3.5,2.7,0.6,0.4,223,170,24.7,4.6,6.0,6.0,6.0,1.5,10.5,6.9,1.6,10.0,2.3
Tampa Bay Buccaneers,1,D,4200,TB,@NO,22.5,TB by 5,1.8,0.3,0.7,176,121,21.3,4.5,11.0,9.0,9.0,0.8,17.2,8.3,2.0,0.0,0.0
Cincinnati Bengals,3,D,3600,CIN,@NYJ,16.0,CIN by 10.5,3.3,0.2,1.8,200,72,13.3,11.2,5.7,5.9,5.9,2.5,9.2,10.3,2.9,7.0,1.9
San Francisco 49ers,4,D,3500,SF,@CHI,17.8,SF by 4,3.7,0.4,1.0,124,131,13.6,9.1,3.7,4.8,4.8,1.1,8.5,9.6,2.7,6.0,1.7
Denver Broncos,1,D,3400,DEN,WAS,20.5,DEN by 3,1.4,0.6,1.0,231,119,20.9,5.9,2.7,6.7,6.7,0.6,12.8,7.7,2.3,17.0,5.0
Buffalo Bills,7,D,3300,BUF,MIA,18.0,BUF by 13.5,2.4,0.7,0.9,227,80,17.3,8.0,13.7,12.0,12.0,2.1,21.9,10.7,3.2,10.0,3.0
Los Angeles Chargers,2,D,3200,LAC,NE,22.3,LAC by 4.5,2.0,0.7,0.9,260,96,25.6,7.6,3.3,4.8,4.8,0.5,9.2,6.9,2.2,3.0,0.9
Carolina Panthers,0,D,3100,CAR,@ATL,24.5,ATL by 3,1.5,0.7,0.7,266,88,22.5,8.2,6.3,6.3,6.3,0.8,11.7,7.0,2.3,11.0,3.5
Arizona Cardinals,,D,3100,ARI,GB,21.8,ARI by 6.5,2.4,0.4,0.4,236,102,24.0,4.7,10.3,10.1,10.1,4.2,16.1,7.7,2.5,1.0,0.3
