Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
New Orleans Saints,,D,20,NO,@WAS,21.3,NO by 2,1.0,0.5,0.8,239,103,25.3,3.3,9.3,10.8,10.8,2.5,19.0,7.9,4.0,6.0,3.0
Buffalo Bills,,D,19,BUF,@KC,29.5,KC by 2.5,1.3,0.8,1.0,297,130,32.0,4.8,17.3,13.5,13.5,2.9,24.1,4.9,2.6,17.0,8.9
Denver Broncos,,D,19,DEN,@PIT,20.3,PIT by 1,2.5,0.3,1.0,247,55,16.8,6.5,10.3,9.8,9.8,3.0,16.5,8.3,4.4,3.0,1.6
Tampa Bay Buccaneers,,D,18,TB,MIA,19.0,TB by 10,3.3,1.0,0.5,174,78,14.0,9.8,9.3,7.5,7.5,-1.1,16.1,9.5,5.3,8.0,4.4
Carolina Panthers,,D,18,CAR,PHI,20.8,CAR by 3.5,2.0,0.0,0.5,275,123,22.0,5.8,5.3,6.3,6.3,-0.8,13.3,7.7,4.3,8.0,4.4
Chicago Bears,,D,17,CHI,@LV,24.8,LV by 5.5,3.0,0.0,0.8,326,81,25.5,5.8,11.0,8.3,8.3,0.2,16.3,5.9,3.5,9.0,5.3
Cincinnati Bengals,,D,17,CIN,GB,27.0,GB by 3,2.3,0.5,0.5,226,93,23.8,4.8,6.3,6.0,6.0,1.5,10.5,5.0,2.9,4.0,2.4
Arizona Cardinals,,D,17,ARI,SF,22.3,ARI by 5.5,1.8,1.0,0.5,261,115,25.3,3.8,8.0,10.0,10.0,1.7,18.3,8.9,5.2,8.0,4.7
Dallas Cowboys,,D,17,DAL,NYG,22.5,DAL by 7,2.0,0.5,0.3,283,102,20.8,4.5,9.3,8.8,8.8,5.9,11.6,7.3,4.3,11.0,6.5
New England Patriots,1,D,16,NE,@HOU,15.3,NE by 9,2.3,0.5,1.3,180,83,16.8,8.3,8.3,7.5,7.5,-0.3,15.3,10.0,6.3,5.0,3.1
Pittsburgh Steelers,,D,16,PIT,DEN,19.3,PIT by 1,3.0,0.5,0.3,232,122,20.8,7.0,3.0,5.8,5.8,0.1,11.4,7.8,4.9,5.0,3.1
