Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Los Angeles Rams,1,D,4000,LAR,JAX,17.5,LAR by 12.5,1.8,0.8,0.9,208,115,15.7,9.5,2.7,5.7,5.7,1.1,10.3,10.0,2.5,10.0,2.5
Indianapolis Colts,3,D,3700,IND,@HOU,18.3,IND by 9,2.8,0.5,1.1,187,78,14.7,9.3,8.7,8.0,8.0,3.8,12.2,9.9,2.7,18.0,4.9
Philadelphia Eagles,2,D,3600,PHI,@NYJ,19.5,PHI by 6.5,2.8,0.5,1.7,245,86,18.1,9.3,10.3,7.0,7.0,0.0,14.0,9.5,2.6,5.0,1.4
Tampa Bay Buccaneers,2,D,3500,TB,@ATL,19.5,TB by 11,1.9,0.4,1.3,225,85,18.1,10.5,10.0,8.5,8.5,1.4,15.6,9.1,2.6,11.0,3.1
Arizona Cardinals,3,D,3400,ARI,@CHI,18.8,ARI by 8,3.4,0.5,0.9,170,126,15.7,8.2,7.7,8.6,8.6,2.9,14.4,9.7,2.9,11.0,3.2
Baltimore Ravens,,D,3400,BAL,@PIT,20.0,BAL by 4,2.2,0.6,0.6,238,87,20.4,6.5,8.3,6.1,6.1,1.6,10.6,7.5,2.2,2.0,0.6
Miami Dolphins,7,D,3300,MIA,NYG,18.3,MIA by 4,2.1,0.5,0.8,226,91,17.6,6.9,15.3,7.5,7.5,-0.4,15.4,10.2,3.1,9.0,2.7
Dallas Cowboys,,D,3300,DAL,@NO,21.5,DAL by 4.5,1.7,0.5,0.6,198,111,21.7,5.3,12.0,9.1,9.1,3.2,14.9,8.4,2.5,17.0,5.2
Minnesota Vikings,2,D,3200,MIN,@DET,19.8,MIN by 7,2.5,0.5,0.7,194,111,15.8,8.1,5.0,7.0,7.0,3.4,10.6,8.2,2.6,6.0,1.9
New England Patriots,2,D,3100,NE,@BUF,23.3,BUF by 3,1.5,0.5,1.0,271,118,29.1,4.3,17.7,11.3,11.3,3.3,19.4,7.6,2.5,8.0,2.6
San Francisco 49ers,2,D,3000,SF,@SEA,21.3,SF by 3,3.2,0.3,0.4,203,93,19.0,6.1,10.7,6.2,6.2,1.4,11.0,7.4,2.5,9.0,3.0
Los Angeles Chargers,1,D,3000,LAC,@CIN,26.8,CIN by 3,2.6,0.3,1.1,244,112,27.5,5.6,2.0,3.5,3.5,-0.1,7.2,5.6,1.9,20.0,6.7
Pittsburgh Steelers,0,D,2900,PIT,BAL,24.0,BAL by 4,3.3,0.4,1.2,243,151,23.9,8.1,2.3,5.5,5.5,1.3,9.6,6.6,2.3,10.0,3.4
Buffalo Bills,2,D,2900,BUF,NE,20.3,BUF by 3,2.0,0.6,0.7,240,115,26.5,5.4,6.3,9.9,9.9,1.4,18.4,8.3,2.9,3.0,1.0
Kansas City Chiefs,3,D,2900,KC,DEN,18.8,KC by 9.5,2.8,0.5,0.6,224,115,20.2,7.2,11.0,5.7,5.7,1.0,10.4,8.1,2.8,17.0,5.9
Cincinnati Bengals,,D,2800,CIN,LAC,23.8,CIN by 3,1.9,0.2,0.9,281,103,24.8,5.7,9.0,6.8,6.8,1.3,12.4,6.4,2.3,6.0,2.1
Las Vegas Raiders,2,D,2800,LV,WAS,23.5,LV by 2.5,2.2,0.5,0.9,224,126,20.8,6.8,0.7,4.3,4.3,0.3,8.3,7.0,2.5,4.0,1.4
New Orleans Saints,,D,2800,NO,DAL,26.0,DAL by 4.5,1.8,0.6,0.7,292,127,28.0,4.0,3.7,7.8,7.8,1.6,14.0,5.5,2.0,3.0,1.1
New York Giants,3,D,2700,NYG,@MIA,22.3,MIA by 4,2.4,0.8,0.8,231,80,18.5,7.6,9.7,6.5,6.5,0.8,12.1,6.5,2.4,3.0,1.1
Seattle Seahawks,,D,2700,SEA,SF,24.3,SF by 3,1.9,0.7,0.6,234,131,24.4,5.1,4.0,5.0,5.0,1.5,8.5,5.9,2.2,9.0,3.3
Chicago Bears,0,D,2600,CHI,ARI,26.8,ARI by 8,2.4,0.3,0.7,256,123,27.6,4.7,8.0,6.0,6.0,-0.2,12.2,5.8,2.2,0.0,0.0
Washington Football Team,,D,2500,WAS,@LV,26.0,LV by 2.5,2.3,0.3,0.8,297,89,23.4,6.4,3.7,4.5,4.5,1.1,8.0,6.0,2.4,3.0,1.2
New York Jets,0,D,2500,NYJ,PHI,26.0,PHI by 6.5,1.7,0.4,0.7,193,158,23.3,4.8,4.0,2.9,2.9,-0.5,6.4,5.2,2.1,1.0,0.4
Denver Broncos,,D,2500,DEN,@KC,28.3,KC by 9.5,1.8,1.0,1.0,290,112,25.0,7.2,9.0,8.3,8.3,1.8,14.8,5.0,2.0,4.0,1.6
Houston Texans,,D,2400,HOU,IND,27.3,IND by 9,1.8,0.8,0.5,222,145,27.8,4.2,12.3,5.5,5.5,-0.3,11.4,4.7,2.0,2.0,0.8
Atlanta Falcons,,D,2400,ATL,TB,30.5,TB by 11,1.4,0.5,0.8,306,96,30.5,3.1,3.3,3.0,3.0,0.1,5.9,3.7,1.5,7.0,2.9
Jacksonville Jaguars,,D,2300,JAX,@LAR,30.0,LAR by 12.5,1.5,0.4,0.9,289,95,27.2,5.7,1.7,4.0,4.0,-1.4,9.4,3.5,1.5,-3.0,-1.3
Detroit Lions,,D,2300,DET,MIN,26.8,MIN by 7,1.4,0.5,0.3,267,114,25.0,3.7,7.3,3.5,3.5,-0.9,7.8,4.4,1.9,5.0,2.2
