Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian McCaffrey,6,,RB,9500,CAR,NYJ,24.3,CAR by 4.5,15%,-6%,2%,0.0,0.0,0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,7.5,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,24.8,2.6,27.7,2.9
Dalvin Cook,13,,RB,9100,MIN,@CIN,25.3,MIN by 3,1%,25%,6%,0.0,0.0,0,0.0,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,4.1,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,22.7,2.5,21.4,2.4
Derrick Henry,4,,RB,8800,TEN,ARI,27.5,TEN by 3,-5%,5%,-4%,0.0,0.0,0,0.0,0.0,0.0,0.0,22.2,0.0,0.0,0.0,0.0,1.9,0.0,0.0,40,0.0,0.0,0.0,0.0,0.0,23.3,2.6,10.7,1.2
Alvin Kamara,6,,RB,8600,NO,GB,23.0,GB by 4,-8%,-5%,13%,0.0,0.0,0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,6.6,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,22.4,2.6,18.1,2.1
Davante Adams,6,,WR,8300,GB,@NO,27.0,GB by 4,-9%,-21%,-2%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,23.7,2.9,10.6,1.3
Travis Kelce,5,,TE,8300,KC,CLE,30.3,KC by 6,3%,-7%,22%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,21.3,2.6,25.6,3.1
Tyreek Hill,7,,WR,8200,KC,CLE,30.3,KC by 6,3%,-7%,7%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,7.7,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,22.3,2.7,40.1,4.9
Patrick Mahomes,11,,QB,8100,KC,CLE,30.3,KC by 6,3%,-7%,9%,0.0,0.0,37.4,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0,0.0,0.0,63,0.0,0.0,0.0,0.0,0.0,29.1,3.6,36.3,4.5
Jonathan Taylor,1,,RB,8000,IND,SEA,23.8,SEA by 2.5,19%,-20%,-1%,0.0,0.0,0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,3.2,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,16.6,2.1,17.6,2.2
Calvin Ridley,6,,WR,7900,ATL,PHI,25.8,ATL by 3,-1%,6%,8%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,8.3,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,20.5,2.6,10.1,1.3
DeAndre Hopkins,6,,WR,7800,ARI,@TEN,24.5,TEN by 3,14%,2%,16%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,20.5,2.6,26.3,3.4
