Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Saquon Barkley,0,Q,RB,7800,NYG,DEN,19.3,DEN by 3,-1%,9%,1%,0.0,0.0,0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,0.0,0.0,4,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,14.5,1.9,3.7,0.5
Justin Jefferson,4,,WR,7700,MIN,@CIN,25.3,MIN by 3,1%,25%,-3%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,19.0,2.5,12.5,1.6
Lamar Jackson,0,,QB,7700,BAL,@LV,27.8,BAL by 4.5,10%,6%,9%,0.0,0.0,29.2,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,24.8,3.2,20.0,2.6
Kyler Murray,8,,QB,7600,ARI,@TEN,24.5,TEN by 3,14%,2%,15%,0.0,0.0,35.8,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0,0.0,0.0,67,0.0,0.0,0.0,0.0,0.0,25.4,3.3,34.6,4.6
Stefon Diggs,8,,WR,7600,BUF,PIT,27.3,BUF by 6.5,-19%,-1%,-10%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,8.3,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,21.1,2.8,15.9,2.1
DK Metcalf,1,,WR,7500,SEA,@IND,26.3,SEA by 2.5,1%,-24%,1%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,18.5,2.5,16.0,2.1
Darren Waller,,,TE,7500,LV,BAL,23.3,BAL by 4.5,-13%,-7%,-8%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,17.1,2.3,29.5,3.9
Josh Allen,4,,QB,7400,BUF,PIT,27.3,BUF by 6.5,-19%,-1%,-25%,0.0,0.0,35.6,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,24.8,3.4,18.2,2.5
Nick Chubb,2,,RB,7200,CLE,@KC,24.3,KC by 6,-1%,3%,8%,0.0,0.0,0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,2.5,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,16.5,2.3,23.1,3.2
A.J. Brown,6,,WR,7100,TEN,ARI,27.5,TEN by 3,-5%,5%,-4%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,19.1,2.7,14.9,2.1
Russell Wilson,6,,QB,7000,SEA,@IND,26.3,SEA by 2.5,1%,-24%,-4%,0.0,0.0,34.9,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0,0.0,0.0,61,0.0,0.0,0.0,0.0,0.0,23.5,3.4,27.1,3.9
Adam Thielen,2,,WR,7000,MIN,@CIN,25.3,MIN by 3,1%,25%,-3%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,16.0,2.3,30.2,4.3
Austin Ekeler,1,,RB,7000,LAC,@WAS,21.8,WAS by 1,-20%,-5%,-23%,0.0,0.0,0,0.0,0.0,0.0,0.0,11.9,0.0,0.0,0.0,0.0,6.4,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,17.8,2.5,11.7,1.7
Deshaun Watson,,,QB,6900,HOU,JAX,21.3,JAX by 3,10%,29%,17%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keenan Allen,2,,WR,6900,LAC,@WAS,21.8,WAS by 1,-20%,-5%,-13%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,8.8,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,17.1,2.5,22.0,3.2
D'Andre Swift,0,,RB,6900,DET,SF,18.8,SF by 7.5,-13%,-11%,-16%,0.0,0.0,0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,4.3,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,14.3,2.1,24.4,3.5
Aaron Rodgers,3,,QB,6800,GB,@NO,27.0,GB by 4,-9%,-21%,-14%,0.0,0.0,34.8,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,22.2,3.3,3.3,0.5
Aaron Jones,2,,RB,6800,GB,@NO,27.0,GB by 4,-9%,-21%,-29%,0.0,0.0,0,0.0,0.0,0.0,0.0,14.8,0.0,0.0,0.0,0.0,4.5,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,17.7,2.6,4.2,0.6
Julio Jones,5,,WR,6800,TEN,ARI,27.5,TEN by 3,-5%,5%,-4%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,16.5,2.4,5.9,0.9
Justin Herbert,0,,QB,6700,LAC,@WAS,21.8,WAS by 1,-20%,-5%,-14%,0.0,0.0,36.6,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,21.1,3.1,18.4,2.7
Tyler Lockett,3,,WR,6700,SEA,@IND,26.3,SEA by 2.5,1%,-24%,1%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,16.6,2.5,29.0,4.3
Tom Brady,0,,QB,6700,TB,DAL,30.0,TB by 8.5,-5%,33%,2%,0.0,0.0,38.3,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,26.5,4.0,32.2,4.8
Ezekiel Elliott,,,RB,6700,DAL,@TB,21.5,TB by 8.5,3%,-32%,-15%,0.0,0.0,0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,3.6,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,16.0,2.4,5.9,0.9
Clyde Edwards-Helaire,1,,RB,6600,KC,CLE,30.3,KC by 6,3%,-7%,-13%,0.0,0.0,0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,4.2,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,14.8,2.2,10.2,1.5
Michael Thomas,,O,WR,6600,NO,GB,23.0,GB by 4,-8%,-5%,-12%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Tannehill,1,,QB,6500,TEN,ARI,27.5,TEN by 3,-5%,5%,0%,0.0,0.0,31,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,0.0,21.4,3.3,17.2,2.6
Miles Sanders,0,,RB,6500,PHI,@ATL,22.8,ATL by 3,23%,-12%,-14%,0.0,0.0,0,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,3.7,0.0,0.0,28,0.0,0.0,0.0,0.0,0.0,14.5,2.2,17.3,2.7
Mike Evans,0,,WR,6500,TB,DAL,30.0,TB by 8.5,-5%,33%,14%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,15.5,2.4,5.4,0.8
James Robinson,10,,RB,6400,JAX,@HOU,24.3,JAX by 3,7%,35%,40%,0.0,0.0,0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,3.9,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,16.7,2.6,8.4,1.3
Terry McLaurin,4,,WR,6400,WAS,LAC,22.8,WAS by 1,-7%,1%,-12%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,7.9,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,16.6,2.6,10.2,1.6
Jalen Hurts,12,,QB,6400,PHI,@ATL,22.8,ATL by 3,23%,-12%,29%,0.0,0.0,32.6,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0,0.0,0.0,66,0.0,0.0,0.0,0.0,0.0,22.1,3.5,28.8,4.5
Kirk Cousins,0,,QB,6300,MIN,@CIN,25.3,MIN by 3,1%,25%,-2%,0.0,0.0,32.9,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,0.0,20.5,3.3,25.0,4.0
George Kittle,3,,TE,6300,SF,@DET,26.3,SF by 7.5,19%,13%,-7%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,17.5,2.8,11.8,1.9
Diontae Johnson,0,,WR,6300,PIT,@BUF,20.8,BUF by 6.5,-3%,-2%,-10%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,8,0.0,0.0,13,0.0,0.0,0.0,0.0,0.0,15.6,2.5,14.6,2.3
Najee Harris,4,,RB,6300,PIT,@BUF,20.8,BUF by 6.5,-3%,-2%,-1%,0.0,0.0,0,0.0,0.0,0.0,0.0,15.7,0.0,0.0,0.0,0.0,4.3,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,15.9,2.5,5.9,0.9
Joe Mixon,12,,RB,6200,CIN,MIN,22.3,MIN by 3,8%,13%,13%,0.0,0.0,0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,4.1,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,17.5,2.8,28.0,4.5
JuJu Smith-Schuster,2,,WR,6200,PIT,@BUF,20.8,BUF by 6.5,-3%,-2%,-10%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,13.8,2.2,9.2,1.5
Trevor Lawrence,4,,QB,6200,JAX,@HOU,24.3,JAX by 3,7%,35%,6%,0.0,0.0,34.6,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,20.5,3.3,25.1,4.0
Dak Prescott,0,,QB,6200,DAL,@TB,21.5,TB by 8.5,3%,-32%,1%,0.0,0.0,36.7,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,22.1,3.6,31.4,5.1
Matthew Stafford,0,,QB,6200,LAR,CHI,27.3,LAR by 7.5,-3%,-5%,-9%,0.0,0.0,36.7,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0,0.0,0.0,59,0.0,0.0,0.0,0.0,0.0,20.7,3.3,27.3,4.4
Chris Godwin,,,WR,6200,TB,DAL,30.0,TB by 8.5,-5%,33%,14%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,15.9,2.6,27.5,4.4
Ben Roethlisberger,1,,QB,6100,PIT,@BUF,20.8,BUF by 6.5,-3%,-2%,-3%,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,18.6,3.0,12.0,2.0
DJ Moore,5,,WR,6100,CAR,NYJ,24.3,CAR by 4.5,15%,-6%,4%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,7,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,15.3,2.5,15.4,2.5
Allen Robinson II,0,,WR,6100,CHI,@LAR,19.8,LAR by 7.5,-20%,-23%,-25%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,15.4,2.5,9.5,1.6
Matt Ryan,4,,QB,6000,ATL,PHI,25.8,ATL by 3,-1%,6%,1%,0.0,0.0,37.7,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0,0.0,0.0,67,0.0,0.0,0.0,0.0,0.0,20.9,3.5,7.4,1.2
Myles Gaskin,1,,RB,6000,MIA,@NE,20.3,NE by 3,-7%,10%,-1%,0.0,0.0,0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,3.8,0.0,0.0,25,0.0,0.0,0.0,0.0,0.0,13.2,2.2,12.6,2.1
Jarvis Landry,3,,WR,6000,CLE,@KC,24.3,KC by 6,-1%,3%,-17%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,13.1,2.2,19.8,3.3
Amari Cooper,,,WR,6000,DAL,@TB,21.5,TB by 8.5,3%,-32%,7%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,7.2,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,15.9,2.6,41.9,7.0
Baker Mayfield,1,,QB,5900,CLE,@KC,24.3,KC by 6,-1%,3%,8%,0.0,0.0,34.4,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0,0.0,0.0,56,0.0,0.0,0.0,0.0,0.0,19.4,3.3,16.6,2.8
Chris Carson,0,,RB,5900,SEA,@IND,26.3,SEA by 2.5,1%,-24%,-7%,0.0,0.0,0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,3.8,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,15.0,2.5,13.7,2.3
Antonio Gibson,2,Q,RB,5900,WAS,LAC,22.8,WAS by 1,-7%,1%,-1%,0.0,0.0,0,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,0.0,3.7,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,15.9,2.7,12.8,2.2
Deebo Samuel,5,,WR,5900,SF,@DET,26.3,SF by 7.5,19%,13%,21%,0.0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,6,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,14.4,2.4,35.9,6.1
Raheem Mostert,5,O,RB,5800,SF,@DET,26.3,SF by 7.5,19%,13%,36%,0.0,0.0,0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,2.6,0.0,0.0,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3
DJ Chark Jr.,1,,WR,5800,JAX,@HOU,24.3,JAX by 3,7%,35%,10%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,12.5,2.2,17.6,3.0
Josh Jacobs,0,,RB,5800,LV,BAL,23.3,BAL by 4.5,-13%,-7%,-7%,0.0,0.0,0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,2.5,0.0,0.0,27,0.0,0.0,0.0,0.0,0.0,12.8,2.2,17.0,2.9
Antonio Brown,0,,WR,5800,TB,DAL,30.0,TB by 8.5,-5%,33%,14%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,13.5,2.3,26.7,4.6
Tony Pollard,,,RB,5800,DAL,@TB,21.5,TB by 8.5,3%,-32%,-15%,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,6.6,1.1,8.3,1.4
Joe Burrow,4,,QB,5700,CIN,MIN,22.3,MIN by 3,8%,13%,-1%,0.0,0.0,37.6,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,19.4,3.4,18.6,3.3
Brandon Aiyuk,4,Q,WR,5700,SF,@DET,26.3,SF by 7.5,19%,13%,21%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,6.3,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,14.7,2.6,0.0,0.0
David Johnson,1,,RB,5700,HOU,JAX,21.3,JAX by 3,10%,29%,31%,0.0,0.0,0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,2.9,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,7.0,1.2,11.8,2.1
Robby Anderson,4,,WR,5700,CAR,NYJ,24.3,CAR by 4.5,15%,-6%,4%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,7,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,13.8,2.4,12.7,2.2
David Montgomery,,,RB,5700,CHI,@LAR,19.8,LAR by 7.5,-20%,-23%,-17%,0.0,0.0,0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,0.0,3.4,0.0,0.0,29,0.0,0.0,0.0,0.0,0.0,14.1,2.5,21.8,3.8
Robert Woods,0,,WR,5700,LAR,CHI,27.3,LAR by 7.5,-3%,-5%,-10%,0.0,0.0,0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,7.6,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,16.5,2.9,12.4,2.2
CeeDee Lamb,0,,WR,5700,DAL,@TB,21.5,TB by 8.5,3%,-32%,7%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,7,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,15.9,2.8,26.4,4.6
Carson Wentz,0,,QB,5600,IND,SEA,23.8,SEA by 2.5,19%,-20%,10%,0.0,0.0,35.7,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0,0.0,0.0,57,0.0,0.0,0.0,0.0,0.0,18.1,3.2,19.3,3.4
Chase Claypool,2,,WR,5600,PIT,@BUF,20.8,BUF by 6.5,-3%,-2%,-10%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,5.9,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,13.3,2.4,10.0,1.8
Kenny Golladay,0,,WR,5600,NYG,DEN,19.3,DEN by 3,-1%,9%,-2%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,12.7,2.3,10.4,1.9
Darrell Henderson Jr.,0,,RB,5600,LAR,CHI,27.3,LAR by 7.5,-3%,-5%,-12%,0.0,0.0,0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,2.7,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,12.4,2.2,15.7,2.8
Gus Edwards,1,O,RB,5600,BAL,@LV,27.8,BAL by 4.5,10%,6%,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,2,O,QB,5500,WAS,LAC,22.8,WAS by 1,-7%,1%,4%,0.0,0.0,36.5,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0,0.0,0.0,63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.1
Kareem Hunt,0,,RB,5500,CLE,@KC,24.3,KC by 6,-1%,3%,8%,0.0,0.0,0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,3.4,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,11.4,2.1,17.1,3.1
DeVante Parker,0,,WR,5500,MIA,@NE,20.3,NE by 3,-7%,10%,-8%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,6,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,11.7,2.1,12.1,2.2
Jimmy Garoppolo,3,,QB,5500,SF,@DET,26.3,SF by 7.5,19%,13%,26%,0.0,0.0,32.8,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,18.9,3.4,18.8,3.4
Mike Williams,,,WR,5500,LAC,@WAS,21.8,WAS by 1,-20%,-5%,-13%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,11.7,2.1,22.2,4.0
Derek Carr,0,,QB,5500,LV,BAL,23.3,BAL by 4.5,-13%,-7%,-13%,0.0,0.0,34.5,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0,0.0,0.0,58,0.0,0.0,0.0,0.0,0.0,18.2,3.3,28.0,5.1
Cooper Kupp,0,,WR,5500,LAR,CHI,27.3,LAR by 7.5,-3%,-5%,-10%,0.0,0.0,0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,7.3,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,15.9,2.9,26.8,4.9
Cam Newton,,,QB,5400,NE,MIA,23.3,NE by 3,5%,-2%,-3%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tua Tagovailoa,0,,QB,5400,MIA,@NE,20.3,NE by 3,-7%,10%,-12%,0.0,0.0,35.7,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0,0.0,0.0,60,0.0,0.0,0.0,0.0,0.0,17.8,3.3,17.2,3.2
Mike Davis,5,,RB,5400,ATL,PHI,25.8,ATL by 3,-1%,6%,-9%,0.0,0.0,0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,4.1,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,14.8,2.7,10.2,1.9
Odell Beckham Jr.,2,Q,WR,5400,CLE,@KC,24.3,KC by 6,-1%,3%,-17%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,4,,WR,5300,HOU,JAX,21.3,JAX by 3,10%,29%,5%,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,15.0,2.8,21.2,4.0
Daniel Jones,0,,QB,5300,NYG,DEN,19.3,DEN by 3,-1%,9%,5%,0.0,0.0,32.8,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0,0.0,0.0,62,0.0,0.0,0.0,0.0,0.0,16.9,3.2,22.4,4.2
Melvin Gordon III,1,,RB,5300,DEN,@NYG,22.3,DEN by 3,-1%,-6%,3%,0.0,0.0,0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,2.2,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,11.7,2.2,23.8,4.5
