Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tampa Bay Buccaneers,1,D,4600,TB,@NE,21.3,TB by 7,2.4,0.4,0.9,180,130,17.9,7.8,7.0,7.0,7.0,-3.4,17.4,8.3,1.8,9.0,2.0
Buffalo Bills,7,D,4300,BUF,HOU,15.8,BUF by 15.5,2.9,0.7,0.4,274,93,23.3,5.3,10.3,10.3,10.3,-0.1,20.7,11.2,2.6,23.0,5.3
Tennessee Titans,4,D,3900,TEN,@NYJ,18.8,TEN by 7,3.3,0.3,1.1,174,104,13.6,10.0,1.7,1.7,1.7,0.1,3.2,9.3,2.4,3.0,0.8
New Orleans Saints,3,D,3800,NO,NYG,17.3,NO by 7,3.1,0.6,0.4,194,120,17.9,7.8,13.7,13.7,13.7,6.6,20.8,9.3,2.4,2.0,0.5
Denver Broncos,1,D,3700,DEN,BAL,23.3,BAL by 1,1.8,0.4,0.9,190,200,28.6,4.6,12.0,12.0,12.0,5.9,18.1,7.5,2.0,3.0,0.8
Chicago Bears,2,D,3700,CHI,DET,19.5,CHI by 3,2.4,0.4,0.8,258,94,23.3,6.6,8.0,8.0,8.0,-1.8,17.8,8.1,2.2,9.0,2.4
Los Angeles Rams,,D,3600,LAR,ARI,25.0,LAR by 4.5,1.8,0.5,0.8,257,132,26.8,5.9,6.3,6.3,6.3,3.4,9.2,6.9,1.9,-1.0,-0.3
Washington Football Team,,D,3500,WAS,@ATL,23.0,WAS by 1.5,2.7,0.4,0.8,255,91,21.8,6.3,2.0,2.0,2.0,-3.6,7.6,7.2,2.1,6.0,1.7
Carolina Panthers,,D,3400,CAR,@DAL,27.5,DAL by 4.5,2.8,0.6,0.8,240,118,23.7,7.6,9.7,9.7,9.7,7.6,11.7,5.7,1.7,-4.0,-1.2
Baltimore Ravens,,D,3400,BAL,@DEN,22.3,BAL by 1,1.6,0.6,1.3,226,128,21.0,7.9,5.3,5.3,5.3,2.1,8.5,6.7,2.0,11.0,3.2
