Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
New England Patriots,5,D,3900,NE,TEN,18.5,NE by 7,2.8,0.5,1.1,225,129,24.8,6.3,19.7,11.1,11.1,2.7,19.5,9.0,2.3,14.0,3.6
Tampa Bay Buccaneers,,D,3700,TB,@IND,25.0,TB by 3,1.6,0.5,0.4,216,148,27.5,3.5,6.0,8.1,8.1,0.7,15.5,6.0,1.6,12.0,3.2
Los Angeles Chargers,0,D,3400,LAC,@DEN,23.0,LAC by 2.5,3.0,0.5,0.6,231,112,20.0,7.6,1.3,3.6,3.6,-0.2,7.4,7.1,2.1,3.0,0.9
Dallas Cowboys,3,D,3300,DAL,LV,22.0,DAL by 7.5,2.2,0.3,0.9,290,84,22.1,6.5,11.3,9.5,9.5,3.5,15.5,8.0,2.4,5.0,1.5
Los Angeles Rams,,D,3300,LAR,@GB,23.0,LAR by 1,2.0,0.4,0.5,243,108,22.5,4.5,4.3,6.1,6.1,1.4,10.8,6.5,2.0,2.0,0.6
Philadelphia Eagles,3,D,3200,PHI,@NYG,21.0,PHI by 3.5,2.2,0.5,0.9,230,93,18.1,7.1,8.7,7.2,7.2,-0.1,14.5,7.9,2.5,5.0,1.6
Baltimore Ravens,,D,3200,BAL,CLE,21.0,BAL by 4,2.8,0.5,0.5,206,157,21.6,5.6,4.3,5.6,5.6,1.1,10.1,7.1,2.2,11.0,3.4
Buffalo Bills,1,D,3100,BUF,@NO,19.3,BUF by 6.5,1.7,0.5,0.6,203,118,23.3,4.7,5.3,9.8,9.8,0.9,18.7,9.1,2.9,11.0,3.5
Carolina Panthers,7,D,3100,CAR,@MIA,19.8,CAR by 2,2.5,0.8,0.9,233,77,17.2,8.0,8.0,7.2,7.2,2.4,11.9,8.1,2.6,3.0,1.0
San Francisco 49ers,,D,3100,SF,MIN,23.0,SF by 3,1.4,0.4,0.2,268,119,24.9,3.6,9.3,6.3,6.3,1.3,11.3,6.4,2.1,5.0,1.6
Chicago Bears,2,D,3000,CHI,@DET,19.3,CHI by 2.5,2.7,0.5,0.8,198,114,16.0,8.5,6.3,6.2,6.2,-0.3,12.7,8.9,3.0,4.0,1.3
