Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID,DK Ceiling
Zach Pascal,IND,HOU,WR,3500,8.5,-1.4,0.8,20388954,14.1
Lions,DET,MIN,DST,2300,4.2,-1.4,1.7,20389529,7.9
Amon-Ra St. Brown,DET,MIN,WR,4400,10.2,-1.5,1.5,20388918,14.7
Mike Williams,LAC,CIN,WR,5700,12.7,-1.6,7,20388870,18.6
Chase Claypool,PIT,BAL,WR,6000,13.3,-1.6,2.1,20388860,18.5
Jets,NYJ,PHI,DST,2500,4.4,-1.6,1.9,20389525,8.1
DeVonta Smith,PHI,NYJ,WR,6100,13.4,-1.7,2.5,20388858,19.8
Corey Davis,NYJ,PHI,WR,4900,11,-1.8,0.6,20388902,14.9
Jauan Jennings,SF,SEA,WR,3100,7.4,-1.8,4,20388986,11.3
Quez Watkins,PHI,NYJ,WR,3600,8.2,-1.9,0.9,20388944,13.4
Texans,HOU,IND,DST,2400,3.8,-1.9,0.7,20389527,7.4
Devonta Freeman,BAL,PIT,RB,5500,11.9,-2,0.5,20388594,16.5
Chargers,LAC,CIN,DST,3000,5,-2,0.9,20389517,9
Laquon Treadwell,JAX,LA,WR,3200,7.2,-2.1,1.3,20388974,10.1
Bryan Edwards,LV,WAS,WR,3600,8,-2.1,0.5,20388940,13.3
DeAndre Hopkins,ARI,CHI,WR,6200,13.1,-2.2,1.1,20388856,19.8
Zay Jones,LV,WAS,WR,3200,7.2,-2.2,2.5,20388976,11.5
C.J. Uzomah,CIN,LAC,TE,3200,7,-2.3,0.5,20389286,11.5
Kyler Murray,ARI,CHI,QB,7500,20.7,-2.4,0.7,20388485,30.3
Damiere Byrd,CHI,ARI,WR,3100,6.8,-2.4,0.5,20388992,9.3
Nyheim Hines,IND,HOU,RB,4000,8.5,-2.4,0.5,20388812,14.5
Ryan Griffin,NYJ,PHI,TE,2600,5.8,-2.4,0.7,20389310,7.7
Jaguars,JAX,LA,DST,2300,3.2,-2.4,0.7,20389528,6.5
Andy Dalton,CHI,ARI,QB,5300,14,-2.5,0.5,20388502,17.6
Nico Collins,HOU,IND,WR,3100,6.6,-2.6,2.2,20388982,9.1
Najee Harris,PIT,BAL,RB,7700,15.6,-2.6,1.7,20388566,21
Tyler Boyd,CIN,LAC,WR,5000,10.2,-2.7,0.6,20388898,15.9
Olamide Zaccheaus,ATL,TB,WR,3800,7.6,-2.9,0.9,20388932,11
Tajae Sharpe,ATL,TB,WR,3700,7.4,-2.9,0.5,20388936,10.8
Kenyan Drake,LV,WAS,RB,4400,8.8,-2.9,0.5,20388638,14.5
Falcons,ATL,TB,DST,2400,2.8,-3,0.2,20389526,6
Jack Doyle,IND,HOU,TE,3300,6.4,-3.1,1.1,20389284,10.5
Darius Slayton,NYG,MIA,WR,4600,9.1,-3.1,0.5,20388910,11.8
Jamison Crowder,NYJ,PHI,WR,4600,9.1,-3.1,0.5,20388912,12.2
Jalen Reagor,PHI,NYJ,WR,3200,6.3,-3.1,0.5,20388978,9.9
Cameron Brate,TB,ATL,TE,3000,5.8,-3.2,0.5,20389290,10.6
Kalif Raymond,DET,MIN,WR,4500,8.7,-3.3,0.5,20388914,12.6
Durham Smythe,MIA,NYG,TE,2500,4.7,-3.3,0.8,20389320,7.5
Tevin Coleman,NYJ,PHI,RB,4500,8.6,-3.3,0.5,20388636,13
Rashod Bateman,BAL,PIT,WR,4900,9.3,-3.4,0.5,20388904,14.3
T.Y. Hilton,IND,HOU,WR,4400,8.3,-3.4,0.5,20388916,14
DeSean Jackson,LV,WAS,WR,4200,8,-3.4,0.5,20388924,13.2
Chris Moore,HOU,IND,WR,3000,5.5,-3.5,0.5,20389238,7.5
A.J. Green,ARI,CHI,WR,5000,9.3,-3.6,0.5,20388894,14.4
Christian Kirk,ARI,CHI,WR,5600,10.4,-3.7,0.5,20388874,15.7
Curtis Samuel,WAS,LV,WR,4000,7.2,-3.7,0.5,20388926,11.6
Jakeem Grant Sr.,CHI,ARI,WR,3000,5.2,-3.8,0.5,20389140,7.1
Pharaoh Brown,HOU,IND,TE,2800,4.8,-3.8,0,20389300,6.4
Brevin Jordan,HOU,IND,TE,2500,4.1,-3.9,1.8,20389504,5.5
Tyler Johnson,TB,ATL,WR,3300,5.5,-4,0.5,20388962,10.8
K.J. Osborn,MIN,DET,WR,3400,5.7,-4.1,0.5,20388958,10.1
Chris Conley,HOU,IND,WR,3500,5.7,-4.2,0.5,20388948,7.9
Boston Scott,PHI,NYJ,RB,4600,7.9,-4.2,0.5,20388634,13.4
Mo Alie-Cox,IND,HOU,TE,2600,3.8,-4.3,0,20389316,7.6
Mike Davis,ATL,TB,RB,4700,7.9,-4.4,0.5,20388626,11.9
Rondale Moore,ARI,CHI,WR,4700,7.7,-4.6,1.3,20388908,12
Zach Ertz,ARI,CHI,TE,5400,9,-4.7,0.5,20389256,13.5
Tavon Austin,JAX,LA,WR,3100,4.4,-4.7,0,20388988,6.3
Albert Wilson,MIA,NYG,WR,3200,4.6,-4.7,0,20388968,7.7
Will Dissly,SEA,SF,TE,2500,3.3,-4.7,0,20389322,5.5
Adam Humphries,WAS,LV,WR,3300,4.7,-4.9,0,20388966,7.7
Jalen Guyton,LAC,CIN,WR,3000,4,-5,0,20389108,6.9
Donald Parham Jr.,LAC,CIN,TE,2800,3.5,-5,0,20389298,6
Kyle Rudolph,NYG,MIA,TE,2700,3.3,-5,0,20389306,4.6
Trent Sherfield,SF,SEA,WR,3000,3.8,-5.2,0,20389006,6.7
Jimmy Graham,CHI,ARI,TE,2900,3.5,-5.3,0,20389294,4.6
Ty Johnson,NYJ,PHI,RB,4600,6.8,-5.3,0.5,20388632,11.6
Isaiah Coulter,CHI,ARI,WR,3000,3.6,-5.4,0,20389142,4.9
Samaje Perine,CIN,LAC,RB,4000,5.4,-5.5,0.5,20388754,10.7
Freddie Swain,SEA,SF,WR,3200,3.9,-5.5,0,20388972,6.2
Joshua Palmer,LAC,CIN,WR,3000,3.3,-5.7,0,20389110,5.9
James Washington,PIT,BAL,WR,3500,4.2,-5.7,0,20388950,6.4
Kenneth Gainwell,PHI,NYJ,RB,4200,5.5,-5.8,0.5,20388648,10.5
Pharoh Cooper,NYG,MIA,WR,3000,3,-5.9,0,20389196,4.1
Denzel Mims,NYJ,PHI,WR,3000,3.1,-5.9,0.1,20389160,4.6
Braxton Berrios,NYJ,PHI,WR,3000,3.1,-5.9,0.5,20389162,4.7
Scotty Miller,TB,ATL,WR,3000,3,-5.9,0,20389088,7.3
Kylen Granson,IND,HOU,TE,2500,1.9,-6,0,20389494,5
Daniel Helm,LV,WAS,TE,2500,1.9,-6,0,20389380,4.5
Kyle Juszczyk,SF,SEA,RB,4000,5,-6,0,20388672,9
Stephen Anderson,LAC,CIN,TE,2500,1.9,-6.1,0,20389402,4.1
Mekhi Sargent,LA,JAX,RB,4000,4.8,-6.1,0,20388714,9.8
Dee Eskridge,SEA,SF,WR,3000,2.7,-6.2,0,20388994,4.6
Brock Wright,DET,MIN,TE,2500,1.7,-6.3,0,20389468,3.1
Charlie Woerner,SF,SEA,TE,2500,1.7,-6.3,0,20389332,4
Devin Duvernay,BAL,PIT,WR,3600,3.7,-6.4,0,20388946,6.9
John Ross III,NYG,MIA,WR,3400,3.4,-6.4,0,20388956,4.5
Zach Gentry,PIT,BAL,TE,2900,2.4,-6.4,0,20389296,4.1
