"Player","Team","Opponent","FD Position","FD Salary","FD Projection","FD Value","FD Ownership","FDSlateID","FD Ceiling"
"Rashard Higgins","CLE","PIT","WR","5000","4.4","-3.5","0.5","65904-45791","8.1"
"Tre'Quan Smith","NO","TB","WR","5500","5.3","-3.6","0.5","65904-57342","8.7"
"Tommy Tremble","CAR","ATL","TE","4600","3.4","-3.7","0.0","65904-91101","6.4"
"Giovani Bernard","TB","NO","RB","4900","3.9","-3.8","0.0","65904-25290","6.7"
"Tavon Austin","JAX","SEA","WR","4900","3.8","-3.9","0.0","65904-26458","6.4"
"Ray-Ray McCloud III","PIT","CLE","WR","4800","3.6","-3.9","0.0","65904-62055","5.9"
"C.J. Uzomah","CIN","NYJ","TE","5700","5.3","-4.0","0.5","65904-31207","9.8"
"Denzel Mims","NYJ","CIN","WR","4900","3.7","-4.0","0.0","65904-72453","5.6"
"Ryan Griffin","NYJ","CIN","TE","4500","3.0","-4.0","0.0","65904-34073","4.5"
"Marquise Goodwin","CHI","SF","WR","4800","3.4","-4.1","0.0","65904-32243","5.5"
"Joshua Palmer","LAC","NE","WR","4700","3.3","-4.1","0.0","65904-87418","7.3"
"Donald Parham Jr.","LAC","NE","TE","4700","3.2","-4.1","0.0","65904-104278","7.3"
"Ross Dwelley","SF","CHI","TE","5000","3.8","-4.1","0.0","65904-83138","6.9"
"Samaje Perine","CIN","NYJ","RB","5700","5.1","-4.2","0.5","65904-52451","9.6"
"Anthony Firkser","TEN","IND","TE","4800","3.4","-4.2","0.1","65904-80294","6.7"
"Juwan Johnson","NO","TB","TE","5000","3.6","-4.3","0.0","65904-64808","6.6"
"Charlie Woerner","SF","CHI","TE","4000","1.7","-4.3","0.0","65904-71351","4.3"
"Ronald Jones II","TB","NO","RB","5200","4.0","-4.3","0.5","65904-63591","6.7"
"Geoff Swaim","TEN","IND","TE","4200","2.1","-4.3","0.0","65904-38523","5.1"
"Royce Freeman","CAR","ATL","RB","4800","3.1","-4.4","0.0","65904-55970","5.8"
"Brevin Jordan","HOU","LA","TE","4000","1.5","-4.4","0.0","65904-94094","2.8"
"J.J. Taylor","NE","LAC","RB","5100","3.7","-4.4","0.0","65904-72370","6.7"
"Richard Rodgers","PHI","DET","TE","4300","2.1","-4.4","0.0","65904-29314","5.6"
"Kyle Juszczyk","SF","CHI","RB","4500","2.5","-4.4","0.0","65904-39428","5.0"
"Rashaad Penny","SEA","JAX","RB","6000","5.5","-4.4","0.5","65904-57840","8.7"
"Tajae Sharpe","ATL","CAR","WR","5000","3.3","-4.6","0.0","65904-47523","7.0"
"Shi Smith","CAR","ATL","WR","4600","2.5","-4.6","0.0","65904-91677","5.3"
"Harrison Bryant","CLE","PIT","TE","4200","1.7","-4.6","0.0","65904-70601","4.7"
"Mark Ingram II","NO","TB","RB","5300","3.9","-4.6","0.0","65904-14211","6.5"
"Tyler Kroft","NYJ","CIN","TE","4400","2.1","-4.6","0.0","65904-26038","3.5"
"Trinity Benson","DET","PHI","WR","4600","2.4","-4.7","0.0","65904-103943","5.3"
"Will Dissly","SEA","JAX","TE","4700","2.7","-4.7","0.0","65904-56708","5.8"
"DeAndre Carter","WAS","DEN","WR","4800","2.8","-4.7","0.0","65904-62628","5.4"
"Tutu Atwell","LA","HOU","WR","4500","2.1","-4.8","0.0","65904-92976","6.8"
"Lil'Jordan Humphrey","NO","TB","WR","4800","2.7","-4.8","0.0","65904-71031","5.6"
"Zach Gentry","PIT","CLE","TE","4100","1.3","-4.8","0.0","65904-64221","3.3"
"Cameron Brate","TB","NO","TE","4400","1.9","-4.8","0.0","65904-54782","5.5"
"Rex Burkhead","HOU","LA","RB","4500","2.1","-4.9","0.0","65904-27338","4.0"
"Jack Stoll","PHI","DET","TE","4000","1.0","-4.9","0.0","65904-69451","4.3"
"Joshua Kelley","LAC","NE","RB","5100","3.1","-5.0","0.0","65904-91872","6.2"
"Dax Milne","WAS","DEN","WR","4900","2.7","-5.0","0.0","65904-90408","5.3"
"Isaiah McKenzie","BUF","MIA","WR","4600","2.0","-5.1","0.0","65904-53639","6.5"
"Reggie Gilliam","BUF","MIA","TE","4000","0.9","-5.1","0.0","65904-70426","5.1"
"Anthony Schwartz","CLE","PIT","WR","4700","2.2","-5.1","0.0","65904-87662","5.4"
"Kylen Granson","IND","TEN","TE","4200","1.2","-5.1","0.0","65904-71143","4.8"
"Stephen Anderson","LAC","NE","TE","4100","1.0","-5.1","0.0","65904-29277","4.4"
"Adam Shaheen","MIA","BUF","TE","4500","1.8","-5.1","0.0","65904-79967","3.4"
"Drew Sample","CIN","NYJ","TE","4100","0.9","-5.2","0.0","65904-56711","4.3"
"Lee Smith","ATL","CAR","TE","4200","1.0","-5.3","0.0","65904-14348","4.1"
"Jesse James","CHI","SF","TE","4400","1.5","-5.3","0.0","65904-28694","3.2"
"Chris Manhertz","JAX","SEA","TE","4100","0.9","-5.3","0.0","65904-18009","2.9"
"Justin Jackson","LAC","NE","RB","4900","2.4","-5.3","0.0","65904-55165","5.5"
"Demetric Felton","CLE","PIT","RB","5300","3.1","-5.4","0.0","65904-70282","5.9"
"Brock Wright","DET","PHI","TE","4000","0.5","-5.5","0.0","65904-91046","2.9"
"Carlos Hyde","JAX","SEA","RB","5000","2.4","-5.5","0.0","65904-28473","5.0"
"Luke Farrell","JAX","SEA","TE","4200","0.8","-5.5","0.0","65904-73176","2.9"
"Kevin White","NO","TB","WR","4500","1.4","-5.5","0.0","65904-38514","4.0"
"Trent Sherfield","SF","CHI","WR","4900","2.2","-5.5","0.0","65904-56059","5.0"
"O.J. Howard","TB","NO","TE","4800","2.0","-5.5","0.0","65904-39286","5.7"
"John Bates","WAS","DEN","TE","4100","0.7","-5.5","0.0","65904-72705","2.8"
"Marlon Mack","IND","TEN","RB","5300","2.9","-5.6","0.0","65904-57909","6.2"
"James Washington","PIT","CLE","WR","5100","2.5","-5.6","0.0","65904-55748","4.8"
"Keith Smith","ATL","CAR","RB","4500","1.3","-5.7","0.0","65904-43973","3.9"
"Colin Thompson","CAR","ATL","TE","4000","0.2","-5.7","0.0","65904-30272","2.5"
"Antony Auclair","HOU","LA","TE","4100","0.4","-5.7","0.0","65904-80011","1.5"
"Jacob Hollister","JAX","SEA","TE","4300","0.8","-5.7","0.0","65904-54007","2.9"
"Jacob Harris","LA","HOU","TE","4000","0.3","-5.7","0.0","65904-65607","4.4"
"N'Keal Harry","NE","LAC","WR","4800","1.8","-5.7","0.0","65904-69168","4.5"
"Mike Thomas","CIN","NYJ","WR","4600","1.4","-5.8","0.0","65904-55694","4.9"
"Chris Conley","HOU","LA","WR","5000","2.1","-5.8","0.0","65904-30403","3.6"
"Mack Hollins","MIA","BUF","WR","5200","2.4","-5.9","0.0","65904-25267","4.1"
"Colby Parkinson","SEA","JAX","TE","4100","0.2","-5.9","0.0","65904-89588","2.8"
"Jaelon Darden","TB","NO","WR","4600","1.2","-5.9","0.0","65904-92093","4.6"
"Ben Skowronek","LA","HOU","WR","4500","0.9","-6.0","0.0","65904-71105","5.3"
"Jauan Jennings","SF","CHI","WR","4700","1.3","-6.0","0.0","65904-61593","3.9"
