"Player","Team","Opponent","Y Position","Y Salary","Y Projection","Y Value","Y Ceiling","YSlateID"
"Phillip Lindsay","HOU","LA","RB","10","5.3","-1.2","7.7","3176879"
"Nyheim Hines","IND","TEN","RB","16","7.1","-1.2","11.8","3176800"
"Salvon Ahmed","MIA","BUF","RB","10","5.3","-1.2","7.8","3176638"
"Mike White","NYJ","CIN","QB","20","12.3","-1.2","16.1","3176838"
"JaMycal Hasty","SF","CHI","RB","10","5.3","-1.2","8.7","3189172"
"Sony Michel","LA","HOU","RB","13","6.1","-1.3","10.6","3176856"
"Josh Reynolds","TEN","IND","WR","10","5.2","-1.3","9.1","3176781"
"Buffalo Bills","BUF","MIA","DEF","21","8.5","-1.3","13.9","3176662"
"Detroit Lions","DET","PHI","DEF","10","5.2","-1.3","9.2","3176773"
"Brandon Bolden","NE","LAC","RB","15","6.6","-1.4","10.8","3176890"
"Richard Rodgers","PHI","DET",,,"2.1","-1.4","5.6",
"Brandon Aiyuk","SF","CHI","WR","13","6.0","-1.4","9.6","3176671"
"Denver Broncos","DEN","WAS","DEF","17","7.2","-1.4","12.0","3177002"
"Jordan Akins","HOU","LA","TE","10","5.0","-1.5","6.9","3176878"
"Kendrick Bourne","NE","LAC","WR","13","5.9","-1.5","9.7","3176894"
"Adam Humphries","WAS","DEN","WR","10","5.0","-1.5","8.0","3176965"
"Philadelphia Eagles","PHI","DET","DEF","15","6.5","-1.5","11.1","3176772"
"Hayden Hurst","ATL","CAR","TE","10","4.9","-1.6","8.8","3176614"
"Davis Mills","HOU","LA","QB","20","11.9","-1.6","15.9","3176882"
"Keelan Cole Sr.","NYJ","CIN","WR","10","4.9","-1.6","7.0","3176837"
"Washington Football Team","WAS","DEN","DEF","13","5.8","-1.6","10.1","3177001"
"T.Y. Hilton","IND","TEN","WR","18","7.2","-1.7","12.3","3176811"
"Kenny Stills","NO","TB","WR","10","4.8","-1.7","8.2","3177021"
"Mohamed Sanu","SF","CHI","WR","10","4.8","-1.7","8.1","3176663"
"Jeremy McNichols","TEN","IND","RB","10","4.8","-1.7","8.0","3176782"
"Marcus Johnson","TEN","IND","WR","10","4.8","-1.7","8.6","3176780"
"KhaDarel Hodge","DET","PHI","WR","10","4.6","-1.9","8.0","3176761"
"Jordan Howard","PHI","DET",,,"1.6","-1.9","4.6",
"Tommy Sweeney","BUF","MIA","TE","10","4.5","-2.0","9.6","3176656"
"Austin Hooper","CLE","PIT","TE","10","4.5","-2.0","8.0","3176720"
"Jalen Guyton","LAC","NE","WR","10","4.5","-2.0","9.0","3176915"
"Adam Trautman","NO","TB","TE","10","4.5","-2.0","7.7","3177034"
"Los Angeles Chargers","LAC","NE","DEF","16","6.3","-2.0","10.8","3176925"
"Pittsburgh Steelers","PIT","CLE","DEF","15","6.0","-2.0","10.4","3176738"
"Rashard Higgins","CLE","PIT","WR","10","4.4","-2.1","8.1","3176721"
