"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Demetric Felton","CLE","LAC","RB","4000","2.6","-8.3","0.0","19525408","5.8"
"Cam Sims","WAS","NO","WR","3000","0.7","-8.3","0.0","19525774","2.2"
"Alex Erickson","CAR","PHI","WR","3000","0.6","-8.4","0.0","19525688","2.6"
"Ameer Abdullah","MIN","DET","RB","4000","2.5","-8.4","0.0","19525364","6.6"
"Dede Westbrook","MIN","DET","WR","3000","0.6","-8.4","0.0","19525800","3.3"
"Racey McMath","TEN","JAX","WR","3000","0.6","-8.4","0.0","19525678","3.0"
"Chris Moore","HOU","NE","WR","3000","0.5","-8.5","0.0","19525866","0.5"
"Dwayne Washington","NO","WAS","RB","4000","2.4","-8.5","0.0","19525358","5.0"
"Malik Taylor","GB","CIN","WR","3000","0.3","-8.6","0.0","19525730","2.7"
"Jaelon Darden","TB","MIA","WR","3000","0.3","-8.6","0.0","19525750","3.3"
"Marcus Johnson","TEN","JAX","WR","3000","0.3","-8.6","0.0","19525680","2.7"
"Gunner Olszewski","NE","HOU","WR","3000","0.3","-8.7","0.0","19525850","2.3"
"Alec Ingold","LV","CHI","RB","4000","2.1","-8.8","0.0","19525386","5.5"
"Larry Rountree III","LAC","CLE","RB","4600","3.2","-8.9","0.0","19525210","6.5"
"Rex Burkhead","HOU","NE","RB","4000","1.7","-9.2","0.0","19525402","2.8"
"Chris Evans","CIN","GB","RB","4000","1.3","-9.7","0.0","19525334","5.0"
"C.J. Ham","MIN","DET","RB","4000","1.2","-9.8","0.0","19525372","4.8"
"Devontae Booker","NYG","DAL","RB","4100","1.3","-9.8","0.0","19525228","4.9"
"Benny Snell Jr.","PIT","DEN","RB","4000","1.0","-9.9","0.0","19525308","3.2"
"Jaret Patterson","WAS","NO","RB","4000","1.0","-10.0","0.0","19525352","3.8"
"Ke'Shawn Vaughn","TB","MIA","RB","4000","0.8","-10.1","0.0","19525340","3.8"
"Jason Cabinda","DET","MIN","RB","4000","0.8","-10.2","0.0","19525380","3.0"
"Kylin Hill","GB","CIN","RB","4000","0.7","-10.2","0.0","19525328","3.1"
"Eli Penny","NYG","DAL","RB","4000","0.5","-10.5","0.0","19525242","3.8"
"Andy Janovich","CLE","LAC","RB","4000","0.3","-10.6","0.0","19525276","2.8"
"Gabe Nabers","LAC","CLE","RB","4000","0.2","-10.7","0.0","19525270","2.6"
"D'Ernest Johnson","CLE","LAC","RB","4000","0.2","-10.8","0.0","19525272","2.6"
"Damarea Crockett","DEN","PIT","RB","4000","0.2","-10.8","0.0","19525320","2.2"
"Taysom Hill","NO","WAS","QB","5100","5.0","-10.8","0.5","19525077","9.0"
"Alex Armah","NO","WAS","RB","4000","0.2","-10.8","0.0","19525362","2.2"
"Kalen Ballage","PIT","DEN","RB","4000","0.1","-10.8","0.0","19525310","2.0"
"Mekhi Sargent","TEN","JAX","RB","4000","0.1","-10.8","0.0","19525290","2.5"
"Khari Blasingame","TEN","JAX","RB","4000","0.1","-10.8","0.0","19525294","2.6"
"Boston Scott","PHI","CAR","RB","4000","0.1","-10.9","0.0","19525406","2.2"
