Matthew Stafford,1
Zack Moss,63
Trey Sermon,43
Justin Fields,7
Lions ,40
K.J. Osborn,8
David Njoku,10
Brandon Aiyuk,7
Noah Fant,6
Eagles ,4
Will Dissly,18
Antonio Gibson,32
Cowboys ,14
Chuba Hubbard,43
Odell Beckham Jr.,32
Robert Woods,74
Dalvin Cook,25
Darrell Henderson Jr.,37
Seahawks ,2
Cole Beasley,22
Jets ,14
Cordarrelle Patterson,12
Amari Cooper,53
Kyle Pitts,15
Justin Jefferson,6
Olamide Zaccheaus,15
George Kittle,34
Tyreek Hill,49
Cardinals ,2
Darnell Mooney,7
Taylor Heinicke,36
Derrick Henry,9
Zach Ertz,2
Baker Mayfield,31
Robby Anderson,1
Packers ,1
Chase Edmonds,1
Sam Darnold,13
Emmanuel Sanders,4
Vikings ,14
Terry McLaurin,22
Bills ,7
Stefon Diggs,44
Jonathan Taylor,1
Alvin Kamara,10
Titans ,13
Deebo Samuel,44
DeVonta Smith,7
Dalton Schultz,2
Terrace Marshall Jr.,13
Mike Gesicki,1
Davante Adams,3
DJ Moore,60
Jalen Hurts,7
Mike Davis,20
Anthony Firkser,1
David Montgomery,3
Falcons ,31
Jacoby Brissett,1
Dak Prescott,36
Mecole Hardman,4
D'Andre Swift,5
Adam Thielen,10
Calvin Ridley,15
Kalif Raymond,1
Austin Hooper,32
Cooper Kupp,30
Matt Ryan,16
Ezekiel Elliott,1
Tyler Higbee,1
T.J. Hockenson,1
CeeDee Lamb,26
Travis Kelce,28
Colts ,8
Curtis Samuel,37
Patrick Mahomes,2
