"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Jacoby Brissett","MIA","HOU","QB","4500","18.7","4.6","6.0","19951279","27.8"
"Lamar Jackson","BAL","MIN","QB","7300","26.8","4.2","20.7","19951251","37.0"
"Daniel Jones","NYG","LV","QB","5600","21.2","3.9","9.0","19951261","28.3"
"Tyreek Hill","KC","GB","WR","7900","22.5","3.8","23.5","19951595","32.7"
"Josh Allen","BUF","JAX","QB","8200","28.7","3.5","14.2","19951247","41.7"
"Ezekiel Elliott","DAL","DEN","RB","7000","20.1","3.2","25.7","19951331","29.3"
"Tee Higgins","CIN","CLE","WR","5300","16.6","3.1","21.7","19951639","24.2"
"Jordan Love","GB","KC","QB","4400","16.6","2.9","5.5","19951280","24.1"
"Tyrod Taylor","HOU","MIA","QB","5000","18.3","2.8","4.8","19951273","26.1"
"Jalen Hurts","PHI","LAC","QB","6700","23.5","2.8","9.6","19951255","33.6"
"Cordarrelle Patterson","ATL","NO","RB","6300","17.5","2.1","13.4","19951339","22.1"
"Amari Cooper","DAL","DEN","WR","5700","16.3","2.0","23.9","19951627","25.9"
"Stefon Diggs","BUF","JAX","WR","7700","20.1","1.9","14.8","19951599","31.8"
"Jarvis Landry","CLE","CIN","WR","5100","15.0","1.9","17.9","19951655","21.7"
"Alvin Kamara","NO","ATL","RB","8200","21.1","1.9","20.1","19951319","29.8"
"Jerry Jeudy","DEN","DAL","WR","5000","14.5","1.6","12.1","19951661","20.6"
"Kadarius Toney","NYG","LV","WR","5200","14.9","1.6","17.4","19951651","21.5"
"Chase Edmonds","ARI","SF","RB","5300","14.9","1.4","10.2","19951365","18.7"
"Darren Waller","LV","NYG","TE","6200","16.7","1.4","14.4","19952017","25.2"
"Myles Gaskin","MIA","HOU","RB","5800","15.9","1.4","17.0","19951349","22.3"
"Ja'Marr Chase","CIN","CLE","WR","7600","19.4","1.3","9.9","19951601","29.6"
"Albert Okwuegbunam","DEN","DAL","TE","2600","9.5","1.3","26.4","19952081","13.2"
"Chiefs ","KC","GB","DST","2300","6.9","1.3","26.3","19952286","11.7"
"Austin Ekeler","LAC","PHI","RB","7900","19.8","1.2","21.1","19951323","26.9"
"Teddy Bridgewater","DEN","DAL","QB","5300","17.6","1.1","2.7","19951268","22.2"
"Derek Carr","LV","NYG","QB","5900","19.4","1.1","7.1","19951257","27.5"
"Josh Jacobs","LV","NYG","RB","6200","16.4","1.1","13.3","19951341","23.4"
"49ers ","SF","ARI","DST","2800","7.7","1.1","11.0","19952278","12.8"
"Colt McCoy","ARI","SF","QB","4000","13.6","1.0","0.5","19951287","20.2"
"Rondale Moore","ARI","SF","WR","4200","12.3","1.0","15.8","19951697","17.2"
"Mark Andrews","BAL","MIN","TE","5500","14.9","1.0","8.3","19952021","22.5"
"Nick Chubb","CLE","CIN","RB","6700","17.3","1.0","14.0","19951335","23.2"
"Dak Prescott","DAL","DEN","QB","6900","22.1","0.8","7.0","19951253","31.9"
"Courtland Sutton","DEN","DAL","WR","5900","15.5","0.8","9.6","19951625","22.4"
"Jared Cook","LAC","PHI","TE","3300","10.4","0.8","10.0","19952045","15.9"
"Tyler Boyd","CIN","CLE","WR","5000","13.7","0.7","11.0","19951657","20.5"
"Hunter Renfrow","LV","NYG","WR","4800","13.2","0.7","17.6","19951669","19.9"
"Mike Gesicki","MIA","HOU","TE","4900","13.4","0.7","15.5","19952025","19.2"
"Dalvin Cook","MIN","BAL","RB","7700","18.9","0.7","14.3","19951325","25.0"
"Dallas Goedert","PHI","LAC","TE","4500","12.6","0.7","16.0","19952033","18.4"
"Joe Burrow","CIN","CLE","QB","6800","21.6","0.6","2.5","19951254","29.0"
"Devontae Booker","NYG","LV","RB","5900","15.3","0.6","15.0","19951347","21.8"
"Baker Mayfield","CLE","CIN","QB","5400","17.3","0.5","0.5","19951265","24.5"
"Dan Arnold","JAX","BUF","TE","3400","10.2","0.5","9.5","19952043","13.7"
"Deebo Samuel","SF","ARI","WR","7800","19.0","0.5","7.7","19951597","28.7"
"Patrick Mahomes","KC","GB","QB","7800","24.5","0.4","7.3","19951249","35.1"
"Justin Herbert","LAC","PHI","QB","7000","21.9","0.3","3.8","19951252","29.8"
"Jaylen Waddle","MIA","HOU","WR","5600","14.3","0.3","15.4","19951631","20.2"
"Kyle Pitts","ATL","NO","TE","5900","14.9","0.2","6.4","19952019","20.4"
"Davante Adams","GB","KC","WR","8200","19.4","0.2","6.7","19951593","26.6"
"Raiders ","LV","NYG","DST","2900","6.9","0.2","8.0","19952276","11.7"
"Dalton Schultz","DAL","DEN","TE","4800","12.6","0.1","9.9","19952027","20.1"
"Brandin Cooks","HOU","MIA","WR","6100","15.2","0.1","9.8","19951619","21.1"
"Tyler Conklin","MIN","BAL","TE","3000","9.1","0.1","9.5","19952055","13.3"
"Marquise Brown","BAL","MIN","WR","6000","14.7","-0.1","9.0","19951621","22.6"
"Panthers ","CAR","NE","DST","2600","6.1","-0.1","5.9","19952282","10.6"
"Mecole Hardman","KC","GB","WR","3900","10.5","-0.2","5.8","19951713","16.2"
"Bills ","BUF","JAX","DST","4000","8.7","-0.3","5.6","19952268","14.1"
"Cowboys ","DAL","DEN","DST","3300","7.2","-0.3","7.3","19952271","12.1"
"Dolphins ","MIA","HOU","DST","3100","6.9","-0.3","9.8","19952274","11.6"
"Christian Kirk","ARI","SF","WR","5300","13.1","-0.4","6.8","19951645","18.4"
"Zack Moss","BUF","JAX","RB","5300","13.1","-0.4","12.4","19951363","20.6"
"DJ Moore","CAR","NE","WR","6400","15.3","-0.4","13.8","19951615","20.0"
"Carlos Hyde","JAX","BUF","RB","4900","12.4","-0.4","8.0","19951381","16.2"
"Darrel Williams","KC","GB","RB","5700","13.9","-0.4","3.8","19951353","19.6"
"Jakobi Meyers","NE","CAR","WR","5200","12.9","-0.4","6.3","19951649","19.0"
"Bengals ","CIN","CLE","DST","2900","6.4","-0.4","2.2","19952277","11.0"
"Matt Ryan","ATL","NO","QB","5600","16.9","-0.5","0.5","19951262","22.2"
"Sam Darnold","CAR","NE","QB","5500","16.5","-0.5","0.3","19951264","24.6"
"CeeDee Lamb","DAL","DEN","WR","7200","16.7","-0.5","8.7","19951605","26.2"
"Keenan Allen","LAC","PHI","WR","6700","15.7","-0.5","13.3","19951613","22.5"
"Travis Kelce","KC","GB","TE","7000","16.2","-0.6","6.8","19952015","24.0"
"Falcons ","ATL","NO","DST","2500","5.4","-0.6","2.8","19952284","9.6"
"Browns ","CLE","CIN","DST","2500","5.4","-0.6","7.6","19952283","9.6"
"Texans ","HOU","MIA","DST","2400","5.1","-0.6","4.4","19952285","9.2"
"Saints ","NO","ATL","DST","3700","7.7","-0.6","2.2","19952269","12.8"
"Trevor Lawrence","JAX","BUF","QB","5400","16.0","-0.8","0.5","19951266","22.6"
"Bryan Edwards","LV","NYG","WR","4100","10.3","-0.8","5.7","19951701","16.1"
"Ravens ","BAL","MIN","DST","3000","6.1","-0.8","1.5","19952275","10.6"
"Eagles ","PHI","LAC","DST","2600","5.3","-0.8","1.8","19952281","9.5"
"Rashod Bateman","BAL","MIN","WR","4000","10.0","-0.9","0.8","19951707","15.8"
"Cole Beasley","BUF","JAX","WR","5400","12.8","-0.9","6.9","19951637","20.2"
"Joe Mixon","CIN","CLE","RB","7100","16.1","-1.0","7.9","19951329","23.0"
"DeVonta Smith","PHI","LAC","WR","5200","12.3","-1.0","2.7","19951653","18.2"
"Javonte Williams","DEN","DAL","RB","4800","11.3","-1.2","4.1","19951383","15.8"
"Mike Williams","LAC","PHI","WR","7100","15.7","-1.3","2.0","19951607","22.8"
"Eli Mitchell","SF","ARI","RB","5800","13.2","-1.3","4.4","19951351","18.5"
"Adam Thielen","MIN","BAL","WR","6900","15.3","-1.4","2.2","19951611","21.7"
"Justin Jefferson","MIN","BAL","WR","7500","16.5","-1.4","5.5","19951603","24.1"
"Patriots ","NE","CAR","DST","4100","7.7","-1.4","0.9","19952267","12.8"
"Vikings ","MIN","BAL","DST","2200","3.9","-1.5","3.8","19952287","7.6"
"Giants ","NYG","LV","DST","2700","4.9","-1.5","1.2","19952280","8.9"
"Damien Harris","NE","CAR","RB","6000","13.3","-1.6","5.9","19951345","18.9"
"Brandon Aiyuk","SF","ARI","WR","4100","9.5","-1.6","1.0","19951699","14.3"
"Christian McCaffrey","CAR","NE","RB","8000","17.1","-1.7","3.3","19951321","23.0"
"Aaron Jones","GB","KC","RB","7200","15.6","-1.7","10.2","19951327","20.4"
"Evan Engram","NYG","LV","TE","3800","8.9","-1.7","1.2","19952041","12.8"
"Emmanuel Sanders","BUF","JAX","WR","5600","12.3","-1.8","2.0","19951633","20.1"
"Jamal Agnew","JAX","BUF","WR","4300","9.8","-1.8","0.5","19951693","12.2"
"Mac Jones","NE","CAR","QB","5300","14.6","-1.8","0.6","19951269","20.3"
"Mike Davis","ATL","NO","RB","4700","10.4","-1.9","1.1","19951389","13.6"
"Melvin Gordon III","DEN","DAL","RB","5200","11.4","-1.9","0.6","19951367","16.0"
"Kirk Cousins","MIN","BAL","QB","6200","17.3","-1.9","0.9","19951256","22.7"
"Jimmy Garoppolo","SF","ARI","QB","5700","15.8","-1.9","0.7","19951260","20.0"
"Deonte Harris","NO","ATL","WR","3900","8.7","-2.0","0.5","19951709","13.4"
"Devin Singletary","BUF","JAX","RB","4500","9.9","-2.1","0.5","19951401","15.6"
"Nelson Agholor","NE","CAR","WR","4100","8.9","-2.2","0.5","19951703","13.7"
"Donovan Peoples-Jones","CLE","CIN","WR","4400","9.4","-2.3","0.5","19951689","14.6"
"Marvin Jones Jr.","JAX","BUF","WR","5700","12.0","-2.3","0.5","19951629","15.6"
"Kenny Golladay","NYG","LV","WR","5200","11.0","-2.3","1.8","19951647","15.7"
"George Kittle","SF","ARI","TE","5200","11.0","-2.3","0.5","19952023","16.8"
"Chargers ","LAC","PHI","DST","3200","5.0","-2.3","0.5","19952273","9.1"
"Hayden Hurst","ATL","NO","TE","3000","6.5","-2.4","0.5","19952057","8.7"
"Tim Patrick","DEN","DAL","WR","4700","10.0","-2.4","1.2","19951673","14.1"
"K.J. Osborn","MIN","BAL","WR","3600","7.8","-2.4","1.1","19951727","11.4"
"Packers ","GB","KC","DST","2800","4.1","-2.4","0.1","19952279","7.9"
"Danny Amendola","HOU","MIA","WR","3200","6.9","-2.5","0.5","19951755","9.7"
"Jordan Akins","HOU","MIA","TE","2700","5.8","-2.5","0.6","19952073","8.7"
"Jaguars ","JAX","BUF","DST","2000","2.5","-2.5","0.7","19952288","5.6"
"Tommy Sweeney","BUF","JAX","TE","3100","6.6","-2.6","1.4","19952049","11.8"
"Rashard Higgins","CLE","CIN","WR","3400","7.1","-2.6","0.5","19951735","11.2"
"David Njoku","CLE","CIN","TE","3000","6.4","-2.6","1.6","19952053","10.2"
"Marquez Valdes-Scantling","GB","KC","WR","3700","7.7","-2.6","0.5","19951721","10.6"
"Laviska Shenault Jr.","JAX","BUF","WR","4400","9.1","-2.6","0.5","19951687","11.5"
"Zay Jones","LV","NYG","WR","3000","6.4","-2.6","1.3","19951839","10.4"
"Quez Watkins","PHI","LAC","WR","3800","8.0","-2.6","1.0","19951717","13.0"
"Cardinals ","ARI","SF","DST","3400","5.2","-2.6","0.5","19952270","9.3"
"Tony Pollard","DAL","DEN","RB","4700","9.7","-2.7","0.5","19951387","16.0"
"Mack Hollins","MIA","HOU","WR","3000","6.1","-2.8","0.5","19951967","9.8"
"Jonnu Smith","NE","CAR","TE","2800","5.7","-2.8","0.5","19952069","8.6"
"Nico Collins","HOU","MIA","WR","3600","7.2","-2.9","0.5","19951723","10.5"
"Marquez Callaway","NO","ATL","WR","5000","10.0","-2.9","0.5","19951659","15.2"
"Salvon Ahmed","MIA","HOU","RB","4000","8.0","-3.0","0.6","19951561","13.3"
"Antoine Wesley","ARI","SF","WR","3000","5.8","-3.1","0.5","19951781","8.4"
"Adam Trautman","NO","ATL","TE","2800","5.4","-3.2","0.5","19952067","8.6"
"Boston Scott","PHI","LAC","RB","5200","10.0","-3.3","0.5","19951369","16.1"
"Austin Hooper","CLE","CIN","TE","3200","5.9","-3.5","0.5","19952047","8.8"
"Robby Anderson","CAR","NE","WR","4500","8.4","-3.6","0.5","19951679","11.2"
"Cedrick Wilson","DAL","DEN","WR","3600","6.6","-3.6","0.5","19951725","11.8"
"Darius Slayton","NYG","LV","WR","4800","8.9","-3.6","0.5","19951667","13.0"
"Tajae Sharpe","ATL","NO","WR","4200","7.6","-3.7","0.5","19951695","10.7"
"Devonta Freeman","BAL","MIN","RB","4900","9.0","-3.7","0.5","19951379","14.8"
"Durham Smythe","MIA","HOU","TE","2500","4.2","-3.7","0.6","19952241","7.4"
"Gabriel Davis","BUF","JAX","WR","3500","6.1","-3.8","0.5","19951731","11.7"
"Hunter Henry","NE","CAR","TE","4000","7.1","-3.8","0.5","19952037","10.4"
"C.J. Uzomah","CIN","CLE","TE","3900","6.8","-3.9","0.5","19952039","11.2"
"Trevor Siemian","NO","ATL","QB","5400","12.9","-3.9","0.7","19951267","17.7"
"Broncos ","DEN","DAL","DST","3200","3.5","-3.9","0.0","19952272","6.9"
"Ian Thomas","CAR","NE","TE","2600","4.1","-4.0","0.0","19952077","5.8"
"Brevin Jordan","HOU","MIA","TE","2500","4.0","-4.0","0.0","19952247","6.2"
"Tommy Tremble","CAR","NE","TE","2800","4.5","-4.1","0.0","19952065","6.4"
"Jalen Guyton","LAC","PHI","WR","3100","5.1","-4.1","0.5","19951757","8.7"
"Kyle Rudolph","NYG","LV","TE","2600","4.1","-4.1","0.0","19952079","6.7"
"Zach Ertz","ARI","SF","TE","4700","8.2","-4.2","0.5","19952029","10.9"
"Marcedes Lewis","GB","KC","TE","2900","4.6","-4.2","0.0","19952059","6.9"
"Devin Duvernay","BAL","MIN","WR","3400","5.4","-4.4","0.5","19951739","9.7"
"David Johnson","HOU","MIA","RB","4400","7.3","-4.4","0.5","19951411","12.0"
"Kenneth Gainwell","PHI","LAC","RB","5000","8.5","-4.4","0.5","19951375","14.2"
"Terrace Marshall Jr.","CAR","NE","WR","3200","4.8","-4.6","0.0","19951751","6.5"
"Donald Parham Jr.","LAC","PHI","TE","2500","3.4","-4.6","0.0","19952087","6.3"
"Mark Ingram II","NO","ATL","RB","4600","7.5","-4.7","0.5","19951391","12.1"
